Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24-09-2025 10:42:02
Collection Length (seconds):, 4.995
 Hamstrings left (85586), , TibilaisÂ Anterior right (85650), ,  Rectus Femoris left (85878), ,  Rectus Femoris right (85844), ,  Hamstrings right (85641), ,  Gastrocnemius right (85873), ,  Gastrocnemius left (85904), , TibilaisÂ Anterior left (85605)
sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, -0.0297093, 0, -0.012253, 0, -0.0102388, 0, 0.0179599, 0, -0.0236667, 0, 0.0135958, 0, -0.0337377, 0, 0.0609293, , , , , , , , , , , , , , , , , , , , , , 
0.0004655, -0.0253452, 0.0004655, -0.0129244, 0.0004655, -0.0105745, 0.0004655, 0.0191348, 0.0004655, -0.0253452, 0.0004655, 0.0139315, 0.0004655, -0.0307164, 0.0004655, 0.0941634, , , , , , , , , , , , , , , , , , , , , , 
0.000931, -0.0243381, 0.000931, -0.0137636, 0.000931, -0.0104067, 0.000931, 0.0203098, 0.000931, -0.0270237, 0.000931, 0.012253, 0.000931, -0.0271916, 0.000931, 0.0683146, , , , , , , , , , , , , , , , , , , , , , 
0.0013966, -0.0270237, 0.0013966, -0.0162814, 0.0013966, -0.0102388, 0.0013966, 0.0196384, 0.0013966, -0.0280308, 0.0013966, 0.0052033, 0.0013966, -0.0256809, 0.0013966, -0.0082246, , , , , , , , , , , , , , , , , , , , , , 
0.0018621, -0.0290379, 0.0018621, -0.0204776, 0.0018621, -0.0099031, 0.0018621, 0.0199741, 0.0018621, -0.0290379, 0.0018621, -0.0031891, 0.0018621, -0.026688, 0.0018621, -0.0814069, , , , , , , , , , , , , , , , , , , , , , 
0.0023276, -0.024506, 0.0023276, -0.021149, 0.0023276, -0.0095674, 0.0023276, 0.0203098, 0.0023276, -0.030045, 0.0023276, -0.0075532, 0.0023276, -0.0276951, 0.0023276, -0.1059129, , , , , , , , , , , , , , , , , , , , , , 
0.0027931, -0.0186313, 0.0027931, -0.0191348, 0.0027931, -0.0095674, 0.0027931, 0.0213169, 0.0027931, -0.0297093, 0.0027931, -0.0082246, 0.0027931, -0.0270237, 0.0027931, -0.0876173, , , , , , , , , , , , , , , , , , , , , , 
0.0032586, -0.0176242, 0.0032586, -0.0152743, 0.0032586, -0.008896, 0.0032586, 0.0219883, 0.0032586, -0.0273594, 0.0032586, -0.0065461, 0.0032586, -0.0256809, 0.0032586, -0.0491798, , , , , , , , , , , , , , , , , , , , , , 
0.0037241, -0.0206455, 0.0037241, -0.0109102, 0.0037241, -0.0078889, 0.0037241, 0.0224918, 0.0037241, -0.024506, 0.0037241, -0.0015106, 0.0037241, -0.0256809, 0.0037241, -0.0171206, , , , , , , , , , , , , , , , , , , , , , 
0.0041897, -0.0250095, 0.0041897, -0.0082246, 0.0041897, -0.0078889, 0.0041897, 0.0224918, 0.0041897, -0.0223239, 0.0041897, 0.0058747, 0.0041897, -0.0260166, 0.0041897, 0.0052033, , , , , , , , , , , , , , , , , , , , , , 
0.0046552, -0.0263523, 0.0046552, -0.0075532, 0.0046552, -0.0090639, 0.0046552, 0.021149, 0.0046552, -0.0224918, 0.0046552, 0.0099031, 0.0046552, -0.0268559, 0.0046552, 0.0441444, , , , , , , , , , , , , , , , , , , , , , 
0.0051207, -0.0246738, 0.0051207, -0.0078889, 0.0051207, -0.0097353, 0.0051207, 0.0206455, 0.0051207, -0.0236667, 0.0051207, 0.0083925, 0.0051207, -0.026688, 0.0051207, 0.0871138, , , , , , , , , , , , , , , , , , , , , , 
0.0055862, -0.0223239, 0.0055862, -0.0082246, 0.0055862, -0.0099031, 0.0055862, 0.0213169, 0.0055862, -0.0243381, 0.0055862, 0.0063783, 0.0055862, -0.0258488, 0.0055862, 0.1106126, , , , , , , , , , , , , , , , , , , , , , 
0.0060517, -0.0219883, 0.0060517, -0.0095674, 0.0060517, -0.0095674, 0.0060517, 0.0223239, 0.0060517, -0.023331, 0.0060517, 0.0065461, 0.0060517, -0.0260166, 0.0060517, 0.1237049, , , , , , , , , , , , , , , , , , , , , , 
0.0065172, -0.0229953, 0.0065172, -0.0104067, 0.0065172, -0.0090639, 0.0065172, 0.0219883, 0.0065172, -0.0229953, 0.0065172, 0.0052033, 0.0065172, -0.027863, 0.0065172, 0.111284, , , , , , , , , , , , , , , , , , , , , , 
0.0069828, -0.0209812, 0.0069828, -0.0102388, 0.0069828, -0.008896, 0.0069828, 0.0206455, 0.0069828, -0.0236667, 0.0069828, 0.0008392, 0.0069828, -0.0310521, 0.0069828, 0.0548867, , , , , , , , , , , , , , , , , , , , , , 
0.0074483, -0.0162814, 0.0074483, -0.0109102, 0.0074483, -0.008896, 0.0074483, 0.0199741, 0.0074483, -0.0256809, 0.0074483, -0.0041962, 0.0074483, -0.0318914, 0.0074483, -0.0018463, , , , , , , , , , , , , , , , , , , , , , 
0.0079138, -0.0092317, 0.0079138, -0.0142672, 0.0079138, -0.008896, 0.0079138, 0.0209812, 0.0079138, -0.0283665, 0.0079138, -0.0099031, 0.0079138, -0.0337377, 0.0079138, -0.0426337, , , , , , , , , , , , , , , , , , , , , , 
0.0083793, -0.0041962, 0.0083793, -0.0176242, 0.0083793, -0.0077211, 0.0083793, 0.0206455, 0.0083793, -0.0307164, 0.0083793, -0.0139315, 0.0083793, -0.0359197, 0.0083793, -0.096849, , , , , , , , , , , , , , , , , , , , , , 
0.0088448, -0.0018463, 0.0088448, -0.0198062, 0.0088448, -0.0068818, 0.0088448, 0.0198062, 0.0088448, -0.0307164, 0.0088448, -0.0169528, 0.0088448, -0.0364233, 0.0088448, -0.1527428, , , , , , , , , , , , , , , , , , , , , , 
0.0093103, -0.0015106, 0.0093103, -0.0216526, 0.0093103, -0.0065461, 0.0093103, 0.0182956, 0.0093103, -0.0287022, 0.0093103, -0.0209812, 0.0093103, -0.0337377, 0.0093103, -0.1713741, , , , , , , , , , , , , , , , , , , , , , 
