Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24-09-2025 11:03:44
Collection Length (seconds):, 4.995
 Hamstrings left (85586), , TibilaisÂ Anterior right (85650), ,  Rectus Femoris left (85878), ,  Rectus Femoris right (85844), ,  Hamstrings right (85641), ,  Gastrocnemius left (85904), ,  Gastrocnemius right (85873), , TibilaisÂ Anterior left (85605)
sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, -0.0075532, 0, -0.0105745, 0, -0.0082246, 0, 0.0169528, 0, -0.0270237, 0, -0.0293736, 0, 0.0016785, 0, -0.0219883, , , , , , , , , , , , , , , , , , , , , , 
0.0004655, -0.0075532, 0.0004655, -0.008896, 0.0004655, -0.008896, 0.0004655, 0.0162814, 0.0004655, -0.030045, 0.0004655, -0.0280308, 0.0004655, 0.005539, 0.0004655, -0.0221561, , , , , , , , , , , , , , , , , , , , , , 
0.000931, -0.0082246, 0.000931, -0.0082246, 0.000931, -0.0082246, 0.000931, 0.0172885, 0.000931, -0.0307164, 0.000931, -0.0271916, 0.000931, 0.0058747, 0.000931, -0.0219883, , , , , , , , , , , , , , , , , , , , , , 
0.0013966, -0.0087282, 0.0013966, -0.0095674, 0.0013966, -0.0075532, 0.0013966, 0.0193027, 0.0013966, -0.0293736, 0.0013966, -0.0260166, 0.0013966, 0.0057069, 0.0013966, -0.0209812, , , , , , , , , , , , , , , , , , , , , , 
0.0018621, -0.0083925, 0.0018621, -0.0095674, 0.0018621, -0.0082246, 0.0018621, 0.0203098, 0.0018621, -0.0280308, 0.0018621, -0.0250095, 0.0018621, 0.0063783, 0.0018621, -0.0203098, , , , , , , , , , , , , , , , , , , , , , 
0.0023276, -0.0082246, 0.0023276, -0.0095674, 0.0023276, -0.0102388, 0.0023276, 0.0203098, 0.0023276, -0.0270237, 0.0023276, -0.0260166, 0.0023276, 0.0058747, 0.0023276, -0.0203098, , , , , , , , , , , , , , , , , , , , , , 
0.0027931, -0.0083925, 0.0027931, -0.0105745, 0.0027931, -0.0109102, 0.0027931, 0.0199741, 0.0027931, -0.0270237, 0.0027931, -0.0263523, 0.0027931, 0.0028534, 0.0027931, -0.0216526, , , , , , , , , , , , , , , , , , , , , , 
0.0032586, -0.0075532, 0.0032586, -0.012253, 0.0032586, -0.0090639, 0.0032586, 0.0196384, 0.0032586, -0.0270237, 0.0032586, -0.026688, 0.0032586, -0.0018463, 0.0032586, -0.0213169, , , , , , , , , , , , , , , , , , , , , , 
0.0037241, -0.0068818, 0.0037241, -0.0135958, 0.0037241, -0.0085603, 0.0037241, 0.0203098, 0.0037241, -0.0270237, 0.0037241, -0.0250095, 0.0037241, -0.0038605, 0.0037241, -0.0203098, , , , , , , , , , , , , , , , , , , , , , 
0.0041897, -0.0085603, 0.0041897, -0.0132601, 0.0041897, -0.0105745, 0.0041897, 0.0199741, 0.0041897, -0.0270237, 0.0041897, -0.0243381, 0.0041897, -0.0028534, 0.0041897, -0.0182956, , , , , , , , , , , , , , , , , , , , , , 
