Application:, Trigno Discover (2.0.1.3)
Date/Time:, 9/18/2025 4:01:37 PM
Collection Length (seconds):, 4.995
Tibilais Anterior left (85586), , Gastrocnemius right (85650), , , , , , , , Rectus Femoris left (85878), , Rectus Femoris right (85844), , Hamstrings left (85904), , Tibilais Anterior right (85641), , Hamstrings right (85873), , Gastrocnemius left (85605)
sensor mode: 40, , sensor mode: 49, , , , , , , , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, -0.0085603, 0, -0.0082246, 0, 56.4634171, 0, -23.3536587, 0, -12.4390249, 0, -0.0169528, 0, 0.0198062, 0, -0.0256809, 0, -0.0099031, 0, -0.0058747, 0, 0.1075914, , , , , , , , , , , , , , , , , , , , , , 
0.0004655, -0.0062104, 0.0005192, -0.0036927, 0.0135, 65, 0.0135, -12.6219511, 0.0135, -15.060976, 0.0004655, -0.0203098, 0.0004655, 0.0203098, 0.0004655, -0.023331, 0.0004655, -0.0102388, 0.0004655, -0.005539, 0.0004655, 0.0914778, , , , , , , , , , , , , , , , , , , , , , 
0.000931, -0.0072175, 0.0010385, -0.0102388, 0.027, 68.1707306, 0.027, -8.2317076, 0.027, -18.4756107, 0.000931, -0.0243381, 0.000931, 0.0203098, 0.000931, -0.0199741, 0.000931, -0.0159457, 0.000931, -0.0036927, 0.000931, 0.0562295, , , , , , , , , , , , , , , , , , , , , , 
0.0013966, -0.0078889, 0.0015577, -0.0169528, 0.0405, 55.9146347, 0.0405, -15.7926836, 0.0405, -20.3658543, 0.0013966, -0.0250095, 0.0013966, 0.0203098, 0.0013966, -0.0196384, 0.0013966, -0.0256809, 0.0013966, -0.0028534, 0.0013966, 0.0391089, , , , , , , , , , , , , , , , , , , , , , 
0.0018621, -0.0072175, 0.0020769, -0.0176242, 0.054, 55.9756126, 0.054, -10.9146347, 0.054, -22.6829281, 0.0018621, -0.0234989, 0.0018621, 0.0216526, 0.0018621, -0.0216526, 0.0018621, -0.0394446, 0.0018621, -0.0041962, 0.0018621, 0.0495155, , , , , , , , , , , , , , , , , , , , , , 
0.0023276, -0.0082246, 0.0025962, -0.0115816, 0.0675, 60.0609779, 0.0675, -6.6463418, 0.0675, -20.2439022, 0.0023276, -0.0216526, 0.0023276, 0.0231632, 0.0023276, -0.0240024, 0.0023276, -0.0508583, 0.0023276, -0.0050355, 0.0023276, 0.0803998, , , , , , , , , , , , , , , , , , , , , , 
0.0027931, -0.0104067, 0.0031154, -0.0048676, 0.081, 67.7439041, 0.081, -5.9756098, 0.081, -11.8902445, 0.0027931, -0.0206455, 0.0027931, 0.0246738, 0.0027931, -0.0270237, 0.0027931, -0.0538796, 0.0027931, -0.0050355, 0.0027931, 0.1059129, , , , , , , , , , , , , , , , , , , , , , 
0.0032586, -0.0125887, 0.0036346, -0.0030213, 0.0945, 69.6951218, 0.0945, -18.4146347, 0.0945, -21.5853672, 0.0032586, -0.0208133, 0.0032586, 0.0260166, 0.0032586, -0.0305486, 0.0032586, -0.0498512, 0.0032586, -0.0052033, 0.0032586, 0.1018845, , , , , , , , , , , , , , , , , , , , , , 
0.0037241, -0.0135958, 0.0041538, -0.0038605, 0.108, 66.7682953, 0.108, -26.2195129, 0.108, -29.6951218, 0.0037241, -0.0203098, 0.0037241, 0.0263523, 0.0037241, -0.0313878, 0.0037241, -0.0461585, 0.0037241, -0.005539, 0.0037241, 0.0696574, , , , , , , , , , , , , , , , , , , , , , 
0.0041897, -0.0142672, 0.0046731, -0.0015106, 0.1215, 60.6097565, 0.1215, -1.2195122, 0.1215, -28.5365868, 0.0041897, -0.018967, 0.0041897, 0.0260166, 0.0041897, -0.0263523, 0.0041897, -0.0433051, 0.0041897, -0.0045319, 0.0041897, 0.0377661, , , , , , , , , , , , , , , , , , , , , , 
