Application:, Trigno Discover (2.0.1.3)
Date/Time:, 9/18/2025 4:05:24 PM
Collection Length (seconds):, 4.995
Tibilais Anterior left (85586), , Gastrocnemius right (85650), , , , , , , , Rectus Femoris left (85878), , Rectus Femoris right (85844), , Hamstrings left (85904), , Tibilais Anterior right (85641), , Hamstrings right (85873), , Gastrocnemius left (85605)
sensor mode: 40, , sensor mode: 49, , , , , , , , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , 
0, -0.0083925, 0, -0.0065461, 0, -62.6219521, 0, 13.1707315, 0, 20.2439022, 0, -0.0035248, 0, 0.01561, 0, -0.0270237, 0, -0.0626078, 0, -0.0030213, 0, 0.0085603, , , , , , , 
0.0004655, -0.0008392, 0.0005192, -0.0077211, 0.0135, -66.8292694, 0.0135, -50.6707344, 0.0135, 27.1951218, 0.0004655, -0.0035248, 0.0004655, 0.0182956, 0.0004655, -0.0250095, 0.0004655, -0.0404517, 0.0004655, -0.0048676, 0.0004655, 0.0463264, , , , , , , 
0.000931, 0.0297093, 0.0010385, -0.0075532, 0.027, -47.5609779, 0.027, -65.3048782, 0.027, 26.5243912, 0.000931, -0.0041962, 0.000931, 0.0193027, 0.000931, -0.0240024, 0.000931, -0.0240024, 0.000931, -0.0058747, 0.000931, 0.0609293, , , , , , , 
0.0013966, 0.0663005, 0.0015577, -0.0065461, 0.0405, -35, 0.0405, -53.3536606, 0.0405, 24.8170738, 0.0013966, -0.0048676, 0.0013966, 0.0172885, 0.0013966, -0.0223239, 0.0013966, -0.0206455, 0.0013966, -0.0062104, 0.0013966, 0.0528725, , , , , , , 
0.0018621, 0.0669718, 0.0020769, -0.0082246, 0.054, -25.3658543, 0.054, -47.3780518, 0.054, 22.9878063, 0.0018621, -0.0068818, 0.0018621, 0.0172885, 0.0018621, -0.0172885, 0.0018621, -0.0186313, 0.0018621, -0.0065461, 0.0018621, 0.0246738, , , , , , , 
0.0023276, 0.0149386, 0.0025962, -0.0109102, 0.0675, -11.7073174, 0.0675, -34.3292694, 0.0675, 14.2682934, 0.0023276, -0.0095674, 0.0023276, 0.0186313, 0.0023276, -0.0119173, 0.0023276, 0.0031891, 0.0023276, -0.0068818, 0.0023276, -0.0162814, , , , , , , 
0.0027931, -0.0485084, 0.0031154, -0.012253, 0.081, -3.9024391, 0.081, -12.9878054, 0.081, 5.609756, 0.0027931, -0.0114137, 0.0027931, 0.0186313, 0.0027931, -0.0135958, 0.0027931, 0.0199741, 0.0027931, -0.0070497, 0.0027931, -0.0538796, , , , , , , 
0.0032586, -0.0748608, 0.0036346, -0.0129244, 0.0945, 1.8902439, 0.0945, -10.9756098, 0.0945, 2.4390244, 0.0032586, -0.0125887, 0.0032586, 0.0171206, 0.0032586, -0.0199741, 0.0032586, -0.0046998, 0.0032586, -0.0065461, 0.0032586, -0.0629435, , , , , , , 
0.0037241, -0.0666361, 0.0041538, -0.0139315, 0.108, 6.7073174, 0.108, -11.8902445, 0.108, -0.6707317, 0.0037241, -0.0129244, 0.0037241, 0.0159457, 0.0037241, -0.0256809, 0.0037241, -0.036759, 0.0037241, -0.0052033, 0.0037241, -0.049012, , , , , , , 
0.0041897, -0.0481727, 0.0046731, -0.0157778, 0.1215, 11.0975609, 0.1215, -5, 0.1215, -4.0243902, 0.0041897, -0.0117494, 0.0041897, 0.0157778, 0.0041897, -0.0292058, 0.0041897, -0.0451514, 0.0041897, -0.0052033, 0.0041897, -0.0238346, , , , , , , 
0.0046552, -0.0323949, 0.0051923, -0.0169528, 0.135, 18.6585369, 0.135, 4.8170733, 0.135, -9.7560978, 0.0046552, -0.0104067, 0.0046552, 0.0166171, 0.0046552, -0.0323949, 0.0046552, -0.0391089, 0.0046552, -0.0058747, 0.0046552, 0.0146029, , , , , , , 
0.0051207, -0.0219883, 0.0057115, -0.0169528, 0.1485, 22.439024, 0.1485, 9.0243902, 0.1485, -13.0487804, 0.0051207, -0.0105745, 0.0051207, 0.0169528, 0.0051207, -0.0374304, 0.0051207, -0.0248417, 0.0051207, -0.0062104, 0.0051207, 0.0458228, , , , , , , 
0.0055862, -0.0179599, 0.0062308, -0.0159457, 0.162, 29.2073174, 0.162, 10.9146347, 0.162, -16.7682934, 0.0055862, -0.0109102, 0.0055862, 0.0159457, 0.0055862, -0.0431373, 0.0055862, 0.002182, 0.0055862, -0.006714, 0.0055862, 0.0428016, , , , , , , 
0.0060517, -0.0203098, 0.00675, -0.0152743, 0.1755, 30.5487804, 0.1755, 0.6707317, 0.1755, -18.1707325, 0.0060517, -0.0095674, 0.0060517, 0.0159457, 0.0060517, -0.0485084, 0.0060517, -0.0041962, 0.0060517, -0.0068818, 0.0060517, 0.0146029, , , , , , , 
0.0065172, -0.018967, 0.0072692, -0.0142672, 0.189, 23.1097565, 0.189, -20.4878044, 0.189, -18.2317085, 0.0065172, -0.0082246, 0.0065172, 0.0159457, 0.0065172, -0.0527047, 0.0065172, -0.0397803, 0.0065172, -0.0068818, 0.0065172, -0.002182, , , , , , , 
0.0069828, -0.0115816, 0.0077885, -0.0146029, 0.2025, 28.3536587, 0.2025, -13.5975609, 0.2025, -21.2195129, 0.0069828, -0.0052033, 0.0069828, 0.0172885, 0.0069828, -0.0548867, 0.0069828, -0.061265, 0.0069828, -0.0078889, 0.0069828, 0.0052033, , , , , , , 
0.0074483, -0.0072175, 0.0083077, -0.01561, 0.216, 35.7926826, 0.216, 8.1097565, 0.216, -32.7439041, 0.0074483, -0.0038605, 0.0074483, 0.0199741, 0.0074483, -0.0516976, 0.0074483, -0.0582437, 0.0074483, -0.0077211, 0.0074483, 0.0186313, , , , , , , 
0.0079138, -0.0104067, 0.0088269, -0.0152743, 0.2295, 52.2560997, 0.2295, 36.7682953, 0.2295, -55.2439041, 0.0079138, -0.0041962, 0.0079138, 0.0203098, 0.0079138, -0.0459907, 0.0079138, -0.0481727, 0.0079138, -0.0063783, 0.0079138, 0.0172885, , , , , , , 
0.0083793, -0.0149386, 0.0093462, -0.0159457, 0.243, 75.7926865, 0.243, 81.4024429, 0.243, -57.1951218, 0.0083793, -0.0063783, 0.0083793, 0.0213169, 0.0083793, -0.0397803, 0.0083793, -0.026688, 0.0083793, -0.0052033, 0.0083793, 0.0043641, , , , , , , 
0.0088448, -0.0169528, 0.0098654, -0.01561, 0.2565, 71.0365906, 0.2565, 74.8170776, 0.2565, -36.5853653, 0.0088448, -0.0087282, 0.0088448, 0.0229953, 0.0088448, -0.0344091, 0.0088448, -0.0105745, 0.0088448, -0.0048676, 0.0088448, -0.0149386, , , , , , , 
0.0093103, -0.0154421, 0.0103846, -0.0137636, 0.27, 31.5853672, 0.27, -6.8292685, 0.27, -27.6829281, 0.0093103, -0.0090639, 0.0093103, 0.0226596, 0.0093103, -0.0283665, 0.0093103, -0.0350805, 0.0093103, -0.0045319, 0.0093103, -0.0320592, , , , , , , 
0.0097759, -0.0077211, 0.0109038, -0.0142672, 0.2835, 26.1585369, 0.2835, -32.0731697, 0.2835, -35.7317085, 0.0097759, -0.0072175, 0.0097759, 0.0224918, 0.0097759, -0.0226596, 0.0097759, -0.0673075, 0.0097759, -0.0041962, 0.0097759, -0.0357519, , , , , , , 
0.0102414, -0.0001678, 0.0114231, -0.0135958, 0.297, 46.9512215, 0.297, 18.4756107, 0.297, -38.5975609, 0.0102414, -0.0073854, 0.0102414, 0.0240024, 0.0102414, -0.0182956, 0.0102414, -0.0753643, 0.0102414, -0.0048676, 0.0102414, -0.0260166, , , , , , , 
0.0107069, -0.0015106, 0.0119423, -0.0102388, 0.3105, 62.1341476, 0.3105, 28.1707325, 0.3105, -34.5121956, 0.0107069, -0.008896, 0.0107069, 0.0251774, 0.0107069, -0.0184634, 0.0107069, -0.0676432, 0.0107069, -0.0062104, 0.0107069, -0.0095674, , , , , , , 
0.0111724, -0.0102388, 0.0124615, -0.0095674, 0.324, 69.4512177, 0.324, 35.5487823, 0.324, -32.7439041, 0.0111724, -0.0099031, 0.0111724, 0.0246738, 0.0111724, -0.0193027, 0.0111724, -0.0532082, 0.0111724, -0.0062104, 0.0111724, 0.0240024, , , , , , , 
0.0116379, -0.0229953, 0.0129808, -0.0099031, 0.3375, 76.4634171, 0.3375, 34.0853653, 0.3375, -32.7439041, 0.0116379, -0.0092317, 0.0116379, 0.0238346, 0.0116379, -0.0169528, 0.0116379, -0.0260166, 0.0116379, -0.0050355, 0.0116379, 0.0683146, , , , , , , 
0.0121034, -0.0290379, 0.0135, -0.0077211, 0.351, 78.5975647, 0.351, -8.6585369, 0.351, -36.4634171, 0.0121034, -0.0082246, 0.0121034, 0.0236667, 0.0121034, -0.0129244, 0.0121034, -0.0236667, 0.0121034, -0.0052033, 0.0121034, 0.1018845, , , , , , , 
0.012569, -0.01561, 0.0140192, -0.0068818, 0.3645, 73.4756088, 0.3645, -44.9390259, 0.3645, -39.0243912, 0.012569, -0.0072175, 0.012569, 0.023331, 0.012569, -0.0109102, 0.012569, -0.0515297, 0.012569, -0.0058747, 0.012569, 0.1028916, , , , , , , 
0.0130345, 0.0132601, 0.0145385, -0.0075532, 0.378, 62.0731735, 0.378, -65.3658524, 0.378, -44.5731735, 0.0130345, -0.0068818, 0.0130345, 0.0236667, 0.0130345, -0.0135958, 0.0130345, -0.0694896, 0.0130345, -0.0065461, 0.0130345, 0.0683146, , , , , , , 
0.0135, 0.0327306, 0.0150577, -0.008896, 0.3915, 62.68293, 0.3915, -51.9512215, 0.3915, -48.9634171, 0.0135, -0.0070497, 0.0135, 0.0219883, 0.0135, -0.0162814, 0.0135, -0.0609293, 0.0135, -0.0058747, 0.0135, 0.0045319, , , , , , , 
0.0139655, 0.018967, 0.0155769, -0.0125887, 0.405, 80.5487823, 0.405, -23.3536587, 0.405, -47.1341476, 0.0139655, -0.0072175, 0.0139655, 0.0186313, 0.0139655, -0.0176242, 0.0139655, -0.0404517, 0.0139655, -0.0050355, 0.0139655, -0.0569009, , , , , , , 
0.014431, -0.0068818, 0.0160962, -0.0154421, 0.4185, 94.146347, 0.4185, 0.9146342, 0.4185, -45.3658562, 0.014431, -0.0068818, 0.014431, 0.0179599, 0.014431, -0.0176242, 0.014431, -0.0350805, 0.014431, -0.0045319, 0.014431, -0.0782177, , , , , , , 
0.0148966, -0.0196384, 0.0166154, -0.0152743, 0.432, 103.1707306, 0.432, -2.804878, 0.432, -43.9024391, 0.0148966, -0.0070497, 0.0148966, 0.0182956, 0.0148966, -0.0198062, 0.0148966, -0.04448, 0.0148966, -0.0048676, 0.0148966, -0.0626078, , , , , , , 
0.0153621, -0.0130922, 0.0171346, -0.0135958, 0.4455, 101.7682953, 0.4455, -28.0487804, 0.4455, -43.2317085, 0.0153621, -0.0077211, 0.0153621, 0.0179599, 0.0153621, -0.0240024, 0.0153621, -0.0480049, 0.0153621, -0.0045319, 0.0153621, -0.04448, , , , , , , 
0.0158276, -0.0045319, 0.0176538, -0.0115816, 0.459, 87.8658524, 0.459, -51.341465, 0.459, -35, 0.0158276, -0.0082246, 0.0158276, 0.0179599, 0.0158276, -0.0276951, 0.0158276, -0.024506, 0.0158276, -0.0038605, 0.0158276, -0.0439765, , , , , , , 
0.0162931, -0.0097353, 0.0181731, -0.0092317, 0.4725, 67.68293, 0.4725, -58.4756126, 0.4725, -19.5731716, 0.0162931, -0.0075532, 0.0162931, 0.0179599, 0.0162931, -0.0287022, 0.0162931, -0.0036927, 0.0162931, -0.0041962, 0.0162931, -0.0597543, , , , , , , 
0.0167586, -0.0218204, 0.0186923, -0.0083925, 0.486, 49.8780518, 0.486, -42.3780479, 0.486, -7.9268293, 0.0167586, -0.0052033, 0.0167586, 0.0186313, 0.0167586, -0.0270237, 0.0167586, -0.023331, 0.0167586, -0.0062104, 0.0167586, -0.0757, , , , , , , 
0.0172241, -0.0250095, 0.0192115, -0.0082246, 0.4995, 47.3780518, 0.4995, -29.6341476, 0.4995, -3.0487804, 0.0172241, -0.0036927, 0.0172241, 0.0179599, 0.0172241, -0.0243381, 0.0172241, -0.0505226, 0.0172241, -0.0082246, 0.0172241, -0.0750286, , , , , , , 
0.0176897, -0.0130922, 0.0197308, -0.0102388, 0.513, 49.8170738, 0.513, -21.7073174, 0.513, -1.7682927, 0.0176897, -0.0041962, 0.0176897, 0.0162814, 0.0176897, -0.021149, 0.0176897, -0.0589151, 0.0176897, -0.0075532, 0.0176897, -0.0552224, , , , , , , 
0.0181552, 0.0028534, 0.02025, -0.012253, 0.5265, 49.7560997, 0.5265, 7.6829271, 0.5265, 2.9878049, 0.0181552, -0.0041962, 0.0181552, 0.0152743, 0.0181552, -0.0182956, 0.0181552, -0.0555581, 0.0181552, -0.0068818, 0.0181552, -0.0303807, , , , , , , 
0.0186207, 0.0112459, 0.0207692, -0.0129244, 0.54, 45.3658562, 0.54, 24.8780499, 0.54, 10.7317076, 0.0186207, -0.0028534, 0.0186207, 0.0157778, 0.0186207, -0.0172885, 0.0186207, -0.04448, 0.0186207, -0.0068818, 0.0186207, -0.018967, , , , , , , 
0.0190862, 0.0095674, 0.0212885, -0.0132601, 0.5535, 44.5731735, 0.5535, 21.3414631, 0.5535, 14.3292685, 0.0190862, -0.0035248, 0.0190862, 0.0159457, 0.0190862, -0.0191348, 0.0190862, -0.0152743, 0.0190862, -0.0070497, 0.0190862, -0.033402, , , , , , , 
0.0195517, 0.0025177, 0.0218077, -0.0135958, 0.567, 53.6585388, 0.567, 20.5487804, 0.567, 4.8780489, 0.0195517, -0.0041962, 0.0195517, 0.0162814, 0.0195517, -0.0223239, 0.0195517, -0.0115816, 0.0195517, -0.0046998, 0.0195517, -0.0656291, , , , , , , 
0.0200172, -0.0031891, 0.0223269, -0.0119173, 0.5805, 54.0243912, 0.5805, 10.6707315, 0.5805, -3.2317073, 0.0200172, -0.0048676, 0.0200172, 0.0172885, 0.0200172, -0.0238346, 0.0200172, -0.0365911, 0.0200172, -0.0035248, 0.0200172, -0.1072557, , , , , , , 
0.0204828, 0.0001678, 0.0228462, -0.0105745, 0.594, 42.9878044, 0.594, -0.2439024, 0.594, -0.4268293, 0.0204828, -0.005539, 0.0204828, 0.0176242, 0.0204828, -0.0231632, 0.0204828, -0.0532082, 0.0204828, -0.0048676, 0.0204828, -0.1498894, , , , , , , 
0.0209483, 0.0115816, 0.0233654, -0.0115816, 0.6075, 42.5, 0.6075, 7.8658538, 0.6075, 4.6951222, 0.0209483, -0.005539, 0.0209483, 0.01561, 0.0209483, -0.0226596, 0.0209483, -0.0535439, 0.0209483, -0.0052033, 0.0209483, -0.1762417, , , , , , , 
0.0214138, 0.0193027, 0.0238846, -0.0135958, 0.621, 46.341465, 0.621, 42.1951218, 0.621, -0.3048781, 0.0214138, -0.0045319, 0.0214138, 0.0132601, 0.0214138, -0.0246738, 0.0214138, -0.0495155, 0.0214138, -0.005539, 0.0214138, -0.1794308, , , , , , , 
0.0218793, 0.0038605, 0.0244038, -0.0115816, 0.6345, 53.5365868, 0.6345, 71.2804871, 0.6345, -2.804878, 0.0218793, -0.0041962, 0.0218793, 0.0129244, 0.0218793, -0.0276951, 0.0218793, -0.0340734, 0.0218793, -0.0052033, 0.0218793, -0.1807736, , , , , , , 
0.0223448, -0.0273594, 0.0249231, -0.008896, 0.648, 61.4634171, 0.648, 92.8048782, 0.648, -1.402439, 0.0223448, -0.0028534, 0.0223448, 0.0135958, 0.0223448, -0.0298772, 0.0223448, -0.018967, 0.0223448, -0.0041962, 0.0223448, -0.1747311, , , , , , , 
0.0228103, -0.0498512, 0.0254423, -0.0092317, 0.6615, 78.0487823, 0.6615, 101.4634171, 0.6615, -1.7682927, 0.0228103, -0.0010071, 0.0228103, 0.014435, 0.0228103, -0.0327306, 0.0228103, -0.0364233, 0.0228103, -0.0031891, 0.0228103, -0.1225299, , , , , , , 
0.0232759, -0.0525368, 0.0259615, -0.0102388, 0.675, 88.5975647, 0.675, 88.8414688, 0.675, -7.5609756, 0.0232759, -0.0005035, 0.0232759, 0.0171206, 0.0232759, -0.036759, 0.0232759, -0.0599222, 0.0232759, -0.0028534, 0.0232759, -0.0263523, , , , , , , 
0.0237414, -0.0391089, 0.0264808, -0.0104067, 0.6885, 96.7682953, 0.6885, 85.0609741, 0.6885, -10.1829271, 0.0237414, -0.0028534, 0.0237414, 0.0204776, 0.0237414, -0.0392767, 0.0237414, -0.0626078, 0.0237414, -0.0011749, 0.0237414, 0.0639506, , , , , , , 
0.0242069, -0.0196384, 0.027, -0.0109102, 0.702, 109.146347, 0.702, 81.3414688, 0.702, -4.9390244, 0.0242069, -0.005539, 0.0242069, 0.0223239, 0.0242069, -0.0381018, 0.0242069, -0.057908, 0.0242069, -0.0003357, 0.0242069, 0.1025559, , , , , , , 
0.0246724, -0.0135958, 0.0275192, -0.0109102, 0.7155, 125.7317123, 0.7155, 92.7439041, 0.7155, -0.8536586, 0.0246724, -0.0072175, 0.0246724, 0.0226596, 0.0246724, -0.0350805, 0.0246724, -0.0508583, 0.0246724, -0.0008392, 0.0246724, 0.0773785, , , , , , , 
0.0251379, -0.0229953, 0.0280385, -0.0112459, 0.729, 136.3414612, 0.729, 92.7439041, 0.729, 7.3780489, 0.0251379, -0.0068818, 0.0251379, 0.0224918, 0.0251379, -0.0317235, 0.0251379, -0.0285344, 0.0251379, -0.0018463, 0.0251379, 0.0387732, , , , , , , 
0.0256034, -0.0280308, 0.0285577, -0.0119173, 0.7425, 144.5121918, 0.7425, 73.5365906, 0.7425, 18.5975609, 0.0256034, -0.0052033, 0.0256034, 0.0223239, 0.0256034, -0.0317235, 0.0256034, -0.030045, 0.0256034, -0.0025177, 0.0256034, 0.0350805, , , , , , , 
0.026069, -0.0270237, 0.0290769, -0.0129244, 0.756, 149.9390259, 0.756, 16.5243912, 0.756, 37.8048782, 0.026069, -0.0035248, 0.026069, 0.0216526, 0.026069, -0.0315557, 0.026069, -0.0602579, 0.026069, -0.0028534, 0.026069, 0.0522011, , , , , , , 
0.0265345, -0.0287022, 0.0295962, -0.0132601, 0.7695, 140.4878082, 0.7695, -81.1585388, 0.7695, 97.3170776, 0.0265345, -0.0028534, 0.0265345, 0.0206455, 0.0265345, -0.0280308, 0.0265345, -0.0803998, 0.0265345, -0.0028534, 0.0265345, 0.0602579, , , , , , , 
0.027, -0.0310521, 0.0301154, -0.0127565, 0.783, 160.36586, 0.783, -222.3780518, 0.783, 94.0243912, 0.027, -0.0043641, 0.027, 0.0206455, 0.027, -0.0243381, 0.027, -0.0773785, 0.027, -0.0026856, 0.027, 0.0488441, , , , , , , 
0.0274655, -0.027863, 0.0306346, -0.0124208, 0.7965, 244.2073212, 0.7965, -248.23172, 0.7965, 52.3170738, 0.0274655, -0.0075532, 0.0274655, 0.0209812, 0.0274655, -0.0238346, 0.0274655, -0.0614328, 0.0274655, -0.0041962, 0.0274655, 0.027863, , , , , , , 
0.027931, -0.0273594, 0.0311538, -0.0117494, 0.81, 252.2561035, 0.81, -269.512207, 0.81, 59.7560997, 0.027931, -0.0092317, 0.027931, 0.0219883, 0.027931, -0.0270237, 0.027931, -0.0555581, 0.027931, -0.0057069, 0.027931, 0.0263523, , , , , , , 
0.0283966, -0.0276951, 0.0316731, -0.0129244, 0.8235, 148.2926788, 0.8235, -220.6707306, 0.8235, 83.4756088, 0.0283966, -0.008896, 0.0283966, 0.0224918, 0.0283966, -0.0323949, 0.0283966, -0.0599222, 0.0283966, -0.0062104, 0.0283966, 0.0585794, , , , , , , 
0.0288621, -0.0142672, 0.0321923, -0.014435, 0.837, 88.7195129, 0.837, -50.8536606, 0.837, 81.9512177, 0.0288621, -0.0065461, 0.0288621, 0.0219883, 0.0288621, -0.036759, 0.0288621, -0.057908, 0.0288621, -0.0070497, 0.0288621, 0.0944991, , , , , , , 
0.0293276, 0.0090639, 0.0327115, -0.0132601, 0.8505, -32.0731697, 0.8505, 164.6341553, 0.8505, 56.341465, 0.0293276, -0.0041962, 0.0293276, 0.0216526, 0.0293276, -0.0399481, 0.0293276, -0.0313878, 0.0293276, -0.0068818, 0.0293276, 0.0872816, , , , , , , 
0.0297931, 0.0172885, 0.0332308, -0.0119173, 0.864, -113.1707306, 0.864, 164.3292694, 0.864, 70.9146347, 0.0297931, -0.0031891, 0.0297931, 0.0216526, 0.0297931, -0.0424659, 0.0297931, -0.0097353, 0.0297931, -0.0065461, 0.0297931, 0.0206455, , , , , , , 
0.0302586, 0.0119173, 0.03375, -0.0119173, 0.8775, -113.6585388, 0.8775, 182.0731812, 0.8775, 129.2073212, 0.0302586, -0.0016785, 0.0302586, 0.0206455, 0.0302586, -0.0394446, 0.0302586, -0.0310521, 0.0302586, -0.0065461, 0.0302586, -0.0619364, , , , , , , 
0.0307241, 0.0095674, 0.0342692, -0.0109102, 0.891, -49.6951218, 0.891, 257.012207, 0.891, 203.4756165, 0.0307241, -0.0008392, 0.0307241, 0.0199741, 0.0307241, -0.0337377, 0.0307241, -0.0599222, 0.0307241, -0.0068818, 0.0307241, -0.0955062, , , , , , , 
0.0311897, 0.0127565, 0.0347885, -0.0099031, 0.9045, -65, 0.9045, 281.4634094, 0.9045, 87.8048782, 0.0311897, -0.0030213, 0.0311897, 0.0209812, 0.0311897, -0.030045, 0.0311897, -0.066804, 0.0311897, -0.0068818, 0.0311897, -0.0699931, , , , , , , 
0.0316552, 0.0048676, 0.0353077, -0.0095674, 0.918, -198.9024506, 0.918, 101.2804871, 0.918, 20.2439022, 0.0316552, -0.0068818, 0.0316552, 0.0199741, 0.0316552, -0.0283665, 0.0316552, -0.0580758, 0.0316552, -0.0075532, 0.0316552, -0.0229953, , , , , , , 
0.0321207, -0.0240024, 0.0358269, -0.008896, 0.9315, -278.7804871, 0.9315, -163.9634247, 0.9315, 29.0853672, 0.0321207, -0.0095674, 0.0321207, 0.0186313, 0.0321207, -0.0260166, 0.0321207, -0.0404517, 0.0321207, -0.0083925, 0.0321207, 0.0171206, , , , , , , 
0.0325862, -0.0538796, 0.0363462, -0.0099031, 0.945, -325.3658752, 0.945, -344.3292847, 0.945, 14.5121956, 0.0325862, -0.0112459, 0.0325862, 0.0186313, 0.0325862, -0.0229953, 0.0325862, -0.012253, 0.0325862, -0.0082246, 0.0325862, 0.0374304, , , , , , , 
