Application:, Trigno Discover (2.0.1.3)
Date/Time:, 9/18/2025 4:07:04 PM
Collection Length (seconds):, 4.995
Tibilais Anterior left (85586), , Gastrocnemius right (85650), , , , , , , , Rectus Femoris left (85878), , Rectus Femoris right (85844), , Hamstrings left (85904), , Tibilais Anterior right (85641), , Hamstrings right (85873), , Gastrocnemius left (85605)
sensor mode: 40, , sensor mode: 49, , , , , , , , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , 
0, -0.008896, 0, -0.0135958, 0, 34.0243912, 0, -18.2317085, 0, -10.1219511, 0, -0.0109102, 0, 0.023331, 0, -0.0303807, 0, -0.0263523, 0, 0.0092317, 0, 0.0461585, , , , , , , 
0.0004655, -0.0045319, 0.0005192, -0.0109102, 0.0135, 28.9634151, 0.0135, -55.4878044, 0.0135, -27.7439022, 0.0004655, -0.0115816, 0.0004655, 0.0226596, 0.0004655, -0.0297093, 0.0004655, -0.0270237, 0.0004655, 0.0087282, 0.0004655, 0.0327306, , , , , , , 
0.000931, -0.0031891, 0.0010385, -0.0139315, 0.027, 46.8902435, 0.027, -60.3048782, 0.027, -47.3170738, 0.000931, -0.014435, 0.000931, 0.023331, 0.000931, -0.0293736, 0.000931, -0.026688, 0.000931, 0.0070497, 0.000931, 0.0176242, , , , , , , 
0.0013966, -0.0035248, 0.0015577, -0.0169528, 0.0405, 77.1341476, 0.0405, 5.3658538, 0.0405, -72.8048782, 0.0013966, -0.0169528, 0.0013966, 0.0240024, 0.0013966, -0.0303807, 0.0013966, -0.0260166, 0.0013966, 0.0041962, 0.0013966, 0.0078889, , , , , , , 
0.0018621, -0.0043641, 0.0020769, -0.0184634, 0.054, 75, 0.054, 0.7926829, 0.054, -107.9268341, 0.0018621, -0.017792, 0.0018621, 0.0226596, 0.0018621, -0.0318914, 0.0018621, -0.0243381, 0.0018621, 0.0018463, 0.0018621, 0.0052033, , , , , , , 
0.0023276, -0.0072175, 0.0025962, -0.018967, 0.0675, 70.8536606, 0.0675, 26.8292694, 0.0675, -132.8048859, 0.0023276, -0.0182956, 0.0023276, 0.023331, 0.0023276, -0.0337377, 0.0023276, -0.0236667, 0.0023276, -0.0008392, 0.0023276, 0.0031891, , , , , , , 
0.0027931, -0.0109102, 0.0031154, -0.0166171, 0.081, 108.7804871, 0.081, 182.2561035, 0.081, -117.3780518, 0.0027931, -0.018967, 0.0027931, 0.0246738, 0.0027931, -0.0339055, 0.0027931, -0.0250095, 0.0027931, -0.0016785, 0.0027931, -0.0036927, , , , , , , 
0.0032586, -0.01561, 0.0036346, -0.01561, 0.0945, 118.1707382, 0.0945, 191.4634247, 0.0945, -4.7560978, 0.0032586, -0.0182956, 0.0032586, 0.0253452, 0.0032586, -0.0320592, 0.0032586, -0.0270237, 0.0032586, -0.0015106, 0.0032586, -0.0115816, , , , , , , 
0.0037241, -0.0203098, 0.0041538, -0.0162814, 0.108, 17.1341476, 0.108, -91.9512253, 0.108, 15.8536587, 0.0037241, -0.018967, 0.0037241, 0.0240024, 0.0037241, -0.0297093, 0.0037241, -0.0260166, 0.0037241, -0.0030213, 0.0037241, -0.0216526, , , , , , , 
0.0041897, -0.0209812, 0.0046731, -0.0169528, 0.1215, 35.3048782, 0.1215, -139.0853729, 0.1215, -142.1341553, 0.0041897, -0.0203098, 0.0041897, 0.0238346, 0.0041897, -0.0303807, 0.0041897, -0.0250095, 0.0041897, -0.0052033, 0.0041897, -0.0305486, , , , , , , 
