Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24-09-2025 10:38:32
Collection Length (seconds):, 5.8185
 Hamstrings left (85586), , TibilaisÂ Anterior right (85650), ,  Rectus Femoris left (85878), ,  Rectus Femoris right (85844), ,  Hamstrings right (85641), ,  Gastrocnemius right (85873), ,  Gastrocnemius left (85904), , TibilaisÂ Anterior left (85605)
sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, -0.0176242, 0, -0.0075532, 0, -0.008896, 0, 0.0135958, 0, -0.0270237, 0, -0.0062104, 0, -0.0169528, 0, -0.014435, , , , , , , , , , , , , , , , , , , , , , 
0.0004655, -0.008896, 0.0004655, -0.0078889, 0.0004655, -0.0090639, 0.0004655, 0.0146029, 0.0004655, -0.026688, 0.0004655, -0.0005035, 0.0004655, -0.0146029, 0.0004655, -0.01561, , , , , , , , , , , , , , , , , , , , , , 
0.000931, -0.0028534, 0.000931, -0.0115816, 0.000931, -0.0099031, 0.000931, 0.0146029, 0.000931, -0.026688, 0.000931, 0.0048676, 0.000931, -0.0182956, 0.000931, -0.0159457, , , , , , , , , , , , , , , , , , , , , , 
0.0013966, -0.0015106, 0.0013966, -0.0130922, 0.0013966, -0.0104067, 0.0013966, 0.0146029, 0.0013966, -0.0250095, 0.0013966, 0.0035248, 0.0013966, -0.0260166, 0.0013966, -0.0172885, , , , , , , , , , , , , , , , , , , , , , 
0.0018621, -0.0065461, 0.0018621, -0.0135958, 0.0018621, -0.0099031, 0.0018621, 0.0152743, 0.0018621, -0.0250095, 0.0018621, 0.0018463, 0.0018621, -0.0310521, 0.0018621, -0.018967, , , , , , , , , , , , , , , , , , , , , , 
0.0023276, -0.0109102, 0.0023276, -0.0149386, 0.0023276, -0.008896, 0.0023276, 0.0159457, 0.0023276, -0.0263523, 0.0023276, 0.0031891, 0.0023276, -0.0313878, 0.0023276, -0.0196384, , , , , , , , , , , , , , , , , , , , , , 
0.0027931, -0.0114137, 0.0027931, -0.0149386, 0.0027931, -0.0092317, 0.0027931, 0.0172885, 0.0027931, -0.0283665, 0.0027931, 0.0045319, 0.0027931, -0.0320592, 0.0027931, -0.0186313, , , , , , , , , , , , , , , , , , , , , , 
0.0032586, -0.0117494, 0.0032586, -0.0135958, 0.0032586, -0.0115816, 0.0032586, 0.017792, 0.0032586, -0.027863, 0.0032586, 0.0038605, 0.0032586, -0.0359197, 0.0032586, -0.0169528, , , , , , , , , , , , , , , , , , , , , , 
0.0037241, -0.0102388, 0.0037241, -0.0130922, 0.0037241, -0.012253, 0.0037241, 0.0179599, 0.0037241, -0.0251774, 0.0037241, 0.0025177, 0.0037241, -0.0370947, 0.0037241, -0.0162814, , , , , , , , , , , , , , , , , , , , , , 
0.0041897, -0.008896, 0.0041897, -0.0135958, 0.0041897, -0.0092317, 0.0041897, 0.0172885, 0.0041897, -0.0231632, 0.0041897, 0.0023499, 0.0041897, -0.0357519, 0.0041897, -0.0157778, , , , , , , , , , , , , , , , , , , , , , 
0.0046552, -0.0115816, 0.0046552, -0.012253, 0.0046552, -0.0077211, 0.0046552, 0.0164492, 0.0046552, -0.0231632, 0.0046552, 0.0011749, 0.0046552, -0.0347448, 0.0046552, -0.0162814, , , , , , , , , , , , , , , , , , , , , , 
0.0051207, -0.0166171, 0.0051207, -0.0095674, 0.0051207, -0.0085603, 0.0051207, 0.0172885, 0.0051207, -0.024506, 0.0051207, -0.0001678, 0.0051207, -0.0354162, 0.0051207, -0.0159457, , , , , , , , , , , , , , , , , , , , , , 
0.0055862, -0.0186313, 0.0055862, -0.0075532, 0.0055862, -0.0097353, 0.0055862, 0.0176242, 0.0055862, -0.0253452, 0.0055862, -0.0005035, 0.0055862, -0.0374304, 0.0055862, -0.01561, , , , , , , , , , , , , , , , , , , , , , 
0.0060517, -0.0159457, 0.0060517, -0.008896, 0.0060517, -0.0105745, 0.0060517, 0.0186313, 0.0060517, -0.0256809, 0.0060517, -0.0001678, 0.0060517, -0.0360876, 0.0060517, -0.0159457, , , , , , , , , , , , , , , , , , , , , , 
0.0065172, -0.0129244, 0.0065172, -0.0115816, 0.0065172, -0.0109102, 0.0065172, 0.017792, 0.0065172, -0.0256809, 0.0065172, -0.0015106, 0.0065172, -0.0260166, 0.0065172, -0.0172885, , , , , , , , , , , , , , , , , , , , , , 
