Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 14:36:52
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, -0.0298772, 0, -7.0121951, 0, -46.2195129, 0, -16.5243912, 0, 0.0176242, 0, -32.3170738, 0, -50.6097565, 0, 28.841465, 0, -0.0250095, 0, 85.0609741, 0, -53.1097565, 0, -6.4024391, 0, 0.0130922, 0, 4.6951222, 0, -23.4756107, 0, 0.6097561, 0, -0.0288701, 0, -21.280489, 0, 25.5487804, 0, -40.3048782, 0, 0.0045319, 0, -45.6707344, 0, -49.6951218, 0, 79.0853653, 0, -0.0095674, 0, 10.5487804, 0, 12.6829271, 0, 28.3536587, 0, -0.002182, 0, -4.390244, 0, -21.280489, 0, -21.4634151, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, -0.0297093, 0.0135, 3.9024391, 0.0135, -5.1219511, 0.0135, -21.7682934, 0.0005192, 0.0226596, 0.0135, -26.7073174, 0.0135, -30.6707325, 0.0135, 16.1585369, 0.0005192, -0.0251774, 0.0135, 95.2439041, 0.0135, -56.1585388, 0.0135, -10.060976, 0.0005192, 0.0199741, 0.0135, 2.9878049, 0.0135, -2.9878049, 0.0135, 0.1829268, 0.0005192, -0.0191348, 0.0135, -15.2439032, 0.0135, 34.0853653, 0.0135, -46.2804871, 0.0005192, -0.0041962, 0.0135, -44.9390259, 0.0135, -44.0853653, 0.0135, 88.1707306, 0.0005192, -0.0092317, 0.0135, 12.0121956, 0.0135, 14.4512196, 0.0135, 29.2073174, 0.0005192, -0.0045319, 0.0135, -6.890244, 0.0135, 0.7926829, 0.0135, -11.8292685, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, -0.0307164, 0.027, 28.1097565, 0.027, 17.3170738, 0.027, -30.7317085, 0.0010385, 0.0273594, 0.027, -30.9756107, 0.027, -30.3658543, 0.027, 11.280488, 0.0010385, -0.0253452, 0.027, 102.7439041, 0.027, -49.6951218, 0.027, -15.6707325, 0.0010385, 0.0186313, 0.027, 0.3048781, 0.027, 14.1463413, 0.027, -2.5609756, 0.0010385, -0.0152743, 0.027, -11.4634151, 0.027, 45.4268303, 0.027, -51.1585388, 0.0010385, -0.0270237, 0.027, -42.8658562, 0.027, -16.5243912, 0.027, 99.0243912, 0.0010385, -0.0085603, 0.027, 14.8780489, 0.027, 14.2682934, 0.027, 27.560976, 0.0010385, -0.0075532, 0.027, -4.3292685, 0.027, 36.7682953, 0.027, -7.8048782, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, -0.0307164, 0.0405, 50.1219521, 0.0405, 23.6585369, 0.0405, -34.6951218, 0.0015577, 0.0307164, 0.0405, -39.2073174, 0.0405, -18.9634151, 0.0405, 22.6219521, 0.0015577, -0.0250095, 0.0405, 113.6585388, 0.0405, -34.6341476, 0.0405, -18.9634151, 0.0015577, -0.0236667, 0.0405, 0.2439024, 0.0405, 19.3292694, 0.0405, -3.0487804, 0.0015577, -0.0132601, 0.0405, -12.7439032, 0.0405, 64.2073212, 0.0405, -54.5731735, 0.0015577, -0.0374304, 0.0405, -45.3658562, 0.0405, -13.2926836, 0.0405, 104.6951218, 0.0015577, -0.008896, 0.0405, 22.0121956, 0.0405, 13.5975609, 0.0405, 25.1219521, 0.0015577, -0.0078889, 0.0405, 0, 0.0405, 0, 0.0405, 0, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, -0.0298772, 0.054, 58.3536606, 0.054, 19.0243912, 0.054, -33.2926826, 0.0020769, 0.0313878, 0.054, -46.0365868, 0.054, 4.1463413, 0.054, 32.0731697, 0.0020769, -0.0263523, 0.054, 126.1585388, 0.054, -12.6219511, 0.054, -21.8292694, 0.0020769, -0.0622721, 0.054, 3.2317073, 0.054, 1.6463414, 0.054, -2.0731707, 0.0020769, -0.0095674, 0.054, -25.9146347, 0.054, 87.0121994, 0.054, -56.4024391, 0.0020769, -0.0250095, 0.054, 0, 0.054, 0, 0.054, 0, 0.0020769, -0.0082246, 0.054, 0, 0.054, 0, 0.054, 0, 0.0020769, -0.0068818, 0.054, -4.6951222, 0.054, 7.5, 0.054, -11.4634151, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, -0.0293736, 0.0675, 47.7439041, 0.0675, 18.2926826, 0.0675, -29.0243912, 0.0025962, 0.0287022, 0.0675, -47.0121956, 0.0675, 20.9146347, 0.0675, 33.5365868, 0.0025962, -0.0280308, 0.0675, 131.1585388, 0.0675, 9.4512196, 0.0675, -21.3414631, 0.0025962, -0.0636149, 0.0675, 7.1341467, 0.0675, -21.5853672, 0.0675, -0.1219512, 0.0025962, -0.0072175, 0.0675, -50.9146347, 0.0675, 94.8170776, 0.0675, -58.2926826, 0.0025962, -0.0015106, 0.0675, -53.9634171, 0.0675, 3.3536587, 0.0675, 125.0609818, 0.0025962, -0.0082246, 0.0675, 33.5365868, 0.0675, 11.4634151, 0.0675, 21.9512196, 0.0025962, -0.0072175, 0.0675, -4.6951222, 0.0675, -21.1585369, 0.0675, -14.7560978, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, -0.0310521, 0.081, 40.2439041, 0.081, 25.1829281, 0.081, -26.5853672, 0.0031154, 0.026688, 0.081, -36.4634171, 0.081, 47.8658562, 0.081, 34.1463432, 0.0031154, -0.0260166, 0.081, 131.1585388, 0.081, 2.4390244, 0.081, -16.1585369, 0.0031154, -0.04448, 0.081, 9.8780489, 0.081, -37.1341476, 0.081, 2.1341465, 0.0031154, -0.0065461, 0.081, -77.9268341, 0.081, 79.0243912, 0.081, -63.2317085, 0.0031154, 0.0182956, 0.081, -53.2926826, 0.081, 24.3902435, 0.081, 123.2926865, 0.0031154, -0.008896, 0.081, 0, 0.081, 0, 0.081, 0, 0.0031154, -0.0075532, 0.081, -5.1829271, 0.081, -44.0853653, 0.081, -18.4756107, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, -0.0330663, 0.0945, 29.1463413, 0.0945, 47.5, 0.0945, -20.7317085, 0.0036346, 0.0253452, 0.0945, -34.0243912, 0.0945, 46.6463432, 0.0945, 31.8292694, 0.0036346, -0.0236667, 0.0945, 131.5243988, 0.0945, -13.1097565, 0.0945, -12.6219511, 0.0036346, -0.0292058, 0.0945, 9.6341467, 0.0945, -40.5487823, 0.0945, 4.5121951, 0.0036346, -0.0072175, 0.0945, -102.8048782, 0.0945, 55.6707344, 0.0945, -70.3658524, 0.0036346, 0.0253452, 0.0945, -55.18293, 0.0945, 15.1829271, 0.0945, 117.5, 0.0036346, -0.0092317, 0.0945, 93.7804871, 0.0945, 45.1829262, 0.0945, 20.060976, 0.0036346, -0.0075532, 0.0945, -5.9146342, 0.0945, -45.4878044, 0.0945, -19.7560978, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, -0.0360876, 0.108, 31.1585369, 0.108, 56.4634171, 0.108, -12.8048782, 0.0041538, 0.0240024, 0.108, -36.0975609, 0.108, 31.7682934, 0.108, 23.4756107, 0.0041538, -0.0223239, 0.108, 132.9878082, 0.108, -22.0121956, 0.108, -6.9512196, 0.0041538, -0.0229953, 0.108, 7.9878049, 0.108, -29.8780499, 0.108, 5.9146342, 0.0041538, -0.0085603, 0.108, -124.9390259, 0.108, 17.0731716, 0.108, -75.1219559, 0.0041538, 0.0146029, 0.108, -61.0975609, 0.108, -5.7317076, 0.108, 106.5243912, 0.0041538, -0.0085603, 0.108, 122.0731735, 0.108, 52.3170738, 0.108, 13.6585369, 0.0041538, -0.0085603, 0.108, -9.0853662, 0.108, -30.1829281, 0.108, -20.1219521, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, -0.0381018, 0.1215, 37.7439041, 0.1215, 52.1341476, 0.1215, -4.8170733, 0.0046731, 0.0240024, 0.1215, -34.9390259, 0.1215, 22.2560978, 0.1215, 12.3170738, 0.0046731, -0.0236667, 0.1215, 126.0975647, 0.1215, -7.3780489, 0.1215, -10, 0.0046731, -0.0193027, 0.1215, 6.6463418, 0.1215, -19.2682934, 0.1215, 5.4878049, 0.0046731, -0.011078, 0.1215, -140.9756165, 0.1215, -35.2439041, 0.1215, -75.9146347, 0.0046731, -0.0087282, 0.1215, -52.8048782, 0.1215, 12.3170738, 0.1215, 91.4634171, 0.0046731, -0.0082246, 0.1215, 132.8048859, 0.1215, 31.280489, 0.1215, 2.8658538, 0.0046731, -0.0109102, 0.1215, -10.4268293, 0.1215, -8.719512, 0.1215, -16.7682934, , , , , , , , , , , , , , , , , , , , , , 
