Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 15:06:57
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, -0.0995346, 0, 66.5853653, 0, 33.5975609, 0, -1.7073171, 0, 0.0206455, 0, -59.1463432, 0, 47.3780518, 0, -23.3536587, 0, -0.0256809, 0, 18.6585369, 0, -121.2195129, 0, 40.3048782, 0, -0.0008392, 0, 71.5243912, 0, 64.1463394, 0, -0.4878049, 0, 0.0090639, 0, -1.7682927, 0, 38.0487823, 0, 31.4024391, 0, -0.0518654, 0, -34.9390259, 0, -101.9512253, 0, 7.0121951, 0, -0.002182, 0, -29.9390259, 0, 39.8780479, 0, -30.6097565, 0, 0.0273594, 0, -39.2682953, 0, 63.7804909, 0, 19.8170738, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, -0.0498512, 0.0135, 70.7317123, 0.0135, 27.6219521, 0.0135, -1.4634147, 0.0005192, 0.0203098, 0.0135, -42.3170738, 0.0135, 48.7804871, 0.0135, -20.5487804, 0.0005192, -0.0198062, 0.0135, 32.3780479, 0.0135, -22.3170738, 0.0135, 50.9756126, 0.0005192, -0.0052033, 0.0135, 69.4512177, 0.0135, 27.9268303, 0.0135, -4.9390244, 0.0005192, 0.0115816, 0.0135, -2.8658538, 0.0135, 34.6951218, 0.0135, 27.1951218, 0.0005192, -0.0149386, 0.0135, -54.7560997, 0.0135, -21.6463413, 0.0135, 27.4390259, 0.0005192, -0.0028534, 0.0135, -33.9024391, 0.0135, 35.7926826, 0.0135, -21.280489, 0.0005192, 0.0347448, 0.0135, -33.5365868, 0.0135, 29.5731716, 0.0135, 30.060976, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, -0.0303807, 0.027, 64.5731735, 0.027, 21.0365868, 0.027, -3.6585367, 0.0010385, 0.0213169, 0.027, -35.7317085, 0.027, 45.1829262, 0.027, -22.7439022, 0.0010385, -0.0176242, 0.027, 20, 0.027, 61.2195129, 0.027, 67.9878082, 0.0010385, -0.0097353, 0.027, 70.3048782, 0.027, 9.6951218, 0.027, -8.4146347, 0.0010385, 0.0115816, 0.027, -8.719512, 0.027, 29.8780499, 0.027, 25.7926826, 0.0010385, 0.0468299, 0.027, -73.8414688, 0.027, 61.2804909, 0.027, 27.5, 0.0010385, -0.0005035, 0.027, -22.3170738, 0.027, 29.3902454, 0.027, -15.9146347, 0.0010385, 0.0273594, 0.027, -31.5243912, 0.027, 11.5853662, 0.027, 36.341465, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, -0.0636149, 0.0405, 56.5243912, 0.0405, 5.7926831, 0.0405, -5.1829271, 0.0015577, 0.0219883, 0.0405, -28.2317085, 0.0405, 34.8170738, 0.0405, -30.4878063, 0.0015577, -0.0142672, 0.0405, 5.9146342, 0.0405, 59.8780518, 0.0405, 77.6219559, 0.0015577, -0.0119173, 0.0405, 71.8902435, 0.0405, 9.8170738, 0.0405, -12.3780489, 0.0015577, 0.008896, 0.0405, -23.4146347, 0.0405, 36.5243912, 0.0405, 24.5731716, 0.0015577, 0.103563, 0.0405, -82.7439041, 0.0405, 93.6585388, 0.0405, 17.8048782, 0.0015577, 0.0008392, 0.0405, -2.6219513, 0.0405, 29.8780499, 0.0405, -10.3658543, 0.0015577, 0.0182956, 0.0405, -24.8170738, 0.0405, 15.6707325, 0.0405, 39.6951218, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, -0.1371328, 0.054, 47.5609779, 0.054, -22.1951218, 0.054, -4.0243902, 0.0020769, 0.021149, 0.054, -25.3048782, 0.054, 11.7073174, 0.054, -36.8902435, 0.0020769, -0.0109102, 0.054, -1.097561, 0.054, 43.5365868, 0.054, 71.4634171, 0.0020769, -0.0149386, 0.054, 66.4634171, 0.054, 8.719512, 0.054, -18.0487804, 0.0020769, 0.0097353, 0.054, -34.8780479, 0.054, 48.841465, 0.054, 18.9634151, 0.0020769, 0.1226978, 0.054, -81.2195129, 0.054, 88.4146347, 0.054, 13.9634151, 0.0020769, -0.0003357, 0.054, 12.9878054, 0.054, 42.9878044, 0.054, -4.5121951, 0.0020769, 0.0157778, 0.054, -15.9756098, 0.054, 20.7317085, 0.054, 40.3048782, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, -0.2143435, 0.0675, 40.1829262, 0.0675, -50.9146347, 0.0675, -3.6585367, 0.0025962, 0.0172885, 0.0675, -25.9756107, 0.0675, -30.8536587, 0.0675, -39.7560997, 0.0025962, -0.0085603, 0.0675, -2.4390244, 0.0675, 35.7317085, 0.0675, 67.8048782, 0.0025962, -0.0206455, 0.0675, 58.841465, 0.0675, -3.0487804, 0.0675, -20.9146347, 0.0025962, 0.0119173, 0.0675, -28.9634151, 0.0675, 55.9146347, 0.0675, 10.4878054, 0.0025962, 0.0997024, 0.0675, -74.2682953, 0.0675, 55.8536606, 0.0675, 8.719512, 0.0025962, -0.002182, 0.0675, 3.7804878, 0.0675, 55.7926826, 0.0675, -1.3414634, 0.0025962, 0.0119173, 0.0675, -11.1585369, 0.0675, 5.8536587, 0.0675, 40.9146347, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, -0.2368353, 0.081, 35.3048782, 0.081, -61.7682953, 0.081, -3.2926829, 0.0031154, 0.0152743, 0.081, -27.5, 0.081, -71.8902435, 0.081, -40.2439041, 0.0031154, -0.0058747, 0.081, -0.7317073, 0.081, 16.3414631, 0.081, 68.2926865, 0.0031154, -0.0250095, 0.081, 53.2926826, 0.081, -24.3292694, 0.081, -19.6341476, 0.0031154, 0.0125887, 0.081, -21.4634151, 0.081, 52.3780518, 0.081, 4.9390244, 0.0031154, 0.033402, 0.081, -71.5243912, 0.081, 15.7926836, 0.081, 9.3902445, 0.0031154, -0.0030213, 0.081, -11.219512, 0.081, 33.2926826, 0.081, 0.7317073, 0.0031154, 0.0031891, 0.081, -10.6707315, 0.081, -16.5243912, 0.081, 41.5853653, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, -0.2079652, 0.0945, 24.8170738, 0.0945, -70.7317123, 0.0945, 0.6707317, 0.0036346, 0.0146029, 0.0945, -27.9878063, 0.0945, -94.6951218, 0.0945, -39.8170738, 0.0036346, -0.0031891, 0.0945, 10.1219511, 0.0945, -8.1707315, 0.0945, 76.0365906, 0.0036346, -0.0280308, 0.0945, 49.6951218, 0.0945, -32.1951218, 0.0945, -19.939024, 0.0036346, 0.012253, 0.0945, -7.4390244, 0.0945, 28.6585369, 0.0945, -4.1463413, 0.0036346, -0.0285344, 0.0945, -74.3292694, 0.0945, -27.8658543, 0.0945, 15, 0.0036346, -0.0048676, 0.0945, -19.6341476, 0.0945, 9.0243902, 0.0945, 2.3170731, 0.0036346, -0.0035248, 0.0945, -6.9512196, 0.0945, -30.6097565, 0.0945, 41.2195129, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, -0.1656672, 0.108, 23.2317085, 0.108, -49.0243912, 0.108, 8.2926826, 0.0041538, 0.0151064, 0.108, -29.5121956, 0.108, -101.5853653, 0.108, -40.0609779, 0.0041538, -0.0065461, 0.108, 25.5487804, 0.108, -46.4024391, 0.108, 79.146347, 0.0041538, -0.0273594, 0.108, 49.5731735, 0.108, -7.6219516, 0.108, -27.3170738, 0.0041538, 0.0095674, 0.108, 1.097561, 0.108, -3.5365853, 0.108, -6.1585369, 0.0041538, -0.0515297, 0.108, -79.5121994, 0.108, -54.5731735, 0.108, 19.0243912, 0.0041538, -0.0095674, 0.108, -17.3780499, 0.108, -10.9756098, 0.108, 3.9024391, 0.0041538, -0.0045319, 0.108, 0.9756098, 0.108, -28.3536587, 0.108, 38.9634171, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, -0.1238727, 0.1215, 25.9756107, 0.1215, -17.0731716, 0.1215, 18.8414631, 0.0046731, 0.0166171, 0.1215, -28.2926826, 0.1215, -70.0609741, 0.1215, -47.0121956, 0.0046731, -0.0179599, 0.1215, 44.6951218, 0.1215, -87.3170776, 0.1215, 78.2926865, 0.0046731, -0.0250095, 0.1215, 43.4146347, 0.1215, 4.4512196, 0.1215, -40.4268303, 0.0046731, 0.0068818, 0.1215, 3.0487804, 0.1215, -22.7439022, 0.1215, -5.4268293, 0.0046731, -0.0558938, 0.1215, -83.2317123, 0.1215, -73.8414688, 0.1215, 22.560976, 0.0046731, -0.014435, 0.1215, -17.9268303, 0.1215, -35.7926826, 0.1215, 6.0975609, 0.0046731, -0.0035248, 0.1215, 25.7926826, 0.1215, -1.8292683, 0.1215, 34.5731697, , , , , , , , , , , , , , , , , , , , , , 
