file,status,n_samples
data\filtered\Ahesan_1.csv,ok,6438
data\filtered\Ahesan_2.csv,ok,6438
data\filtered\Ahesan_3.csv,ok,6438
data\filtered\Ahesan_4.csv,ok,6438
data\filtered\Ahesan_5.csv,ok,6438
data\filtered\Devansh_1.csv,ok,6438
data\filtered\Devansh_2.csv,ok,6438
data\filtered\Devansh_3.csv,ok,6438
data\filtered\Devansh_4.csv,ok,6438
data\filtered\Devansh_5.csv,ok,6438
data\filtered\Jordan_1.csv,ok,6438
data\filtered\Jordan_2.csv,ok,6438
data\filtered\Jordan_3.csv,ok,6438
data\filtered\Jordan_4.csv,ok,6438
data\filtered\Jordan_5.csv,ok,6438
data\filtered\Karan_1.csv,ok,6438
data\filtered\Karan_2.csv,ok,6438
data\filtered\Karan_3.csv,ok,6438
data\filtered\Karan_4.csv,ok,6438
data\filtered\Karan_5.csv,ok,6438
data\filtered\Nihaal_1.csv,ok,6438
data\filtered\Nihaal_2.csv,ok,6438
data\filtered\Nihaal_3.csv,ok,6438
data\filtered\Nihaal_4.csv,ok,6438
data\filtered\Nihaal_5.csv,ok,6438
data\filtered\Soham_1.csv,ok,6438
data\filtered\Soham_2.csv,ok,6438
data\filtered\Soham_3.csv,ok,6438
data\filtered\Soham_4.csv,ok,6438
data\filtered\Soham_5.csv,ok,6438
data\filtered\Yadnesh_1.csv,ok,6438
data\filtered\Yadnesh_2.csv,ok,6438
data\filtered\Yadnesh_3.csv,ok,6438
data\filtered\Yadnesh_4.csv,ok,6438
data\filtered\Yadnesh_5.csv,ok,6438
