file,status,n_samples
data/preprocessed_ml\Ahesan_1.csv,ok,6438
data/preprocessed_ml\Ahesan_2.csv,ok,6438
data/preprocessed_ml\Ahesan_3.csv,ok,6438
data/preprocessed_ml\Ahesan_4.csv,ok,6438
data/preprocessed_ml\Ahesan_5.csv,ok,6438
data/preprocessed_ml\Devansh_1.csv,ok,6438
data/preprocessed_ml\Devansh_2.csv,ok,6438
data/preprocessed_ml\Devansh_3.csv,ok,6438
data/preprocessed_ml\Devansh_4.csv,ok,6438
data/preprocessed_ml\Devansh_5.csv,ok,6438
data/preprocessed_ml\Jordan_1.csv,ok,6438
data/preprocessed_ml\Jordan_2.csv,ok,6438
data/preprocessed_ml\Jordan_3.csv,ok,6438
data/preprocessed_ml\Jordan_4.csv,ok,6438
data/preprocessed_ml\Jordan_5.csv,ok,6438
data/preprocessed_ml\Karan_1.csv,ok,6438
data/preprocessed_ml\Karan_2.csv,ok,6438
data/preprocessed_ml\Karan_3.csv,ok,6438
data/preprocessed_ml\Karan_4.csv,ok,6438
data/preprocessed_ml\Karan_5.csv,ok,6438
data/preprocessed_ml\Nihaal_1.csv,ok,6438
data/preprocessed_ml\Nihaal_2.csv,ok,6438
data/preprocessed_ml\Nihaal_3.csv,ok,6438
data/preprocessed_ml\Nihaal_4.csv,ok,6438
data/preprocessed_ml\Nihaal_5.csv,ok,6438
data/preprocessed_ml\Soham_1.csv,ok,6438
data/preprocessed_ml\Soham_2.csv,ok,6438
data/preprocessed_ml\Soham_3.csv,ok,6438
data/preprocessed_ml\Soham_4.csv,ok,6438
data/preprocessed_ml\Soham_5.csv,ok,6438
data/preprocessed_ml\Yadnesh_1.csv,ok,6438
data/preprocessed_ml\Yadnesh_2.csv,ok,6438
data/preprocessed_ml\Yadnesh_3.csv,ok,6438
data/preprocessed_ml\Yadnesh_4.csv,ok,6438
data/preprocessed_ml\Yadnesh_5.csv,ok,6438
