,Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,TibilaisÂ Anterior left,Gastrocnemius right,Gastrocnemius left
0,0.0,0.085771,0.0871138,0.0347448,-0.0404517,-0.0038605,0.0169528,-0.047837,-0.0001678
1,0.0004655,0.079057,0.0931563,0.0397803,-0.0379339,0.0102388,0.0273594,-0.0438087,-0.0008392
2,0.000931,0.0666361,0.0998703,0.0411231,-0.0377661,0.0179599,0.026688,-0.0404517,-0.002182
3,0.0013966,0.0535439,0.1044022,0.0303807,-0.0384375,0.0260166,0.0196384,-0.0370947,-0.0031891
4,0.0018621,0.0421302,0.1042344,0.0146029,-0.0397803,0.0317235,0.0129244,-0.0370947,-0.0041962
5,0.0023276,0.0273594,0.0995346,-0.002182,-0.0421302,0.0325628,0.0099031,-0.0364233,-0.0065461
6,0.0027931,0.0078889,0.0943313,-0.0250095,-0.0417945,0.0360876,0.0119173,-0.0330663,-0.0077211
7,0.0032586,-0.0149386,0.0892958,-0.0505226,-0.0404517,0.0491798,0.0196384,-0.0290379,-0.0082246
8,0.0037241,-0.0404517,0.0822461,-0.0659648,-0.0399481,0.0605936,0.0263523,-0.0297093,-0.0075532
9,0.0041897,-0.0639506,0.0743572,-0.0699931,-0.0404517,0.061265,0.030045,-0.0350805,-0.0075532
10,0.0046552,-0.0814069,0.0676432,-0.068986,-0.0417945,0.0548867,0.0287022,-0.0412909,-0.008896
11,0.0051207,-0.0897993,0.0642863,-0.0696574,-0.0421302,0.0572366,0.0199741,-0.0428016,-0.0112459
12,0.0055862,-0.0941634,0.0632792,-0.0733501,-0.0424659,0.0642863,0.0058747,-0.0391089,-0.0146029
13,0.0060517,-0.0961776,0.0616007,-0.0810712,-0.0471656,0.0632792,-0.0057069,-0.0337377,-0.0176242
14,0.0065172,-0.0970169,0.0575723,-0.0928206,-0.0527047,0.0569009,-0.0109102,-0.0298772,-0.0179599
15,0.0069828,-0.0970169,0.0491798,-0.0988632,-0.0553902,0.0453193,-0.018967,-0.0256809,-0.0172885
16,0.0074483,-0.0976883,0.0347448,-0.0944991,-0.0548867,0.0283665,-0.0273594,-0.0206455,-0.0162814
17,0.0079138,-0.093492,0.0146029,-0.0835889,-0.0572366,0.0139315,-0.0253452,-0.01561,-0.0135958
18,0.0083793,-0.0787213,-0.0015106,-0.0713359,-0.0609293,0.0023499,-0.012253,-0.0109102,-0.0077211
19,0.0088448,-0.057908,-0.005539,-0.0582437,-0.0619364,-0.0127565,0.0025177,-0.0075532,-0.0023499
20,0.0093103,-0.0407874,-0.0015106,-0.0424659,-0.0621042,-0.0377661,0.0097353,-0.0048676,-0.0015106
21,0.0097759,-0.0330663,0.0048676,-0.0223239,-0.0621042,-0.0663005,0.0090639,-0.0025177,-0.005539
22,0.0102414,-0.0270237,0.010071,0.0038605,-0.0619364,-0.0793927,0.0065461,-0.0001678,-0.0078889
23,0.0107069,-0.0199741,0.0164492,0.0260166,-0.0616007,-0.0720073,0.0062104,0.002182,-0.0062104
24,0.0111724,-0.0115816,0.0260166,0.0176242,-0.0616007,-0.0535439,0.0078889,0.002182,-0.0041962
25,0.0116379,0.0035248,0.0377661,-0.0167849,-0.0607614,-0.0323949,0.0092317,0.0011749,-0.0031891
26,0.0121034,0.0236667,0.0488441,-0.051194,-0.0592508,-0.012253,0.011078,0.0003357,-0.0038605
27,0.012569,0.0407874,0.0562295,-0.0730144,-0.0565652,0.0041962,0.0157778,-0.0001678,-0.0062104
28,0.0130345,0.0495155,0.0609293,-0.0807355,-0.0532082,0.0166171,0.0203098,-0.0005035,-0.0085603
29,0.0135,0.0493477,0.0622721,-0.0683146,-0.0475013,0.0276951,0.0199741,-0.0023499,-0.0085603
30,0.0139655,0.0468299,0.0627756,-0.0387732,-0.0419623,0.0428016,0.0169528,-0.0043641,-0.0078889
31,0.014431,0.0495155,0.0582437,-0.0075532,-0.0391089,0.064622,0.0142672,-0.0038605,-0.0062104
32,0.0148966,0.0552224,0.043473,0.0166171,-0.036759,0.0889601,0.0146029,-0.0008392,-0.0041962
33,0.0153621,0.0602579,0.0226596,0.0339055,-0.0330663,0.1136339,0.0132601,0.0015106,-0.0035248
34,0.0158276,0.0637827,0.0038605,0.0424659,-0.0285344,0.1337758,0.0083925,0.0031891,-0.0035248
35,0.0162931,0.0639506,-0.0104067,0.0340734,-0.0253452,0.1361257,0.0010071,0.0052033,-0.0035248
36,0.0167586,0.0569009,-0.0172885,0.0112459,-0.0238346,0.1250477,-0.0068818,0.0062104,-0.0050355
37,0.0172241,0.0453193,-0.0176242,-0.0062104,-0.0223239,0.111284,-0.012253,0.0068818,-0.0078889
38,0.0176897,0.0354162,-0.01561,-0.0090639,-0.0196384,0.0985275,-0.0115816,0.0085603,-0.0070497
39,0.0181552,0.0320592,-0.0119173,-0.0035248,-0.0199741,0.0842603,-0.0105745,0.0119173,-0.0018463
40,0.0186207,0.0342412,-0.0087282,-0.0005035,-0.0229953,0.068986,-0.0119173,0.0159457,0.0035248
41,0.0190862,0.036759,-0.0109102,0.0015106,-0.0238346,0.0569009,-0.0125887,0.0186313,0.0035248
42,0.0195517,0.036759,-0.0142672,0.0057069,-0.023331,0.0558938,-0.0142672,0.0199741,-0.0008392
43,0.0200172,0.0344091,-0.0125887,0.0092317,-0.0229953,0.0696574,-0.0176242,0.0213169,-0.0078889
44,0.0204828,0.030045,-0.0048676,0.0092317,-0.0229953,0.0822461,-0.0199741,0.0226596,-0.0135958
45,0.0209483,0.0246738,0.0003357,0.0062104,-0.0216526,0.0785534,-0.0196384,0.0243381,-0.0152743
46,0.0214138,0.0204776,-0.0008392,-0.0015106,-0.0198062,0.0641184,-0.0216526,0.0243381,-0.0135958
47,0.0218793,0.0206455,-0.0035248,-0.01561,-0.018967,0.0253452,-0.0263523,0.021149,-0.0114137
48,0.0223448,0.0219883,-0.0048676,-0.0240024,-0.0182956,-0.0589151,-0.030045,0.0172885,-0.0115816
49,0.0228103,0.024506,-0.0035248,-0.018967,-0.0176242,-0.1539178,-0.0332341,0.0139315,-0.0132601
50,0.0232759,0.0270237,-0.002182,-0.0008392,-0.0182956,-0.2109865,-0.0344091,0.0112459,-0.0127565
51,0.0237414,0.0297093,-0.0005035,0.0253452,-0.0196384,-0.2230716,-0.0340734,0.0072175,-0.0146029
52,0.0242069,0.030045,0.0038605,0.0488441,-0.0198062,-0.2072938,-0.0365911,0.0018463,-0.0213169
53,0.0246724,0.0256809,0.0075532,0.0589151,-0.0213169,-0.1878233,-0.0391089,-0.0016785,-0.0297093
54,0.0251379,0.018967,0.0082246,0.0547189,-0.0229953,-0.1760739,-0.0364233,-0.002182,-0.0323949
55,0.0256034,0.0119173,0.0125887,0.043473,-0.0223239,-0.1774166,-0.0323949,-0.0005035,-0.0318914
56,0.026069,0.0072175,0.0176242,0.026688,-0.0223239,-0.1896696,-0.0303807,0.0031891,-0.033402
57,0.0265345,0.0052033,0.0186313,-0.0078889,-0.0213169,-0.1995727,-0.0310521,0.0072175,-0.036759
58,0.027,0.0050355,0.0184634,-0.0572366,-0.0179599,-0.2109865,-0.0287022,0.0139315,-0.0369268
59,0.0274655,-0.0001678,0.0213169,-0.0908064,-0.0142672,-0.2240787,-0.0213169,0.0226596,-0.0302129
60,0.027931,-0.0109102,0.0226596,-0.0931563,-0.0095674,-0.2254215,-0.01561,0.0320592,-0.0229953
61,0.0283966,-0.0216526,0.0182956,-0.0834211,-0.0048676,-0.2153506,-0.0162814,0.0354162,-0.0203098
62,0.0288621,-0.0310521,0.0102388,-0.0850996,-0.0038605,-0.2046082,-0.0146029,0.0330663,-0.0198062
63,0.0293276,-0.0392767,0.0092317,-0.0955062,-0.0050355,-0.2005798,-0.008896,0.0315557,-0.01561
64,0.0297931,-0.043473,0.0166171,-0.100206,-0.0075532,-0.19823,-0.0028534,0.0354162,-0.0058747
65,0.0302586,-0.04448,0.0209812,-0.0914778,-0.0085603,-0.184802,0.0023499,0.0428016,0.0078889
66,0.0307241,-0.043473,0.0186313,-0.0728466,-0.0072175,-0.1653315,0.0092317,0.0505226,0.0219883
67,0.0311897,-0.0394446,0.0132601,-0.0555581,-0.0072175,-0.1495537,0.0176242,0.0305486,0.0303807
68,0.0316552,-0.0317235,0.0109102,-0.0439765,-0.0102388,-0.1394827,0.0176242,-0.0592508,0.0290379
