Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,TibilaisÂ Anterior left,Gastrocnemius right,Gastrocnemius left
0.0,0.0203098,-0.0223239,-0.0313878,-0.0169528,-0.0083925,-0.023331,,-0.0119173
0.0004655,0.0199741,-0.0213169,-0.0317235,-0.0142672,-0.0238346,-0.0265202,,-0.008896
0.000931,0.0186313,-0.0209812,-0.0303807,-0.0119173,-0.0453193,-0.0276951,,-0.0139315
0.0013966,0.0172885,-0.0199741,-0.0310521,-0.008896,-0.068986,-0.0276951,,-0.0216526
0.0018621,0.0164492,-0.0199741,-0.0327306,-0.0082246,-0.0777142,-0.0270237,,-0.0226596
0.0023276,0.0159457,-0.0216526,-0.0318914,-0.0095674,-0.0740215,-0.0253452,,-0.0203098
0.0027931,0.0157778,-0.023331,-0.0310521,-0.012253,-0.0713359,-0.0236667,,-0.0226596
0.0032586,0.0164492,-0.0243381,-0.0303807,-0.0139315,-0.0703288,-0.0209812,,-0.0310521
0.0037241,0.0172885,-0.0240024,-0.030045,-0.01561,-0.0659648,-0.0166171,,-0.0344091
0.0041897,0.0166171,-0.023331,-0.0297093,-0.0162814,-0.0538796,-0.012253,,-0.0276951
0.0046552,0.0162814,-0.0223239,-0.0305486,-0.0139315,-0.0364233,-0.0115816,,-0.0209812
0.0051207,0.0171206,-0.0206455,-0.03122,-0.0112459,0.021149,-0.0142672,,-0.0198062
0.0055862,0.0184634,-0.0203098,-0.0317235,-0.0102388,0.1206836,-0.0162814,,-0.0206455
0.0060517,0.0206455,-0.018967,-0.0307164,-0.0105745,0.1566033,-0.0172885,,-0.0209812
0.0065172,0.0206455,-0.0176242,-0.0287022,-0.0102388,0.090135,-0.0176242,,-0.0229953
0.0069828,0.0191348,-0.0162814,-0.0280308,-0.0109102,0.0062104,-0.0162814,,-0.0240024
0.0074483,0.0186313,-0.0129244,-0.0263523,-0.0135958,-0.0307164,-0.0149386,,-0.0221561
0.0079138,0.0191348,-0.0085603,-0.0246738,-0.01561,-0.0287022,-0.0135958,,-0.0226596
0.0083793,0.0199741,-0.0063783,-0.0229953,-0.01561,-0.0243381,-0.0119173,,-0.030045
0.0088448,0.0199741,-0.0041962,-0.0196384,-0.01561,-0.0369268,-0.0104067,,-0.0381018
0.0093103,0.0219883,-0.0028534,-0.0179599,-0.0167849,-0.0515297,-0.0102388,,-0.0411231
0.0097759,0.0231632,-0.0015106,-0.0182956,-0.0184634,-0.0538796,-0.012253,,-0.040116
0.0102414,0.0219883,0.0001678,-0.0196384,-0.0209812,-0.047837,-0.0137636,,-0.0379339
0.0107069,0.0209812,0.0011749,-0.0199741,-0.0243381,-0.0438087,-0.0140993,,-0.0391089
0.0111724,0.0206455,0.0015106,-0.0196384,-0.0256809,-0.0149386,-0.0129244,,-0.0438087
0.0116379,0.0204776,0.0011749,-0.018967,-0.0243381,0.0263523,-0.0119173,,-0.0451514
0.0121034,0.0206455,0.0045319,-0.0176242,-0.018967,0.0226596,-0.011078,,-0.0384375
0.012569,0.0219883,0.0109102,-0.0176242,-0.0125887,-0.0186313,-0.0095674,,-0.0327306
0.0130345,0.0226596,0.0152743,-0.0176242,-0.0109102,-0.0412909,-0.0090639,,-0.0404517
0.0135,0.0224918,0.0146029,-0.0166171,-0.0125887,-0.0229953,-0.0109102,,-0.0592508
0.0139655,0.0224918,0.0102388,-0.01561,-0.0119173,0.0159457,-0.0139315,,-0.0730144
0.014431,0.0226596,0.0025177,-0.0159457,-0.0075532,0.0370947,-0.0166171,,-0.0780499
0.0148966,0.0213169,-0.0041962,-0.017792,-0.0025177,0.0260166,-0.0182956,,-0.0874495
0.0153621,0.0194705,-0.0082246,-0.0209812,0.0005035,0.0015106,-0.0199741,,-0.0921492
0.0158276,0.0186313,-0.011078,-0.0236667,-0.0001678,-0.0130922,-0.0203098,,-0.0632792
0.0162931,0.018967,-0.012253,-0.026688,0.0001678,-0.0075532,-0.017792,,-0.0124208
0.0167586,0.0182956,-0.0125887,-0.0280308,0.0018463,0.0025177,-0.0135958,,0.0310521
0.0172241,0.0172885,-0.0130922,-0.0276951,0.002182,0.0065461,-0.0102388,,0.0404517
0.0176897,0.0171206,-0.012253,-0.0271916,0.0011749,0.0018463,-0.0099031,,-0.012253
0.0181552,0.0166171,-0.0102388,-0.0273594,0.0006714,-0.0109102,-0.0139315,,-0.0793927
0.0186207,0.01561,-0.0104067,-0.0290379,0.0018463,-0.0303807,-0.018967,,-0.0679789
0.0190862,0.0132601,-0.0119173,-0.0320592,0.0020142,-0.0501869,-0.0196384,,-0.0243381
0.0195517,0.0112459,-0.0109102,-0.0337377,0.0010071,-0.0565652,-0.0157778,,-0.0182956
0.0200172,0.0102388,-0.0095674,-0.0342412,-0.0005035,-0.0508583,-0.0082246,,-0.0283665
0.0204828,0.0105745,-0.008896,-0.0347448,-0.0016785,-0.0438087,-0.0028534,,-0.0030213
0.0209483,0.0115816,-0.0082246,-0.0365911,-0.0028534,-0.0384375,-0.0045319,,0.0632792
0.0214138,0.0129244,-0.0083925,-0.0381018,-0.0041962,-0.0360876,-0.0082246,,0.1045701
0.0218793,0.0135958,-0.0102388,-0.0384375,-0.0082246,-0.0317235,-0.0058747,,0.0649577
0.0223448,0.0139315,-0.0129244,-0.0370947,-0.0135958,-0.0253452,0.0041962,,-0.0109102
0.0228103,0.0159457,-0.0149386,-0.0365911,-0.0206455,-0.0270237,0.0171206,,-0.0381018
0.0232759,0.0186313,-0.0162814,-0.0350805,-0.0297093,-0.0342412,0.0194705,,-0.0184634
0.0237414,0.0193027,-0.0176242,-0.0345769,-0.0391089,-0.0251774,0.0085603,,-0.0198062
0.0242069,0.0193027,-0.018967,-0.0350805,-0.0453193,-0.0099031,-0.005539,,-0.0464942
0.0246724,0.0196384,-0.0193027,-0.0327306,-0.04448,-0.0085603,-0.023331,,-0.0595865
0.0251379,0.0199741,-0.0193027,-0.030045,-0.0391089,0.0043641,-0.047837,,-0.0565652
