Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 15:08:10
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, -0.0172885, 0, 7.9268293, 0, 11.4634151, 0, -9.6341467, 0, 0.0199741, 0, -14.7560978, 0, 0.0609756, 0, -0.2439024, 0, -0.0285344, 0, -10.7926836, 0, 0, 0, -0.9146342, 0, -0.0058747, 0, 18.0487804, 0, 2.5609756, 0, 2.6829269, 0, -0.0323949, 0, 21.280489, 0, 7.9268293, 0, 2.8658538, 0, -0.0149386, 0, 3.5975611, 0, 16.4634151, 0, 0.1219512, 0, -0.0085603, 0, -26.0365868, 0, 7.0731707, 0, 9.8170738, 0, 0.003357, 0, -13.841464, 0, 4.6341462, 0, -3.3536587, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, -0.0149386, 0.0135, 10.1829271, 0.0135, 12.3780489, 0.0135, -7.8048782, 0.0005192, 0.0182956, 0.0135, -14.7560978, 0.0135, -0.9756098, 0.0135, -1.1585366, 0.0005192, -0.0303807, 0.0135, -10.3658543, 0.0135, 2.5609756, 0.0135, -0.9756098, 0.0005192, -0.0070497, 0.0135, 16.4634151, 0.0135, -1.1585366, 0.0135, 1.5243902, 0.0005192, -0.0298772, 0.0135, 22.0731716, 0.0135, 4.5121951, 0.0135, 1.8292683, 0.0005192, -0.0162814, 0.0135, 3.2317073, 0.0135, 17.8048782, 0.0135, 0.6097561, 0.0005192, -0.0075532, 0.0135, -25.1219521, 0.0135, 5.2439027, 0.0135, 8.2317076, 0.0005192, 0.0058747, 0.0135, -12.4390249, 0.0135, 1.8902439, 0.0135, -3.1707318, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, -0.0135958, 0.027, 11.4024391, 0.027, 10.7317076, 0.027, -5.609756, 0.0010385, 0.0179599, 0.027, -13.3536587, 0.027, -1.9512196, 0.027, -1.1585366, 0.0010385, -0.0317235, 0.027, -9.2073174, 0.027, -2.5, 0.027, -0.9146342, 0.0010385, -0.0125887, 0.027, 15.4878054, 0.027, 0.0609756, 0.027, 0.0609756, 0.0010385, -0.0176242, 0.027, 20.6097565, 0.027, 1.2195122, 0.027, 0.9146342, 0.0010385, -0.0176242, 0.027, 2.8658538, 0.027, 13.2317076, 0.027, 0.7926829, 0.0010385, -0.0078889, 0.027, -25.8536587, 0.027, 2.3170731, 0.027, 5.3658538, 0.0010385, 0.0030213, 0.027, -11.219512, 0.027, 4.1463413, 0.027, -3.3536587, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, -0.0142672, 0.0405, 10.5487804, 0.0405, 8.1707315, 0.0405, -3.1097562, 0.0015577, 0.0199741, 0.0405, -11.0365858, 0.0405, -2.0121951, 0.0405, -1.402439, 0.0015577, -0.0320592, 0.0405, -8.0487804, 0.0405, -7.8658538, 0.0405, -0.5487805, 0.0015577, -0.0139315, 0.0405, 14.8780489, 0.0405, 1.7073171, 0.0405, -0.9756098, 0.0015577, -0.0063783, 0.0405, 18.4756107, 0.0405, -1.097561, 0.0405, 0.3048781, 0.0015577, -0.0179599, 0.0405, 2.2560976, 0.0405, 7.1951222, 0.0405, 0.5487805, 0.0015577, -0.010071, 0.0405, -27.0731716, 0.0405, -0.9756098, 0.0405, 2.7439024, 0.0015577, -0.0011749, 0.0405, -10.3658543, 0.0405, 6.1585369, 0.0405, -3.4756098, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, -0.0149386, 0.054, 9.2682924, 0.054, 8.6585369, 0.054, -2.0731707, 0.0020769, 0.0213169, 0.054, -10.1219511, 0.054, -1.5853659, 0.054, -1.5853659, 0.0020769, -0.03122, 0.054, -7.3780489, 0.054, -11.4634151, 0.054, 0.1829268, 0.0020769, -0.0124208, 0.054, 15.4268293, 0.054, 2.0731707, 0.054, -0.4878049, 0.0020769, -0.0028534, 0.054, 16.8902435, 0.054, -2.6219513, 0.054, -0.6097561, 0.0020769, -0.0171206, 0.054, 1.097561, 0.054, 4.9390244, 0.054, 0.5487805, 0.0020769, -0.0090639, 0.054, -26.9512196, 0.054, -3.3536587, 0.054, 1.402439, 0.0020769, 0.0003357, 0.054, 0, 0.054, 0, 0.054, 0, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, -0.0162814, 0.0675, 7.1341467, 0.0675, 10.5487804, 0.0675, -2.6829269, 0.0025962, 0.0206455, 0.0675, -11.0365858, 0.0675, -1.402439, 0.0675, -1.4634147, 0.0025962, -0.0303807, 0.0675, -6.890244, 0.0675, -9.0243902, 0.0675, 1.7073171, 0.0025962, -0.0102388, 0.0675, 16.8292694, 0.0675, 4.4512196, 0.0675, -0.1219512, 0.0025962, -0.0041962, 0.0675, 15.5487804, 0.0675, -2.3780489, 0.0675, -1.7073171, 0.0025962, -0.01561, 0.0675, -0.4268293, 0.0675, 7.1951222, 0.0675, 1.4634147, 0.0025962, -0.0085603, 0.0675, -25.5487804, 0.0675, -3.8414636, 0.0675, 1.6463414, 0.0025962, 0.0045319, 0.0675, -11.8902445, 0.0675, 8.5975609, 0.0675, -3.2317073, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, -0.0176242, 0.081, 7.3780489, 0.081, 14.1463413, 0.081, -3.4756098, 0.0031154, 0.0184634, 0.081, -12.6219511, 0.081, 1.9512196, 0.081, -1.2804878, 0.0031154, -0.0330663, 0.081, -3.6585367, 0.081, -6.0365853, 0.081, 4.2682929, 0.0031154, -0.0099031, 0.081, 18.7195129, 0.081, 8.3536587, 0.081, -0.2439024, 0.0031154, -0.0050355, 0.081, 12.1341467, 0.081, -0.3048781, 0.081, -2.6829269, 0.0031154, -0.0157778, 0.081, -2.0121951, 0.081, 9.2073174, 0.081, 2.6219513, 0.0031154, -0.0102388, 0.081, -24.3292694, 0.081, -0.8536586, 0.081, 3.7195122, 0.0031154, 0.0041962, 0.081, -12.560976, 0.081, 11.1585369, 0.081, -2.9878049, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, -0.0196384, 0.0945, 10.5487804, 0.0945, 19.2682934, 0.0945, -3.9634147, 0.0036346, 0.0172885, 0.0945, -12.9878054, 0.0945, 4.0243902, 0.0945, -1.3414634, 0.0036346, -0.0347448, 0.0945, -1.2804878, 0.0945, -4.6341462, 0.0945, 6.2195125, 0.0036346, -0.0115816, 0.0945, 20.4268303, 0.0945, 12.7439032, 0.0945, 0.3658537, 0.0036346, -0.0038605, 0.0945, 6.890244, 0.0945, 4.3292685, 0.0945, -2.2560976, 0.0036346, -0.0174563, 0.0945, -7.0731707, 0.0945, 6.6463418, 0.0945, 6.5853658, 0.0036346, -0.012253, 0.0945, -22.3780499, 0.0945, 4.1463413, 0.0945, 5.7317076, 0.0036346, -0.0001678, 0.0945, -14.3292685, 0.0945, 14.9390249, 0.0945, -2.804878, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, -0.023331, 0.108, 13.6585369, 0.108, 23.780489, 0.108, -3.6585367, 0.0041538, 0.0181277, 0.108, -14.6341467, 0.108, 9.8780489, 0.108, -1.5243902, 0.0041538, -0.0345769, 0.108, 2.8658538, 0.108, -1.8292683, 0.108, 11.5853662, 0.0041538, -0.0149386, 0.108, 21.4024391, 0.108, 13.9634151, 0.108, 0.7926829, 0.0041538, -0.0015106, 0.108, 1.097561, 0.108, 9.8780489, 0.108, -1.097561, 0.0041538, -0.0166171, 0.108, -12.560976, 0.108, -0.8536586, 0.108, 9.5731707, 0.0041538, -0.0139315, 0.108, -20.6707325, 0.108, 8.3536587, 0.108, 7.0121951, 0.0041538, -0.0028534, 0.108, -16.280489, 0.108, 16.8292694, 0.108, -2.6829269, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, -0.0229953, 0.1215, 16.7073174, 0.1215, 27.7439022, 0.1215, -2.0731707, 0.0046731, 0.0172885, 0.1215, -17.9878044, 0.1215, 13.4146347, 0.1215, -3.2317073, 0.0046731, -0.0344091, 0.1215, 3.9024391, 0.1215, 2.5609756, 0.1215, 17.1951218, 0.0046731, -0.0152743, 0.1215, 20.9756107, 0.1215, 7.6219516, 0.1215, 0.1219512, 0.0046731, 0.0001678, 0.1215, -7.5609756, 0.1215, 15.6707325, 0.1215, -1.3414634, 0.0046731, -0.01561, 0.1215, -17.1341476, 0.1215, -0.3048781, 0.1215, 10.9756098, 0.0046731, -0.0149386, 0.1215, -19.2682934, 0.1215, 13.9024391, 0.1215, 6.0365853, 0.0046731, -0.0015106, 0.1215, -18.0487804, 0.1215, 15.5487804, 0.1215, -1.7682927, , , , , , , , , , , , , , , , , , , , , , 
