Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 15:13:01
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, -0.0115816, 0, 337.6219482, 0, -162.5609741, 0, 87.6219559, 0, -0.2163577, 0, -37.8048782, 0, -247.0731812, 0, -166.9512177, 0, -0.1320974, 0, -167.4390259, 0, 177.1341553, 0, -260.7926941, 0, -0.1351186, 0, -46.0365868, 0, 49.0243912, 0, -90.5487823, 0, 0.0065461, 0, -647.4390259, 0, 112.68293, 0, -119.3902435, 0, -0.0176242, 0, 235.6097565, 0, 208.4756165, 0, -122.5, 0, -0.0975204, 0, 472.3780518, 0, 2.8658538, 0, -81.2195129, 0, 0.0656291, 0, 113.9634171, 0, 39.8170738, 0, -12.1341467, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, -0.0018463, 0.0135, 172.1341553, 0.0135, -225.9146423, 0.0135, -4.5121951, 0.0005192, -0.233814, 0.0135, -126.646347, 0.0135, -258.2926941, 0.0135, -175.6097565, 0.0005192, -0.1297475, 0.0135, -277.0731812, 0.0135, 213.0487823, 0.0135, -374.5731812, 0.0005192, -0.1250477, 0.0135, 16.8292694, 0.0135, 147.4390259, 0.0135, -99.5121994, 0.0005192, 0.0050355, 0.0135, -501.5853882, 0.0135, 31.0975609, 0.0135, -129.9390259, 0.0005192, -0.0327306, 0.0135, 385.6097717, 0.0135, 219.146347, 0.0135, -180.1219482, 0.0005192, -0.1065843, 0.0135, 521.8902588, 0.0135, -12.0731707, 0.0135, -82.8658524, 0.0005192, 0.0716716, 0.0135, 109.3902435, 0.0135, 126.0975647, 0.0135, 0.4268293, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, 0.0125887, 0.027, 157.3780518, 0.027, -182.9268341, 0.027, -59.8780518, 0.0010385, -0.2422065, 0.027, -181.8292694, 0.027, -118.5975647, 0.027, -165.1219482, 0.0010385, -0.1290761, 0.027, -297.9268494, 0.027, 207.86586, 0.027, -469.7561035, 0.0010385, -0.1193408, 0.027, 61.7073174, 0.027, 175.3048859, 0.027, -103.4756088, 0.0010385, 0.003357, 0.027, -414.2073364, 0.027, 35.5487823, 0.027, -88.0487823, 0.0010385, -0.0565652, 0.027, 481.1585388, 0.027, 206.5243988, 0.027, -215.5487823, 0.0010385, -0.1084306, 0.027, 552.6829224, 0.027, -10.4878054, 0.027, -67.3170776, 0.0010385, 0.0602579, 0.027, 103.4146347, 0.027, 176.2195129, 0.027, 46.5243912, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, 0.0229953, 0.0405, 271.4634094, 0.0405, -35.7926826, 0.0405, 3.7195122, 0.0015577, -0.2475776, 0.0405, -212.6219635, 0.0405, -81.646347, 0.0405, -113.1707306, 0.0015577, -0.1287404, 0.0405, -336.7073364, 0.0405, 191.0365906, 0.0405, -568.475647, 0.0015577, -0.1320974, 0.0405, 89.3902435, 0.0405, 168.0487823, 0.0405, -92.8658524, 0.0015577, 0.0005035, 0.0405, -421.1585388, 0.0405, 65, 0.0405, -80.1219559, 0.0015577, -0.0693217, 0.0405, 571.5244141, 0.0405, 183.6585388, 0.0405, -265.0609741, 0.0015577, -0.1116197, 0.0405, 517.3170776, 0.0405, 14.4512196, 0.0405, -38.7804871, 0.0015577, -0.0041962, 0.0405, 80.7926865, 0.0405, 197.3170776, 0.0405, 52.9268303, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, 0.0263523, 0.054, 310.8536682, 0.054, 34.5121956, 0.054, -32.5609779, 0.0020769, -0.2455634, 0.054, -282.5609741, 0.054, 46.8292694, 0.054, -65, 0.0020769, -0.128069, 0.054, -361.4634094, 0.054, 130.1219482, 0.054, -641.8292847, 0.0020769, -0.1552605, 0.054, 115.6097565, 0.054, 142.9878082, 0.054, -62.1341476, 0.0020769, -0.0038605, 0.054, -376.2804871, 0.054, 124.8170776, 0.054, -108.3536606, 0.0020769, -0.0503548, 0.054, 647.1341553, 0.054, 155.6097565, 0.054, -315.9146423, 0.0020769, -0.1143053, 0.054, 445.6707458, 0.054, 38.1097565, 0.054, -8.2926826, 0.0020769, -0.0485084, 0.054, 54.0853653, 0.054, 197.3170776, 0.054, 64.2073212, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, 0.0238346, 0.0675, 269.0853577, 0.0675, 139.9390259, 0.0675, -85.6707306, 0.0025962, -0.2324712, 0.0675, -338.6585388, 0.0675, 188.2926941, 0.0675, -57.0121956, 0.0025962, -0.1287404, 0.0675, -398.9024353, 0.0675, 75.5487823, 0.0675, -668.4146729, 0.0025962, -0.1755703, 0.0675, 125.0609818, 0.0675, 78.5975647, 0.0675, -50.4878044, 0.0025962, -0.0097353, 0.0675, -343.4756165, 0.0675, 126.5853653, 0.0675, -128.1707306, 0.0025962, -0.0292058, 0.0675, 684.2073364, 0.0675, 124.5731735, 0.0675, -375.1219482, 0.0025962, -0.103563, 0.0675, 336.8902588, 0.0675, 44.7560997, 0.0675, 21.5853672, 0.0025962, -0.0330663, 0.0675, 14.6341467, 0.0675, 148.1097565, 0.0675, 77.8048782, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, 0.0219883, 0.081, 314.7561035, 0.081, 157.5609741, 0.081, -87.5609741, 0.0031154, -0.2042725, 0.081, -347.5, 0.081, 185.2439117, 0.081, -108.5975647, 0.0031154, -0.1324331, 0.081, -396.4634094, 0.081, -7.5609756, 0.081, -693.475647, 0.0031154, -0.1841306, 0.081, 151.0975647, 0.081, 64.4512177, 0.081, -84.3902435, 0.0031154, -0.0140993, 0.081, -227.9878082, 0.081, 51.5853653, 0.081, -113.3536606, 0.0031154, -0.0394446, 0.081, 684.0244141, 0.081, 102.2561035, 0.081, -407.8049011, 0.0031154, -0.0800641, 0.081, 250.0609741, 0.081, 66.3414612, 0.081, 35.9146347, 0.0031154, -0.047837, 0.081, -3.6585367, 0.081, 125.18293, 0.081, 103.4146347, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, 0.0209812, 0.0945, 351.6463623, 0.0945, 11.0365858, 0.0945, -58.3536606, 0.0036346, -0.1690242, 0.0945, -366.6463623, 0.0945, 27.5, 0.0945, -169.3902435, 0.0036346, -0.1367971, 0.0945, -393.4146423, 0.0945, -56.341465, 0.0945, -700.9146729, 0.0036346, -0.170367, 0.0945, 167.4390259, 0.0945, 95.18293, 0.0945, -122.7439041, 0.0036346, -0.0159457, 0.0945, -88.6585388, 0.0945, -9.0243902, 0.0945, -93.3536606, 0.0036346, -0.0515297, 0.0945, 690.9146729, 0.0945, 66.0975647, 0.0945, -418.5975647, 0.0036346, -0.0525368, 0.0945, 191.1585388, 0.0945, 92.0121994, 0.0945, 65.5487823, 0.0036346, -0.1178302, 0.0945, 14.8780489, 0.0945, 135.9146423, 0.0945, 134.0853729, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, 0.0149386, 0.108, 360.3049011, 0.108, -38.9634171, 0.108, -60.1219521, 0.0041538, -0.1406577, 0.108, -338.6585388, 0.108, -127.9878082, 0.108, -202.0731812, 0.0041538, -0.1384756, 0.108, -458.7804871, 0.108, -87.0121994, 0.108, -666.4024658, 0.0041538, -0.1371328, 0.108, 148.1707306, 0.108, 87.8048782, 0.108, -132.6219482, 0.0041538, -0.0179599, 0.108, 4.9390244, 0.108, 49.1463432, 0.108, -94.9390259, 0.0041538, -0.0481727, 0.108, 675.5487671, 0.108, 39.9390259, 0.108, -451.1585388, 0.0041538, -0.0313878, 0.108, 157.5609741, 0.108, 96.3414688, 0.108, 84.146347, 0.0041538, -0.1552605, 0.108, 63.4756126, 0.108, 154.0243988, 0.108, 118.9024429, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, 0.0119173, 0.1215, 327.9878235, 0.1215, -144.3902435, 0.1215, -47.8658562, 0.0046731, -0.1243763, 0.1215, -260.4268494, 0.1215, -211.1585388, 0.1215, -200.0609741, 0.0046731, -0.1344472, 0.1215, -486.2804871, 0.1215, -145.1219482, 0.1215, -634.6341553, 0.0046731, -0.1028916, 0.1215, 127.3780518, 0.1215, 42.3170738, 0.1215, -154.2682953, 0.0046731, -0.0209812, 0.1215, 89.6951218, 0.1215, 91.3414688, 0.1215, -81.4634171, 0.0046731, -0.0708324, 0.1215, 666.3414917, 0.1215, 20, 0.1215, -456.8902588, 0.0046731, -0.0179599, 0.1215, 45.2439041, 0.1215, 54.8780518, 0.1215, 99.9390259, 0.0046731, -0.096849, 0.1215, 30.060976, 0.1215, 181.7073212, 0.1215, 126.2195129, , , , , , , , , , , , , , , , , , , , , , 
