Application:, Trigno Discover (2.0.1.3),,,,,,,,,,,,,,
Date/Time:, 01-10-2025 11:20:00,,,,,,,,,,,,,,
Collection Length (seconds):,2.997,,,,,,,,,,,,,,
 Hamstrings right (85641), Hamstrings right (85641),  Rectus Femoris right (85844),  Rectus Femoris right (85844),  Gastrocnemius left (85904),  Gastrocnemius left (85904), TibilaisÂ Anterior right (85650), TibilaisÂ Anterior right (85650),  Hamstrings left (85586),  Hamstrings left (85586), TibilaisÂ Anterior left (85605), TibilaisÂ Anterior left (85605),  Rectus Femoris left (85878),  Rectus Femoris left (85878),  Gastrocnemius right (85873),  Gastrocnemius right (85873)
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
0.0,-0.4330415013553004,0.0,-0.222905614093068,0.0,-0.01886538909699946,0.0,-0.3834222793239775,0.0,-0.005159616044740434,0.0,0.03875688309134058,0.0,-0.018018732468640972,0.0,-0.14568947008042457
0.0004655,-0.034785420942923743,0.0004655,0.016002775051985683,0.0004655,-0.036971464459681275,0.0004655,-0.015707120587918164,0.0004655,-0.023362777083143868,0.0004655,-0.020097776553221043,0.0004655,-0.011117799578323099,0.0004655,0.0009211823261924573
0.000931,-0.022499307775213133,0.000931,0.01862931873571875,0.000931,-0.027256711923256866,0.000931,-0.01471782404100843,0.000931,-0.008332340816331505,0.000931,-0.016074869217882846,0.000931,-0.00975188738587814,0.000931,-0.02306528943074283
0.0013966,-0.030872154141432004,0.0013966,0.019434779379702522,0.0013966,-0.03133717118725903,0.0013966,-0.017262742406813133,0.0013966,-0.00790317721130642,0.0013966,-0.031753924851176965,0.0013966,-0.0052776836519903645,0.0013966,-0.03981081137432255
0.0018621,-0.023160092319056094,0.0018621,0.020192240473958355,0.0018621,-0.03253407007549558,0.0018621,-0.00431778015246602,0.0018621,-0.013246044103528736,0.0018621,-0.017036867051694295,0.0018621,-0.011640173799851515,0.0018621,0.010566049925933203
0.0023276,-0.029547358027155315,0.0023276,0.010613265742194294,0.0023276,-0.026580149567334364,0.0023276,-0.004236534230582939,0.0023276,-0.01754519986989545,0.0023276,-0.033336232510995135,0.0023276,-0.021339139115325822,0.0023276,-0.001143959462908892
0.0027931,-0.026550211737074718,0.0027931,0.033318025937089914,0.0027931,-0.03054871290336555,0.0027931,-0.02731832105010447,0.0027931,-0.024843855014627596,0.0027931,-0.03463890376039815,0.0027931,-0.00940853454687501,0.0027931,0.02199218874937452
0.0032586,-0.025941382846073075,0.0032586,0.016424910343695285,0.0032586,-0.025539210030930345,0.0032586,-0.027731387664538112,0.0032586,-0.008975641078614734,0.0032586,-0.01968358168433739,0.0032586,-0.012627237942561528,0.0032586,-0.010109286364956508
0.0037241,-0.02494618625056057,0.0037241,0.019142545081136282,0.0037241,-0.02872763790245095,0.0037241,-0.004437934350793419,0.0037241,-0.014101834843198586,0.0037241,-0.014894594534039777,0.0037241,-0.010589379981731735,0.0037241,-0.038635059712250404
0.0041897,-0.025340058657652077,0.0041897,0.024943910904073392,0.0041897,-0.023799066554689056,0.0041897,-0.012836220307557855,0.0041897,-0.015632135883824644,0.0041897,-0.02243488155840333,0.0041897,-0.015715388711931646,0.0041897,0.00913991965566244
0.0046552,-0.2766384962541607,0.0046552,0.04053817197266085,0.0046552,-0.020972200137858513,0.0046552,-0.13663187705540705,0.0046552,-0.002990413758248379,0.0046552,-0.004031499283688625,0.0046552,-0.009227710519476792,0.0046552,0.13313235626884995
0.0051207,0.013417709398363037,0.0051207,0.011014910069555706,0.0051207,-0.02790308316094271,0.0051207,-0.011136825480961052,0.0051207,-0.010218199268280652,0.0051207,-0.02278293899106274,0.0051207,-0.001243659438524612,0.0051207,0.006521958631054555
0.0055862,-0.018708627696488532,0.0055862,0.01913893477904069,0.0055862,-0.02997790545271132,0.0055862,-0.024410769052163113,0.0055862,-0.018287738368291125,0.0055862,-0.006353204779767264,0.0055862,-0.007112130418782885,0.0055862,0.00175517358613452
0.0060517,-0.02615985517733963,0.0060517,0.020899661948991843,0.0060517,-0.02519594371445461,0.0060517,-0.006932129175687179,0.0060517,-0.015485068716203318,0.0060517,-0.0193133228082246,0.0060517,-0.01067676304730911,0.0060517,-5.357816381678813e-05
0.0065172,-0.025604201411191112,0.0065172,0.01608711758872351,0.0065172,-0.0426504823673439,0.0065172,-0.00642269810155603,0.0065172,-0.012759155008449914,0.0065172,-0.009097400925609714,0.0065172,-0.041763044671674444,0.0065172,-0.002637573057621756
