Application:, Trigno Discover (2.0.1.3),,,,,,,,,,,,,,
Date/Time:, 01-10-2025 11:20:00,,,,,,,,,,,,,,
Collection Length (seconds):,2.997,,,,,,,,,,,,,,
 Hamstrings right (85641), Hamstrings right (85641),  Rectus Femoris right (85844),  Rectus Femoris right (85844),  Gastrocnemius left (85904),  Gastrocnemius left (85904), TibilaisÂ Anterior right (85650), TibilaisÂ Anterior right (85650),  Hamstrings left (85586),  Hamstrings left (85586), TibilaisÂ Anterior left (85605), TibilaisÂ Anterior left (85605),  Rectus Femoris left (85878),  Rectus Femoris left (85878),  Gastrocnemius right (85873),  Gastrocnemius right (85873)
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
0.0,-0.024932446831156085,0.0,0.016120350764083725,0.0,-0.028342340979164257,0.0,-0.014156164414875222,0.0,-0.009376169739474496,0.0,-0.012777466450277202,0.0,-0.007695215371722168,0.0,0.0023363783564456057
0.0004655,-0.02001262726130022,0.0004655,0.031189449019446158,0.0004655,-0.02538838895033651,0.0004655,-0.03656973111574948,0.0004655,-0.012548152581072895,0.0004655,-0.019413141303131612,0.0004655,-0.009531662229719467,0.0004655,0.009309650909341476
0.000931,-0.21273645822544926,0.000931,0.00937681175931132,0.000931,-0.014905319076405325,0.000931,0.2152677570093792,0.000931,-0.006546014288417092,0.000931,0.008058168148599096,0.000931,-0.02698941948715709,0.000931,-0.1907411729096175
0.0013966,0.02870821534344486,0.0013966,-0.02239850268100024,0.0013966,-0.02808036654871518,0.0013966,-0.08242648740464723,0.0013966,0.007321126349533329,0.0013966,-0.004599535148038827,0.0013966,-0.006102193926714821,0.0013966,-0.022265815198828105
0.0018621,-0.021731559277727824,0.0018621,0.020091720324155557,0.0018621,-0.030169763741302758,0.0018621,-0.008729255145512562,0.0018621,-0.014565892159758556,0.0018621,-0.008862995806086217,0.0018621,-0.020135563157245132,0.0018621,-0.003270332895709502
0.0023276,-0.024712704360857356,0.0023276,0.0206792865433037,0.0023276,-0.02605607996076474,0.0023276,-0.013123177921553571,0.0023276,-0.014304822319498698,0.0023276,-0.015442804588085756,0.0023276,-0.012017590711296306,0.0023276,-0.004879603634025446
0.0027931,-0.02299215204834231,0.0027931,0.015448902616622106,0.0027931,-0.027552835691803515,0.0027931,0.002178610923576913,0.0027931,-0.014311126942734773,0.0027931,-0.045340494318165316,0.0027931,-0.0008645389764232776,0.0027931,-0.0035524221703085905
0.0032586,-0.02380997311282296,0.0032586,0.01051530829273381,0.0032586,-0.05577270283480006,0.0032586,-0.017693257120022017,0.0032586,-0.012135952765867859,0.0032586,-0.015398033763635218,0.0032586,-0.012124559340391814,0.0032586,-0.039382132537083434
0.0037241,-0.024665752403961332,0.0037241,0.01925782151118825,0.0037241,-0.0263800703166379,0.0037241,-0.02062186379310603,0.0037241,-0.010507691546062443,0.0037241,-0.01507468149756794,0.0037241,-0.007700485971318448,0.0037241,0.009181090340956105
