Application:, Trigno Discover (2.0.1.3)
Date/Time:, 26-09-2025 14:47:11
Collection Length (seconds):, 2.997
 Hamstrings right (85641), Hamstrings right (85641),  Rectus Femoris right (85844),  Rectus Femoris right (85844),  Gastrocnemius left (85904),  Gastrocnemius left (85904), TibilaisÂ Anterior right (85650), TibilaisÂ Anterior right (85650),  Hamstrings left (85586),  Hamstrings left (85586), TibilaisÂ Anterior left (85605), TibilaisÂ Anterior left (85605),  Rectus Femoris left (85878),  Rectus Femoris left (85878),  Gastrocnemius right (85873), Gastrocnemius right (85873), , , , , , , , , , , , , , , , , , , , , ,
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), , , , , , , , , , , , , , , , , , , , , ,
0.0,-0.027567028433132842,0.0,0.0181321932314554,0.0,-0.025079961186136618,0.0,-0.011683252041301717,0.0,-0.012959466715823735,0.0,-0.020947239864882578,0.0,-0.01171508984079938,0.0,-0.004969909336135228, , , , , , , , , , , , , , , , , , , , , , 
0.0004655,-0.03318755047133407,0.0004655,0.019525408998994055,0.0004655,-0.037480135095005244,0.0004655,-0.010217794221292554,0.0004655,-0.010810906017068916,0.0004655,-0.0096829571333983,0.0004655,-0.007544804700669456,0.0004655,7.914868713317525e-05, , , , , , , , , , , , , , , , , , , , , , 
0.000931,0.20699076772785233,0.000931,0.03809338308313315,0.000931,-0.03393145306272159,0.000931,0.03502483959023593,0.000931,-0.0030879147085876085,0.000931,-0.009081094923700118,0.000931,-0.20390310899779157,0.000931,0.018227052472067167, , , , , , , , , , , , , , , , , , , , , , 
0.0013966,-0.023970525119539485,0.0013966,0.03846911370077012,0.0013966,-0.027970001085074588,0.0013966,0.00412922997308941,0.0013966,-0.01572459518872401,0.0013966,-0.041414077707744926,0.0013966,0.0029673847361578053,0.0013966,0.037301957400359215, , , , , , , , , , , , , , , , , , , , , , 
0.0018621,-0.00330425048254618,0.0018621,0.0189494969060306,0.0018621,-0.024526348436565776,0.0018621,0.007110656726084476,0.0018621,0.03988813909870392,0.0018621,-0.0106036003506625,0.0018621,-0.00888644966326306,0.0018621,-0.022900351341066636, , , , , , , , , , , , , , , , , , , , , , 
0.0023276,-0.02548485985509841,0.0023276,0.016446435557238986,0.0023276,-0.03309779241246824,0.0023276,-0.014439610676479846,0.0023276,-0.035249443853357376,0.0023276,-0.05289700414210208,0.0023276,-0.010596402797169056,0.0023276,0.0020327367455643397, , , , , , , , , , , , , , , , , , , , , , 
0.0027931,-0.030866642597526278,0.0027931,-0.034556849704688544,0.0027931,-0.02444733964827221,0.0027931,-0.009583606943665678,0.0027931,-0.015020435160470871,0.0027931,0.025509282629270973,0.0027931,-0.012730801795452962,0.0027931,-0.0022413935253574628, , , , , , , , , , , , , , , , , , , , , , 
0.0032586,-0.021559362418931877,0.0032586,0.005263292708171323,0.0032586,-0.027266967444148273,0.0032586,-0.012134023441402948,0.0032586,-0.013148524086527108,0.0032586,-0.013829162231122124,0.0032586,-0.008680445195269311,0.0032586,-0.007935883398669664, , , , , , , , , , , , , , , , , , , , , , 
0.0037241,0.025119916411636162,0.0037241,-0.08063705305085467,0.0037241,-0.02001369049418909,0.0037241,0.0012439159196538448,0.0037241,-0.04882872856094699,0.0037241,-0.019339208343822686,0.0037241,0.16714276890477872,0.0037241,0.08358013990553927, , , , , , , , , , , , , , , , , , , , , , 
0.0041897,-0.014924418761592624,0.0041897,0.018011460904371522,0.0041897,-0.01891321189664311,0.0041897,-0.02268187895117858,0.0041897,-0.02390799126768435,0.0041897,-0.017307296630817575,0.0041897,-0.009497503758463673,0.0041897,-0.007476518728473134, , , , , , , , , , , , , , , , , , , , , , 
0.0046552,-0.00901192194355027,0.0046552,0.03245099843653938,0.0046552,-0.02326886000421102,0.0046552,-0.04786819576308943,0.0046552,-0.016718325551281617,0.0046552,-0.028396320316262342,0.0046552,-0.013617694313051121,0.0046552,-0.010972729238645482, , , , , , , , , , , , , , , , , , , , , , 
0.0051207,-0.021815192534993262,0.0051207,0.025706552305182092,0.0051207,-0.03243332894471057,0.0051207,0.005354532488452566,0.0051207,-0.00910651535542932,0.0051207,-0.02560712045771823,0.0051207,-0.009682914442075032,0.0051207,0.0008754312564633953, , , , , , , , , , , , , , , , , , , , , , 
0.0055862,-0.02685230496038007,0.0055862,0.019038594924589432,0.0055862,-0.024657819696728374,0.0055862,0.006240800917286115,0.0055862,-0.015146689972066347,0.0055862,-0.015714765237246686,0.0055862,-0.01233032560818604,0.0055862,-0.00528119230101127, , , , , , , , , , , , , , , , , , , , , , 
