Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 14:18:35
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, -0.0263523, 0, -202.86586, 0, -3.5975611, 0, -50.7926826, 0, 0.021149, 0, 104.3292694, 0, -98.6585388, 0, 46.4634171, 0, -0.0193027, 0, 25.2439022, 0, -34.8780479, 0, 8.5365858, 0, 0.0421302, 0, 97.5, 0, -75.8536606, 0, 153.7195129, 0, 0.0273594, 0, 98.9024429, 0, -22.9878063, 0, 15.2439032, 0, -0.0908064, 0, -21.4024391, 0, -35.0609779, 0, 17.7439022, 0, -0.0142672, 0, -89.4512253, 0, 7.2560978, 0, 2.6219513, 0, -0.0036927, 0, -173.8414612, 0, -46.341465, 0, -21.5243912, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, -0.0297093, 0.0135, -185.9146423, 0.0135, -26.280489, 0.0135, -64.7560959, 0.0005192, 0.0206455, 0.0135, 93.5365906, 0.0135, -132.9268341, 0.0135, 43.7804871, 0.0005192, -0.0142672, 0.0135, 10.7926836, 0.0135, -34.5731697, 0.0135, 7.0731707, 0.0005192, 0.0240024, 0.0135, 110.0609818, 0.0135, -28.5365868, 0.0135, 172.6829376, 0.0005192, 0.0392767, 0.0135, 107.3780518, 0.0135, 5, 0.0135, 20, 0.0005192, -0.0904707, 0.0135, -14.5121956, 0.0135, -34.1463432, 0.0135, 11.0975609, 0.0005192, -0.0036927, 0.0135, -90.8536606, 0.0135, 26.4024391, 0.0135, -0.6707317, 0.0005192, -0.0041962, 0.0135, -203.4756165, 0.0135, -57.5609779, 0.0135, 0.2439024, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, -0.0320592, 0.027, -146.3414612, 0.027, -81.2804871, 0.027, -95.4878082, 0.0010385, 0.0193027, 0.027, 75.4268341, 0.027, -156.7682953, 0.027, 40.7926826, 0.0010385, -0.0119173, 0.027, 5.4268293, 0.027, -27.1341476, 0.027, 2.1341465, 0.0010385, 0.018967, 0.027, 118.4146347, 0.027, 15.3048782, 0.027, 191.646347, 0.0010385, 0.0431373, 0.027, 110.6097565, 0.027, 20.060976, 0.027, 29.6341476, 0.0010385, -0.0741894, 0.027, -6.5853658, 0.027, -25.4878063, 0.027, 8.719512, 0.0010385, 0.0082246, 0.027, -99.9390259, 0.027, 39.8780479, 0.027, -3.5975611, 0.0010385, -0.0052033, 0.027, -226.2804871, 0.027, -62.2560997, 0.027, 22.3780499, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, -0.0327306, 0.0405, -103.7195129, 0.0405, -126.5853653, 0.0405, -117.0731735, 0.0015577, 0.0199741, 0.0405, 55.2439041, 0.0405, -161.2195129, 0.0405, 39.7560997, 0.0015577, -0.0132601, 0.0405, -3.4146342, 0.0405, -23.4756107, 0.0405, -6.890244, 0.0015577, 0.0243381, 0.0405, 122.4390259, 0.0405, 25.6097565, 0.0405, 207.9268341, 0.0015577, 0.0431373, 0.0405, 108.2926865, 0.0405, 16.7682934, 0.0405, 41.8902435, 0.0015577, -0.0475013, 0.0405, 7.4390244, 0.0405, -10.5487804, 0.0405, 7.8048782, 0.0015577, 0.0129244, 0.0405, -109.0853653, 0.0405, 39.0853653, 0.0405, -9.4512196, 0.0015577, -0.0065461, 0.0405, -238.9024506, 0.0405, -43.2926826, 0.0405, 37.4390259, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, -0.0332341, 0.054, -26.7682934, 0.054, -73.3536606, 0.054, -101.3414688, 0.0020769, 0.0209812, 0.054, 40.7926826, 0.054, -148.2317047, 0.054, 35.6707344, 0.0020769, -0.0166171, 0.054, -13.9634151, 0.054, -14.3292685, 0.054, -17.0731716, 0.0020769, 0.0360876, 0.054, 127.6219559, 0.054, 14.1463413, 0.054, 216.0975647, 0.0020769, 0.0428016, 0.054, 108.2317123, 0.054, 1.3414634, 0.054, 54.5731735, 0.0020769, -0.023331, 0.054, 21.8902435, 0.054, 0.1219512, 0.054, 6.8292685, 0.0020769, 0.0119173, 0.054, -117.9878082, 0.054, 24.1463413, 0.054, -17.9878044, 0.0020769, -0.0068818, 0.054, -246.8902435, 0.054, -26.5853672, 0.054, 38.1097565, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, -0.0344091, 0.0675, 11.5853662, 0.0675, 9.3292685, 0.0675, -68.7804871, 0.0025962, 0.0216526, 0.0675, 28.1707325, 0.0675, -136.4634247, 0.0675, 32.3780479, 0.0025962, -0.0135958, 0.0675, -22.1951218, 0.0675, -8.1707315, 0.0675, -24.9390259, 0.0025962, 0.0381018, 0.0675, 138.0487823, 0.0675, -29.5731716, 0.0675, 217.1341553, 0.0025962, 0.0411231, 0.0675, 109.8170776, 0.0675, -22.439024, 0.0675, 64.6951218, 0.0025962, -0.0276951, 0.0675, 32.5, 0.0675, 12.3170738, 0.0675, 6.9512196, 0.0025962, 0.0102388, 0.0675, -127.2561035, 0.0675, -1.8902439, 0.0675, -25.4268303, 0.0025962, -0.0062104, 0.0675, -247.8048859, 0.0675, -51.2195129, 0.0675, 27.8658543, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, -0.0344091, 0.081, 37.6829262, 0.081, 20.4878044, 0.081, -51.341465, 0.0031154, 0.021149, 0.081, 19.939024, 0.081, -109.0243912, 0.081, 30.9146347, 0.0031154, -0.0062104, 0.081, -22.6219521, 0.081, -2.804878, 0.081, -29.9390259, 0.0031154, 0.0253452, 0.081, 144.8170776, 0.081, -101.9512253, 0.081, 214.2073212, 0.0031154, 0.036759, 0.081, 116.4024429, 0.081, -39.2073174, 0.081, 70.4268341, 0.0031154, -0.0476692, 0.081, 37.6829262, 0.081, 21.9512196, 0.081, 9.2682924, 0.0031154, 0.0097353, 0.081, -132.4390259, 0.081, -27.2560978, 0.081, -29.4512196, 0.0031154, -0.0058747, 0.081, -247.5609741, 0.081, -76.5243912, 0.081, 8.4146347, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, -0.0337377, 0.0945, 55, 0.0945, -31.1585369, 0.0945, -51.2195129, 0.0036346, 0.0194705, 0.0945, 11.4634151, 0.0945, -47.9878044, 0.0945, 29.0243912, 0.0036346, -0.0048676, 0.0945, -13.2317076, 0.0945, -3.3536587, 0.0945, -32.1341476, 0.0036346, 0.0149386, 0.0945, 147.0121918, 0.0945, -148.4146423, 0.0945, 212.6219635, 0.0036346, 0.0320592, 0.0945, 120.3048782, 0.0945, -38.4146347, 0.0945, 68.6585388, 0.0036346, -0.0431373, 0.0945, 37.1341476, 0.0945, 22.6829281, 0.0945, 12.0121956, 0.0036346, 0.0085603, 0.0945, -130.5487823, 0.0945, -43.9024391, 0.0945, -28.6585369, 0.0036346, -0.0058747, 0.0945, -250.9756165, 0.0945, -131.3414612, 0.0945, -17.3170738, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, -0.0297093, 0.108, 67.1341476, 0.108, -64.5731735, 0.108, -52.8048782, 0.0041538, 0.018967, 0.108, -10.1829271, 0.108, 55.8536606, 0.108, 27.9878063, 0.0041538, -0.0095674, 0.108, 1.5243902, 0.108, -6.4024391, 0.108, -27.560976, 0.0041538, 0.0058747, 0.108, 156.9512177, 0.108, -163.2926941, 0.108, 204.7561035, 0.0041538, 0.0273594, 0.108, 119.9390259, 0.108, -21.6463413, 0.108, 54.3902435, 0.0041538, 0.0139315, 0.108, 30.1829281, 0.108, 30.1219521, 0.108, 19.4512196, 0.0041538, 0.0045319, 0.108, -119.6341476, 0.108, -49.6951218, 0.108, -24.4512196, 0.0041538, -0.0068818, 0.108, -259.0853577, 0.108, -222.3780518, 0.108, -30.2439022, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, -0.0240024, 0.1215, 68.8414688, 0.1215, 27.8048782, 0.1215, -42.8048782, 0.0046731, 0.0191348, 0.1215, -23.4756107, 0.1215, 102.8658524, 0.1215, 28.2317085, 0.0046731, -0.0162814, 0.1215, 17.0731716, 0.1215, 0.1829268, 0.1215, -15.2439032, 0.0046731, -0.0142672, 0.1215, 165.2439117, 0.1215, -156.4024353, 0.1215, 177.1341553, 0.0046731, 0.021149, 0.1215, 105.0609818, 0.1215, 0.8536586, 0.1215, 30.8536587, 0.0046731, 0.0918135, 0.1215, 15.6707325, 0.1215, 36.7073174, 0.1215, 26.2195129, 0.0046731, -0.0001678, 0.1215, 0, 0.1215, 0, 0.1215, 0, 0.0046731, -0.0072175, 0.1215, -246.4024506, 0.1215, -259.3292847, 0.1215, -23.9024391, , , , , , , , , , , , , , , , , , , , , , 
