Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 15:19:06
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, -0.1290761, 0, 182.9268341, 0, -10.1829271, 0, 125.4268341, 0, 0.063447, 0, -58.2317085, 0, -10.1219511, 0, -163.4756165, 0, 0.1720455, 0, 135.5487823, 0, 288.4146423, 0, 108.9634171, 0, 0.0068818, 0, -168.0487823, 0, -39.6951218, 0, -533.475647, 0, 0.1367971, 0, 87.3780518, 0, 80.4268341, 0, 57.9268303, 0, 0.0381018, 0, -206.8902435, 0, 340, 0, 232.7439117, 0, -0.0505226, 0, -35.0609779, 0, 3.9024391, 0, 69.7560959, 0, 0.0102388, 0, 551.0975952, 0, 57.0121956, 0, 99.2073212, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, -0.1351186, 0.0135, -43.4146347, 0.0135, -58.4146347, 0.0135, 110.6097565, 0.0005192, 0.0602579, 0.0135, 9.4512196, 0.0135, -45.5487823, 0.0135, -132.5, 0.0005192, 0.2076295, 0.0135, -241.4634247, 0.0135, 786.8292847, 0.0135, 252.5, 0.0005192, 0.0166171, 0.0135, -135, 0.0135, -168.5975647, 0.0135, -402.5, 0.0005192, 0.1300832, 0.0135, 59.6951218, 0.0135, 301.7683105, 0.0135, 57.9268303, 0.0005192, 0.0814069, 0.0135, -194.5731812, 0.0135, 115.18293, 0.0135, -39.2682953, 0.0005192, -0.06009, 0.0135, -440.243927, 0.0135, -153.1707306, 0.0135, 175.6097565, 0.0005192, 0.0045319, 0.0135, 383.3536682, 0.0135, -1.5853659, 0.0135, 89.9390259, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, -0.1378042, 0.027, -251.2804871, 0.027, -199.8780518, 0.027, 167.9268341, 0.0010385, 0.0632792, 0.027, 180.0609741, 0.027, -163.6585388, 0.027, -70.9756088, 0.0010385, 0.2069581, 0.027, -44.5731735, 0.027, -894.512207, 0.027, 94.8170776, 0.0010385, 0.0186313, 0.027, -53.841465, 0.027, -62.1341476, 0.027, -280.3658752, 0.0010385, 0.1237049, 0.027, -47.8658562, 0.027, -42.3170738, 0.027, -156.8902435, 0.0010385, 0.0894636, 0.027, -199.8170776, 0.027, -239.512207, 0.027, -108.0487823, 0.0010385, -0.0616007, 0.027, 339.5731812, 0.027, 251.8902435, 0.027, 75.6707306, 0.0010385, -0.0001678, 0.027, 179.9390259, 0.027, 3.7195122, 0.027, 123.0487823, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, -0.1411612, 0.0405, -290.6097717, 0.0405, -197.86586, 0.0405, 155.7926941, 0.0015577, 0.0683146, 0.0405, 316.1585388, 0.0405, -249.3292694, 0.0405, -46.2195129, 0.0015577, 0.1841306, 0.0405, 388.7195129, 0.0405, -247.9878082, 0.0405, 9.0243902, 0.0015577, 0.0152743, 0.0405, 76.2804871, 0.0405, 55.8536606, 0.0405, -146.7682953, 0.0015577, 0.1153124, 0.0405, 97.3170776, 0.0405, 27.560976, 0.0405, 39.5731735, 0.0015577, 0.0746929, 0.0405, -4.2073174, 0.0405, -243.4756165, 0.0405, 212.9268341, 0.0015577, -0.0592508, 0.0405, 19.0853672, 0.0405, 424.2683105, 0.0405, -17.1341476, 0.0015577, -0.0008392, 0.0405, 61.0975609, 0.0405, 220.9756165, 0.0405, 99.8170776, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, -0.1482109, 0.054, -437.6219482, 0.054, -256.2195129, 0.054, 96.4024429, 0.0020769, 0.0674754, 0.054, 406.7073364, 0.054, -268.3536682, 0.054, 10.9756098, 0.0020769, 0.1586175, 0.054, 30.5487804, 0.054, 83.2926865, 0.054, 273.6585388, 0.0020769, 0.0129244, 0.054, 196.0365906, 0.054, 49.5731735, 0.054, 61.9512215, 0.0020769, 0.1022202, 0.054, -177.5, 0.054, -344.0853882, 0.054, -97.1951218, 0.0020769, 0.0669718, 0.054, -285.6707458, 0.054, 29.4512196, 0.054, 107.0731735, 0.0020769, -0.0585794, 0.054, -72.6219559, 0.054, -254.2073212, 0.054, -31.5853672, 0.0020769, -0.0018463, 0.054, -233.4756165, 0.054, 303.2926941, 0.054, 60.4878044, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, -0.1498894, 0.0675, -546.0975952, 0.0675, -252.5, 0.0675, 46.0365868, 0.0025962, 0.0619364, 0.0675, 506.4634399, 0.0675, -251.0365906, 0.0675, 61.9512215, 0.0025962, 0.13579, 0.0675, -79.8780518, 0.0675, 314.5731812, 0.0675, 315.2438965, 0.0025962, 0.0092317, 0.0675, 323.3536682, 0.0675, -6.4024391, 0.0675, 266.3414612, 0.0025962, 0.082414, 0.0675, -121.0975647, 0.0675, -317.1341553, 0.0675, -334.7561035, 0.0025962, 0.0683146, 0.0675, -266.7683105, 0.0675, 396.1585388, 0.0675, 24.1463413, 0.0025962, -0.0609293, 0.0675, 81.8902435, 0.0675, -865.3658447, 0.0675, -120.5487823, 0.0025962, -0.0035248, 0.0675, -520.2438965, 0.0675, 163.7804871, 0.0675, 103.6585388, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, -0.1461967, 0.081, -557.8658447, 0.081, -168.9634247, 0.081, 77.5, 0.0031154, 0.0575723, 0.081, 621.4634399, 0.081, -205.6097565, 0.081, 79.3292694, 0.0031154, 0.1082628, 0.081, 22.0731716, 0.081, 163.5975647, 0.081, 64.0243912, 0.0031154, 0.0068818, 0.081, 475.0609741, 0.081, -14.9390249, 0.081, 447.5, 0.0031154, 0.0595865, 0.081, 86.1585388, 0.081, -340.5487976, 0.081, -172.9878082, 0.0031154, 0.0663005, 0.081, -79.146347, 0.081, 173.4756165, 0.081, 55.9146347, 0.0031154, -0.0622721, 0.081, -98.5365906, 0.081, -455.1829224, 0.081, -39.8780479, 0.0031154, -0.0041962, 0.081, -604.8780518, 0.081, 90.18293, 0.081, 112.9878082, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, -0.1428397, 0.0945, -671.5244141, 0.0945, -129.6951294, 0.0945, 202.012207, 0.0036346, 0.0562295, 0.0945, 691.9512329, 0.0945, -139.3292694, 0.0945, 68.2926865, 0.0036346, 0.0777142, 0.0945, 7.8048782, 0.0945, -218.5975647, 0.0945, 57.1951218, 0.0036346, 0.0199741, 0.0945, 624.2683105, 0.0945, -13.9634151, 0.0945, 606.5244141, 0.0036346, 0.0394446, 0.0945, 299.0853577, 0.0945, -331.8902588, 0.0945, -166.2804871, 0.0036346, 0.0525368, 0.0945, -26.2195129, 0.0945, -233.2926941, 0.0945, -5.3658538, 0.0036346, -0.0602579, 0.0945, -224.7561035, 0.0945, -49.0243912, 0.0945, 181.646347, 0.0036346, -0.0008392, 0.0945, -771.5244141, 0.0945, 7.6219516, 0.0945, 130.36586, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, -0.142504, 0.108, -771.8292847, 0.108, -103.7804871, 0.108, 298.0487976, 0.0041538, 0.0580758, 0.108, 716.4024658, 0.108, -51.2195129, 0.108, 63.1097565, 0.0041538, 0.0558938, 0.108, 89.6341476, 0.108, -269.7561035, 0.108, 33.0487823, 0.0041538, 0.036759, 0.108, 757.4390259, 0.108, 13.2317076, 0.108, 786.0366211, 0.0041538, 0.0139315, 0.108, 138.0487823, 0.108, -85.3658524, 0.108, -122.9268341, 0.0041538, 0.03122, 0.108, -43.9024391, 0.108, -308.7804871, 0.108, 45.7317085, 0.0041538, -0.0542153, 0.108, -265.4268494, 0.108, -183.0487823, 0.108, 238.7804871, 0.0041538, 0.0025177, 0.108, -976.7073364, 0.108, -87.8658524, 0.108, 155.1829376, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, -0.1393149, 0.1215, -632.6219482, 0.1215, -5.3048782, 0.1215, 328.1707458, 0.0046731, 0.0602579, 0.1215, 702.6219482, 0.1215, 33.6585388, 0.1215, 81.646347, 0.0046731, 0.0428016, 0.1215, 34.0243912, 0.1215, -154.8170776, 0.1215, 20.4268303, 0.0046731, 0.0287022, 0.1215, 854.6341553, 0.1215, 12.2560978, 0.1215, 970.5488281, 0.0046731, -0.0223239, 0.1215, 115.36586, 0.1215, 81.8902435, 0.1215, -11.0365858, 0.0046731, 0.0119173, 0.1215, -22.9268303, 0.1215, -153.5975647, 0.1215, 14.1463413, 0.0046731, -0.043473, 0.1215, 66.7682953, 0.1215, 125.4268341, 0.1215, 70.9146347, 0.0046731, -0.0025177, 0.1215, -1228.1707764, 0.1215, -246.3414764, 0.1215, 221.7073212, , , , , , , , , , , , , , , , , , , , , , 
