Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 14:35:52
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, -0.0223239, 0, 36.0365868, 0, -49.4512215, 0, -22.9268303, 0, 0.0152743, 0, -77.5609741, 0, -48.9634171, 0, 9.8780489, 0, -0.0243381, 0, 128.7195129, 0, 21.3414631, 0, -44.7560997, 0, -0.0283665, 0, -40.6707344, 0, 50.3048782, 0, -37.4390259, 0, -0.012253, 0, -34.5731697, 0, 112.0731735, 0, -71.2804871, 0, -0.054551, 0, -37.5, 0, 42.6219521, 0, 147.1341553, 0, -0.0095674, 0, 29.3902454, 0, 56.5243912, 0, 22.6219521, 0, -0.0223239, 0, 33.7195129, 0, 77.3170776, 0, -35.3658562, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, -0.024506, 0.0135, 30.3048782, 0.0135, -50.0609779, 0.0135, -22.1341476, 0.0005192, 0.0099031, 0.0135, -107.5, 0.0135, -15.7317076, 0.0135, 12.4390249, 0.0005192, -0.0250095, 0.0135, 153.0487823, 0.0135, 19.7560978, 0.0135, -41.4024391, 0.0005192, -0.011078, 0.0135, -32.4390259, 0.0135, 79.9390259, 0.0135, -40.9146347, 0.0005192, -0.0104067, 0.0135, -53.4756126, 0.0135, 157.3780518, 0.0135, -74.9390259, 0.0005192, -0.0810712, 0.0135, -53.1097565, 0.0135, 60.1219521, 0.0135, 167.6829376, 0.0005192, -0.0077211, 0.0135, 55.6707344, 0.0135, 62.1951218, 0.0135, 23.3536587, 0.0005192, -0.0270237, 0.0135, 28.4756107, 0.0135, 100.9146347, 0.0135, -17.2560978, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, -0.0270237, 0.027, 44.3902435, 0.027, -48.9024391, 0.027, -20.5487804, 0.0010385, 0.0070497, 0.027, -122.0121994, 0.027, 33.7804871, 0.027, 17.5, 0.0010385, -0.0263523, 0.027, 180.0609741, 0.027, 43.1707344, 0.027, -43.5365868, 0.0010385, -0.0015106, 0.027, -18.1707325, 0.027, 104.9390259, 0.027, -50.3658562, 0.0010385, -0.0102388, 0.027, -91.5243912, 0.027, 205.36586, 0.027, -76.1585388, 0.0010385, -0.1012131, 0.027, -69.8780518, 0.027, 52.3170738, 0.027, 190.36586, 0.0010385, -0.0078889, 0.027, 80.0609741, 0.027, 39.0853653, 0.027, 29.5121956, 0.0010385, -0.0270237, 0.027, 24.8170738, 0.027, 111.4634171, 0.027, -4.8170733, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, -0.0283665, 0.0405, 76.5243912, 0.0405, -1.097561, 0.0405, -5.3658538, 0.0015577, 0.0075532, 0.0405, -118.9024429, 0.0405, 43.3536606, 0.0405, 15.2439032, 0.0015577, -0.0273594, 0.0405, 193.1707306, 0.0405, 54.9390259, 0.0405, -48.9024391, 0.0015577, -0.0109102, 0.0405, -5.2439027, 0.0405, 90.5487823, 0.0405, -68.2317123, 0.0015577, -0.0109102, 0.0405, -143.1097565, 0.0405, 226.5853729, 0.0405, -77.2560959, 0.0015577, -0.072343, 0.0405, -77.8048782, 0.0405, 43.1707344, 0.0405, 206.0975647, 0.0015577, -0.0075532, 0.0405, 119.7561035, 0.0405, 15.8536587, 0.0405, 32.5, 0.0015577, -0.0258488, 0.0405, 27.6219521, 0.0405, 107.5, 0.0405, 19.2682934, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, -0.0283665, 0.054, 118.3536606, 0.054, 56.6463432, 0.054, 11.4024391, 0.0020769, 0.0078889, 0.054, -113.2926865, 0.054, 26.0365868, 0.054, 3.1097562, 0.0020769, -0.0265202, 0.054, 199.2073212, 0.054, 76.7682953, 0.054, -53.5365868, 0.0020769, -0.0265202, 0.054, 26.6463413, 0.054, 42.1341476, 0.054, -32.6829262, 0.0020769, -0.0112459, 0.054, -183.1707306, 0.054, 160.9146423, 0.054, -85.0609741, 0.0020769, 0.0287022, 0.054, -74.6951218, 0.054, 36.5243912, 0.054, 210.1829376, 0.0020769, -0.0068818, 0.054, 181.646347, 0.054, 35.1829262, 0.054, 34.3292694, 0.0020769, -0.0250095, 0.054, 29.9390259, 0.054, -89.6951218, 0.054, 24.5731716, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, -0.0265202, 0.0675, 133.1707306, 0.0675, 83.1707306, 0.0675, 19.0853672, 0.0025962, 0.0062104, 0.0675, -120.4268341, 0.0675, 18.780489, 0.0675, -0.6707317, 0.0025962, -0.0256809, 0.0675, 202.3780518, 0.0675, 70, 0.0675, -53.9634171, 0.0025962, -0.0283665, 0.0675, 29.5731716, 0.0675, -27.3170738, 0.0675, 18.4146347, 0.0025962, -0.0102388, 0.0675, -203.1097565, 0.0675, 9.4512196, 0.0675, -105.4268341, 0.0025962, 0.0985275, 0.0675, -64.5121994, 0.0675, 39.5121956, 0.0675, 202.9268341, 0.0025962, -0.0058747, 0.0675, 253.1707306, 0.0675, 74.0853653, 0.0675, 34.8170738, 0.0025962, -0.018967, 0.0675, -41.5243912, 0.0675, 86.0365906, 0.0675, -29.0853672, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, -0.0240024, 0.081, 133.9024353, 0.081, 58.1707344, 0.081, 35.2439041, 0.0031154, 0.0045319, 0.081, -107.5, 0.081, 15.060976, 0.081, 11.6463413, 0.0031154, -0.0250095, 0.081, 201.4634247, 0.081, 71.2804871, 0.081, -55.0609779, 0.0031154, -0.0216526, 0.081, -29.5121956, 0.081, -56.4024391, 0.081, 12.3780489, 0.0031154, -0.0085603, 0.081, -208.4146423, 0.081, -103.2317123, 0.081, -127.1341476, 0.0031154, 0.0468299, 0.081, 0, 0.081, 0, 0.081, 0, 0.0031154, -0.0062104, 0.081, 270.7926941, 0.081, 59.5121956, 0.081, 32.4390259, 0.0031154, -0.0102388, 0.081, -6.1585369, 0.081, -39.3292694, 0.081, -91.8902435, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, -0.0209812, 0.0945, 92.68293, 0.0945, 0.4878049, 0.0945, 45.7926826, 0.0036346, 0.0052033, 0.0945, -74.5121994, 0.0945, 14.8170738, 0.0945, 1.4634147, 0.0036346, -0.0248417, 0.0945, 189.0243988, 0.0945, 45.1219521, 0.0945, -51.0365868, 0.0036346, -0.0152743, 0.0945, -63.2926826, 0.0945, -29.2682934, 0.0945, -14.5731707, 0.0036346, -0.0085603, 0.0945, -198.1097565, 0.0945, -160, 0.0945, -138.6585388, 0.0036346, -0.0834211, 0.0945, -46.0975609, 0.0945, 126.1585388, 0.0945, 160.4878082, 0.0036346, -0.0078889, 0.0945, 240.9756165, 0.0945, 44.2073174, 0.0945, 29.8780499, 0.0036346, -0.0035248, 0.0945, 45.9146347, 0.0945, -111.8292694, 0.0945, -75.7926865, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, -0.0209812, 0.108, 17.2560978, 0.108, 74.1463394, 0.108, 43.4756126, 0.0041538, 0.0068818, 0.108, -5.609756, 0.108, 129.5731812, 0.108, -41.4024391, 0.0041538, -0.0243381, 0.108, 155.3048859, 0.108, 47.5609779, 0.108, -42.0121956, 0.0041538, -0.0092317, 0.108, -68.9024429, 0.108, 18.6585369, 0.108, -11.0365858, 0.0041538, -0.008896, 0.108, -194.4512177, 0.108, -182.2561035, 0.108, -148.5975647, 0.0041538, -0.1962158, 0.108, -45.7926826, 0.108, 144.9390259, 0.108, 125.3048782, 0.0041538, -0.0078889, 0.108, 173.4756165, 0.108, -39.1463432, 0.108, 23.4146347, 0.0041538, 0.0006714, 0.108, 34.4512215, 0.108, 66.8902435, 0.108, -58.4146347, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, -0.0216526, 0.1215, -14.5121956, 0.1215, 121.4634171, 0.1215, 53.4756126, 0.0046731, 0.0087282, 0.1215, -22.8658543, 0.1215, 69.0243912, 0.1215, -43.2926826, 0.0046731, -0.0243381, 0.1215, 64.3292694, 0.1215, 139.0243988, 0.1215, -38.5365868, 0.0046731, -0.0070497, 0.1215, -60.9756126, 0.1215, 119.5121994, 0.1215, 8.1707315, 0.0046731, -0.0095674, 0.1215, -219.0853729, 0.1215, -172.7439117, 0.1215, -157.5, 0.0046731, -0.2227359, 0.1215, -36.8902435, 0.1215, 152.5609741, 0.1215, 98.4146347, 0.0046731, -0.008896, 0.1215, 84.146347, 0.1215, -130.9756165, 0.1215, -9.7560978, 0.0046731, 0.002182, 0.1215, 7.9268293, 0.1215, 103.1707306, 0.1215, -45.5487823, , , , , , , , , , , , , , , , , , , , , , 
