Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 15:10:37
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, -0.0075532, 0, 10.1829271, 0, 10.4878054, 0, 60.6097565, 0, 0.0191348, 0, 32.9878044, 0, -3.1097562, 0, -41.4024391, 0, -0.0313878, 0, 50.8536606, 0, 45.8536606, 0, 106.8292694, 0, -0.0052033, 0, -40.1219521, 0, 32.5609779, 0, -107.5, 0, -0.047837, 0, 60, 0, -37.3170738, 0, 47.2560997, 0, -0.04448, 0, -109.2073212, 0, 53.9024391, 0, 61.1585388, 0, -0.0203098, 0, -57.5609779, 0, 41.5243912, 0, -27.2560978, 0, -0.0240024, 0, 121.2804871, 0, 25.1219521, 0, -7.0731707, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, -0.0082246, 0.0135, -0.3048781, 0.0135, 5.3048782, 0.0135, 66.7073212, 0.0005192, 0.0193027, 0.0135, 47.5609779, 0.0135, -2.6829269, 0.0135, -38.9634171, 0.0005192, -0.0313878, 0.0135, 37.0121956, 0.0135, 51.2195129, 0.0135, 95.3048782, 0.0005192, 0.0075532, 0.0135, -52.8048782, 0.0135, 43.9634171, 0.0135, -124.8780518, 0.0005192, -0.0451514, 0.0135, 78.1097565, 0.0135, -27.8658543, 0.0135, 51.2195129, 0.0005192, -0.0317235, 0.0135, -91.646347, 0.0135, 45.2439041, 0.0135, 52.3170738, 0.0005192, -0.0216526, 0.0135, -107.1341476, 0.0135, 42.7439041, 0.0135, -34.1463432, 0.0005192, 0.0273594, 0.0135, 142.3780518, 0.0135, 35.2439041, 0.0135, -12.9878054, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, -0.0099031, 0.027, -26.1585369, 0.027, -3.2926829, 0.027, 79.0853653, 0.0010385, 0.0203098, 0.027, 64.6341476, 0.027, 1.097561, 0.027, -39.6341476, 0.0010385, -0.0265202, 0.027, 45.2439041, 0.027, 42.3780479, 0.027, 72.2560959, 0.0010385, 0.0078889, 0.027, -68.7195129, 0.027, 51.7073174, 0.027, -138.4756165, 0.0010385, -0.0397803, 0.027, 109.5731735, 0.027, -14.5121956, 0.027, 60.4268303, 0.0010385, -0.0082246, 0.027, -78.0487823, 0.027, 57.4390259, 0.027, 45.6707344, 0.0010385, -0.0240024, 0.027, -154.0853729, 0.027, 0, 0.027, -34.5121956, 0.0010385, 0.0431373, 0.027, 157.1341553, 0.027, 43.1707344, 0.027, -23.7195129, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, -0.0135958, 0.0405, -57.68293, 0.0405, -15.8536587, 0.0405, 93.4756088, 0.0015577, 0.0206455, 0.0405, 73.3536606, 0.0405, -1.3414634, 0.0405, -42.6829262, 0.0015577, -0.0203098, 0.0405, 55.7317085, 0.0405, 17.8048782, 0.0405, 50.4268303, 0.0015577, 0.005539, 0.0405, -85.6097565, 0.0405, 64.1463394, 0.0405, -150.8536682, 0.0015577, -0.0364233, 0.0405, 144.5121918, 0.0405, -2.5, 0.0405, 61.0975609, 0.0015577, 0.018967, 0.0405, -70.3048782, 0.0405, 36.8902435, 0.0405, 36.4024391, 0.0015577, -0.0270237, 0.0405, -155, 0.0405, -55.9146347, 0.0405, -32.6219521, 0.0015577, 0.0491798, 0.0405, 170.8536682, 0.0405, 60.4878044, 0.0405, -36.7073174, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, -0.01561, 0.054, -89.6951218, 0.054, -41.8292694, 0.054, 107.9878082, 0.0020769, 0.0213169, 0.054, 103.6585388, 0.054, -10.6097565, 0.054, -48.1097565, 0.0020769, -0.0182956, 0.054, 39.9390259, 0.054, 24.0853672, 0.054, 91.5243912, 0.0020769, 0.0048676, 0.054, -99.8780518, 0.054, 85.9756088, 0.054, -164.3292694, 0.0020769, -0.0330663, 0.054, 152.5, 0.054, -6.4634147, 0.054, 64.3292694, 0.0020769, 0.0349126, 0.054, -104.5121994, 0.054, 30.5487804, 0.054, 41.1585388, 0.0020769, -0.0293736, 0.054, -99.8170776, 0.054, -32.9268303, 0.054, -34.1463432, 0.0020769, 0.0626078, 0.054, 186.2804871, 0.054, 98.4146347, 0.054, -46.341465, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, -0.0171206, 0.0675, -107.8658524, 0.0675, -84.0243912, 0.0675, 116.2195129, 0.0025962, 0.0193027, 0.0675, 155.0609741, 0.0675, -16.1585369, 0.0675, -44.2073174, 0.0025962, -0.0191348, 0.0675, 27.6829281, 0.0675, 42.3170738, 0.0675, 111.5243912, 0.0025962, 0.0045319, 0.0675, -92.5609741, 0.0675, 146.7073212, 0.0675, -162.6219482, 0.0025962, -0.0287022, 0.0675, 97.8048782, 0.0675, -38.4146347, 0.0675, 55.9756126, 0.0025962, 0.0290379, 0.0675, -107.3780518, 0.0675, 59.8170738, 0.0675, 38.4146347, 0.0025962, -0.0317235, 0.0675, -97.68293, 0.0675, 10.8536587, 0.0675, -27.8658543, 0.0025962, 0.064622, 0.0675, 183.4146423, 0.0675, 126.4024429, 0.0675, -54.6951218, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, -0.0204776, 0.081, -134.2682953, 0.081, -109.9390259, 0.081, 120.4878082, 0.0031154, 0.0176242, 0.081, 197.2561035, 0.081, -15.9146347, 0.081, -28.3536587, 0.0031154, -0.0216526, 0.081, -11.6463413, 0.081, 69.8170776, 0.081, 85.7317123, 0.0031154, 0.0005035, 0.081, -79.5731735, 0.081, 191.2195129, 0.081, -153.9634247, 0.0031154, -0.0219883, 0.081, 69.2682953, 0.081, -102.1951218, 0.081, 27.3170738, 0.0031154, 0.005539, 0.081, -78.2926865, 0.081, 75.3048782, 0.081, 16.7073174, 0.0031154, -0.0330663, 0.081, -112.3170776, 0.081, -64.0853653, 0.081, -53.0487823, 0.0031154, 0.0535439, 0.081, 149.5731812, 0.081, 143.2926788, 0.081, -60.6097565, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, -0.0256809, 0.0945, -167.4390259, 0.0945, -101.2804871, 0.0945, 128.9634247, 0.0036346, 0.0171206, 0.0945, 218.3536682, 0.0945, -42.1341476, 0.0945, -8.1097565, 0.0036346, -0.0265202, 0.0945, 2.0731707, 0.0945, 57.0121956, 0.0945, 101.5853653, 0.0036346, -0.0028534, 0.0945, -72.3170776, 0.0945, 99.6951218, 0.0945, -154.3902435, 0.0036346, -0.0129244, 0.0945, 48.7804871, 0.0945, -182.0121918, 0.0945, -9.7560978, 0.0036346, -0.0132601, 0.0945, -101.0365906, 0.0945, 70.0609741, 0.0945, 20.3048782, 0.0036346, -0.0320592, 0.0945, -107.5, 0.0945, -141.5853729, 0.0945, -63.9024391, 0.0036346, 0.0436408, 0.0945, 123.5365906, 0.0945, 96.4024429, 0.0945, -51.2804909, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, -0.030045, 0.108, -214.4512177, 0.108, -45.8536606, 0.108, 130.4878082, 0.0041538, 0.0166171, 0.108, 217.1951294, 0.108, -109.6341476, 0.108, 0.1829268, 0.0041538, -0.0323949, 0.108, 16.8902435, 0.108, 31.8902454, 0.108, 96.4634171, 0.0041538, -0.0025177, 0.108, -87.1341476, 0.108, -16.0365849, 0.108, -157.6219482, 0.0041538, -0.005539, 0.108, 51.0365868, 0.108, -186.1585388, 0.108, -24.8170738, 0.0041538, -0.0229953, 0.108, -95.3658524, 0.108, 39.0243912, 0.108, 27.4390259, 0.0041538, -0.0305486, 0.108, -102.8048782, 0.108, -150.1219482, 0.108, -56.6463432, 0.0041538, 0.0407874, 0.108, 134.3292694, 0.108, 32.4390259, 0.108, -39.8170738, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, -0.0330663, 0.1215, -269.8170776, 0.1215, 31.1585369, 0.1215, 114.0243912, 0.0046731, 0.01561, 0.1215, 235.4268341, 0.1215, -130.7317047, 0.1215, 2.5609756, 0.0046731, -0.0374304, 0.1215, 25.5487804, 0.1215, -2.1341465, 0.1215, 85.4268341, 0.0046731, -0.0023499, 0.1215, -124.8780518, 0.1215, -104.8780518, 0.1215, -141.0975647, 0.0046731, -0.002182, 0.1215, 102.68293, 0.1215, -134.2073212, 0.1215, 0.4268293, 0.0046731, -0.0287022, 0.1215, -90.9756088, 0.1215, 18.5975609, 0.1215, 27.4390259, 0.0046731, -0.0297093, 0.1215, -99.6341476, 0.1215, -117.5609818, 0.1215, -37.8048782, 0.0046731, 0.0374304, 0.1215, 174.2073212, 0.1215, -31.7073174, 0.1215, -36.2195129, , , , , , , , , , , , , , , , , , , , , , 
