Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 15:25:48
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, -0.0045319, 0, -239.2682953, 0, -72.2560959, 0, 165.7926941, 0, -0.0031891, 0, 451.9512329, 0, -179.8780518, 0, -94.5121994, 0, -0.0475013, 0, 12.3780489, 0, -14.9390249, 0, 87.9268341, 0, 0.008896, 0, -6.9512196, 0, -670, 0, -210.5487823, 0, -0.0602579, 0, 125.6097565, 0, -234.7561035, 0, -107.2561035, 0, 0.0078889, 0, -83.9634171, 0, -4.0853658, 0, 21.5853672, 0, -0.0975204, 0, -140.4268341, 0, -275.7926941, 0, -0.3658537, 0, -0.0157778, 0, 186.4024506, 0, -508.7804871, 0, 271.1585388, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, -0.0095674, 0.0135, -334.6341553, 0.0135, 36.6463432, 0.0135, 153.8414612, 0.0005192, 0.0186313, 0.0135, 446.8902588, 0.0135, -14.9390249, 0.0135, -13.0487804, 0.0005192, -0.0461585, 0.0135, 17.3780499, 0.0135, -59.2073174, 0.0135, 52.6829262, 0.0005192, 0.0065461, 0.0135, -61.7682953, 0.0135, -607.5, 0.0135, -180.4268341, 0.0005192, -0.0417945, 0.0135, 68.3536606, 0.0135, -126.9512253, 0.0135, -64.8780518, 0.0005192, -0.0072175, 0.0135, -53.6585388, 0.0135, -57.3170738, 0.0135, 11.280488, 0.0005192, -0.0944991, 0.0135, -78.3536606, 0.0135, -154.7561035, 0.0135, -18.9634151, 0.0005192, -0.0146029, 0.0135, 173.0487823, 0.0135, -248.4756165, 0.0135, 248.3536682, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, -0.0140993, 0.027, -488.7804871, 0.027, 21.0365868, 0.027, 154.6341553, 0.0010385, 0.0448157, 0.027, 335.3658752, 0.027, 4.2682929, 0.027, 40.4878044, 0.0010385, -0.030045, 0.027, 25, 0.027, -58.2317085, 0.027, 32.8658562, 0.0010385, 0.0060426, 0.027, -37.8658562, 0.027, -416.5853882, 0.027, -175.6097565, 0.0010385, -0.0154421, 0.027, -0.6707317, 0.027, -13.1707315, 0.027, -2.4390244, 0.0010385, -0.0219883, 0.027, -37.3780479, 0.027, -60.5487823, 0.027, 18.780489, 0.0010385, -0.0849317, 0.027, -41.5853653, 0.027, 37.2560997, 0.027, 6.2195125, 0.0010385, -0.0139315, 0.027, 220.6097565, 0.027, -306.5853882, 0.027, 100.9146347, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, -0.0172885, 0.0405, -558.9024658, 0.0405, -183.3536682, 0.0405, 204.8780518, 0.0015577, 0.0733501, 0.0405, 461.9512329, 0.0405, -195.1829376, 0.0405, -16.0975609, 0.0015577, -0.012253, 0.0405, 20.8536587, 0.0405, -52.1951218, 0.0405, 32.0121956, 0.0015577, 0.0065461, 0.0405, 107.3170776, 0.0405, -117.4390259, 0.0405, -160.5487823, 0.0015577, 0.0172885, 0.0405, 0.1829268, 0.0405, 7.8048782, 0.0405, 16.4024391, 0.0015577, -0.0008392, 0.0405, -29.1463413, 0.0405, -45.6707344, 0.0405, 15.8536587, 0.0015577, -0.068986, 0.0405, -33.9634171, 0.0405, 43.2926826, 0.0405, 5.4268293, 0.0015577, -0.0142672, 0.0405, 195.6097565, 0.0405, -263.1097717, 0.0405, 78.6585388, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, -0.0218204, 0.054, -544.7561035, 0.054, -283.1097717, 0.054, 215.6707306, 0.0020769, 0.1017166, 0.054, 532.7438965, 0.054, -210.1829376, 0.054, -49.2073174, 0.0020769, -0.0095674, 0.054, 1.2195122, 0.054, -30.1219521, 0.054, 33.1097565, 0.0020769, 0.0058747, 0.054, 214.512207, 0.054, 26.8902454, 0.054, -154.3902435, 0.0020769, 0.0464942, 0.054, 37.8048782, 0.054, -11.8292685, 0.054, -18.1707325, 0.0020769, 0.0307164, 0.054, -26.4634151, 0.054, -31.0365868, 0.054, 9.7560978, 0.0020769, -0.0501869, 0.054, -39.5121956, 0.054, -22.7439022, 0.054, -4.8170733, 0.0020769, -0.0152743, 0.054, -88.0487823, 0.054, 115.7317123, 0.054, 287.3780518, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, -0.0290379, 0.0675, -539.0244141, 0.0675, -237.3780518, 0.0675, 225.9146423, 0.0025962, 0.1226978, 0.0675, 651.5244141, 0.0675, -146.0365906, 0.0675, -39.0243912, 0.0025962, -0.01561, 0.0675, -5.3048782, 0.0675, -17.3780499, 0.0675, 20.060976, 0.0025962, 0.0028534, 0.0675, 422.2561035, 0.0675, 119.8170776, 0.0675, -74.0243912, 0.0025962, 0.0622721, 0.0675, 54.4512215, 0.0675, -24.5121956, 0.0675, -60.5487823, 0.0025962, 0.0495155, 0.0675, -13.9024391, 0.0675, -13.1707315, 0.0675, 4.0853658, 0.0025962, -0.0223239, 0.0675, 0, 0.0675, 0, 0.0675, 0, 0.0025962, -0.0169528, 0.0675, -169.146347, 0.0675, 260.3048706, 0.0675, 371.1585388, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, -0.0357519, 0.081, -514.3292847, 0.081, -113.7804871, 0.081, 288.1707458, 0.0031154, 0.1376364, 0.081, 560.1829224, 0.081, -44.2073174, 0.081, 2.0731707, 0.0031154, -0.0176242, 0.081, -2.5609756, 0.081, -18.1097565, 0.081, 1.2804878, 0.0031154, 0.0001678, 0.081, 578.3536987, 0.081, 86.7682953, 0.081, 117.0731735, 0.0031154, 0.0676432, 0.081, 57.9878044, 0.081, -28.0487804, 0.081, -73.4756088, 0.0031154, 0.0703288, 0.081, 4.0853658, 0.081, -5.5487804, 0.081, 7.6219516, 0.0031154, 0.0146029, 0.081, -30.5487804, 0.081, -104.4512253, 0.081, 23.1097565, 0.0031154, -0.0172885, 0.081, -365.1219482, 0.081, 315.9146423, 0.081, 428.7195129, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, -0.0426337, 0.0945, -327.5609741, 0.0945, -56.7682953, 0.0945, 349.0853882, 0.0036346, 0.1520714, 0.0945, 530.1829224, 0.0945, 9.0853662, 0.0945, -1.402439, 0.0036346, -0.0149386, 0.0945, -7.4390244, 0.0945, -40.4268303, 0.0945, -10.5487804, 0.0036346, -0.0015106, 0.0945, 685.7317505, 0.0945, -29.0243912, 0.0945, 347.7438965, 0.0036346, 0.0713359, 0.0945, 61.4634171, 0.0945, -40.7317085, 0.0945, -80.6707306, 0.0036346, 0.0837568, 0.0945, 18.780489, 0.0945, -23.5365868, 0.0945, 2.0121951, 0.0036346, 0.0485084, 0.0945, 0, 0.0945, 0, 0.0945, 0, 0.0036346, -0.0172885, 0.0945, -657.7438965, 0.0945, 60.0609779, 0.0945, 405.9146423, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, -0.0491798, 0.108, -273.23172, 0.108, 91.5853653, 0.108, 349.0243835, 0.0041538, 0.1653315, 0.108, 516.7073364, 0.108, -33.2926826, 0.108, -15.1219511, 0.0041538, -0.012253, 0.108, -19.6341476, 0.108, -90.9756088, 0.108, -21.9512196, 0.0041538, -0.0045319, 0.108, 769.8170776, 0.108, -72.5609741, 0.108, 524.8170776, 0.0041538, 0.0760357, 0.108, 91.4024429, 0.108, -51.9512215, 0.108, -67.8658524, 0.0041538, 0.0548867, 0.108, 36.0365868, 0.108, -72.3170776, 0.108, -15.2439032, 0.0041538, 0.0736858, 0.108, -53.2317085, 0.108, -60.7317085, 0.108, -4.5731707, 0.0041538, -0.0154421, 0.108, -861.0366211, 0.108, -87.9268341, 0.108, 355.6097717, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, -0.0522011, 0.1215, -448.9634399, 0.1215, 389.3292847, 0.1215, 288.9024353, 0.0046731, 0.1740597, 0.1215, 435.6097717, 0.1215, 105.4878082, 0.1215, -7.8658538, 0.0046731, -0.0112459, 0.1215, -32.4390259, 0.1215, -118.9634171, 0.1215, -32.8658562, 0.0046731, -0.0097353, 0.1215, 881.7073364, 0.1215, -55.0609779, 0.1215, 623.7805176, 0.0046731, 0.0736858, 0.1215, 114.8780518, 0.1215, -112.8048782, 0.1215, -49.5731735, 0.0046731, 0.0010071, 0.1215, 46.4634171, 0.1215, -112.0121994, 0.1215, -33.9634171, 0.0046731, 0.0891279, 0.1215, -75.9146347, 0.1215, -93.2926865, 0.1215, -32.4390259, 0.0046731, -0.0162814, 0.1215, -976.3414917, 0.1215, -138.9024353, 0.1215, 380.2438965, , , , , , , , , , , , , , , , , , , , , , 
