Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 15:13:32
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, -0.0115816, 0, -160.1219482, 0, -79.6951218, 0, 80.9146347, 0, 0.0146029, 0, 264.0243835, 0, 9.3902445, 0, 107.8048782, 0, -0.0310521, 0, -9.3292685, 0, 65.9146347, 0, 52.5609779, 0, 0.010071, 0, 284.2683105, 0, -94.8170776, 0, 230.7926941, 0, -0.0139315, 0, 129.0853729, 0, 29.6341476, 0, 32.7439041, 0, -0.0124208, 0, -40.6707344, 0, 59.2073174, 0, 28.4756107, 0, -0.0981918, 0, -133.7804871, 0, 59.0243912, 0, 1.0365853, 0, -0.0005035, 0, -330.4878235, 0, -22.2560978, 0, 207.6219635, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, -0.0117494, 0.0135, -150.1829376, 0.0135, -74.0853653, 0.0135, 64.0853653, 0.0005192, 0.0075532, 0.0135, 207.0731812, 0.0135, -24.9390259, 0.0135, 94.6951218, 0.0005192, -0.017792, 0.0135, -6.6463418, 0.0135, 35.4268303, 0.0135, 45.1219521, 0.0005192, 0.0139315, 0.0135, 319.6341553, 0.0135, -120.7926865, 0.0135, 272.5, 0.0005192, -0.0090639, 0.0135, 154.2682953, 0.0135, -11.9512196, 0.0135, 28.1707325, 0.0005192, -0.0109102, 0.0135, -36.1585388, 0.0135, 74.2682953, 0.0135, 18.6585369, 0.0005192, -0.0746929, 0.0135, -146.5853729, 0.0135, 37.8658562, 0.0135, -1.097561, 0.0005192, -0.0006714, 0.0135, -352.1341553, 0.0135, -49.5121956, 0.0135, 208.0487823, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, -0.012253, 0.027, -192.3780518, 0.027, -58.4756126, 0.027, 20.5487804, 0.0010385, -0.0008392, 0.027, 141.7073212, 0.027, -53.7804909, 0.027, 82.4390259, 0.0010385, 0.0028534, 0.027, 2.5609756, 0.027, 0.7317073, 0.027, 38.4146347, 0.0010385, -0.0050355, 0.027, 350.9146423, 0.027, -124.3902435, 0.027, 314.7561035, 0.0010385, -0.0035248, 0.027, 177.9268341, 0.027, -27.9268303, 0.027, 42.1341476, 0.0010385, -0.0031891, 0.027, -25.8536587, 0.027, 24.0853672, 0.027, 18.2926826, 0.0010385, -0.0471656, 0.027, -175.1219482, 0.027, -12.3780489, 0.027, -7.3780489, 0.0010385, -0.0016785, 0.027, -432.9878235, 0.027, -55.9146347, 0.027, 175.0609741, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, -0.0137636, 0.0405, -199.0243988, 0.0405, -17.1341476, 0.0405, -27.3170738, 0.0015577, -0.0072175, 0.0405, 83.0487823, 0.0405, -80.18293, 0.0405, 76.8902435, 0.0015577, 0.014435, 0.0405, 24.8780499, 0.0405, -73.2926865, 0.0405, 18.1097565, 0.0015577, -0.023331, 0.0405, 365.4878235, 0.0405, -133.4146423, 0.0405, 337.6219482, 0.0015577, 0.0045319, 0.0405, 205.1829376, 0.0405, -65.6097565, 0.0405, 46.2804871, 0.0015577, 0.0112459, 0.0405, -5.5487804, 0.0405, -61.6463432, 0.0405, 27.7439022, 0.0015577, -0.0169528, 0.0405, 0, 0.0405, 0, 0.0405, 0, 0.0015577, -0.0028534, 0.0405, -486.0365906, 0.0405, -72.0121994, 0.0405, 158.0487823, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, -0.0149386, 0.054, -96.4024429, 0.054, -81.3414688, 0.054, -51.0365868, 0.0020769, -0.0135958, 0.054, 44.7560997, 0.054, -131.3414612, 0.054, 64.4512177, 0.0020769, 0.0129244, 0.054, 43.3536606, 0.054, -125.7317123, 0.054, -10.4268293, 0.0020769, -0.0303807, 0.054, 359.4512329, 0.054, -183.7804871, 0.054, 335, 0.0020769, 0.0124208, 0.054, 245.3048859, 0.054, -110.7926865, 0.054, 32.1951218, 0.0020769, 0.0224918, 0.054, 18.1097565, 0.054, -92.68293, 0.054, 34.5731697, 0.0020769, 0.0117494, 0.054, -251.3414764, 0.054, -91.4024429, 0.054, -10.8536587, 0.0020769, -0.0043641, 0.054, -512.1341553, 0.054, -158.4756165, 0.054, 160.4878082, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, -0.0142672, 0.0675, -33.6585388, 0.0675, -85.2439041, 0.0675, -47.0121956, 0.0025962, -0.0186313, 0.0675, 20.6097565, 0.0675, -173.9634247, 0.0675, 35.5487823, 0.0025962, 0.0038605, 0.0675, 37.9268303, 0.0675, -97.0121994, 0.0675, -34.2073174, 0.0025962, -0.0357519, 0.0675, 323.5975647, 0.0675, -236.2804871, 0.0675, 294.4512329, 0.0025962, 0.0176242, 0.0675, 297.2561035, 0.0675, -91.1585388, 0.0675, 28.2926826, 0.0025962, 0.0223239, 0.0675, 36.8902435, 0.0675, -65.3048782, 0.0675, 30.1219521, 0.0025962, 0.0347448, 0.0675, -278.1707458, 0.0675, -72.0121994, 0.0675, -7.6829271, 0.0025962, -0.0041962, 0.0675, -465.9146423, 0.0675, -199.2682953, 0.0675, 156.9512177, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, -0.0135958, 0.081, 11.6463413, 0.081, -166.8292694, 0.081, -42.1341476, 0.0031154, -0.0204776, 0.081, -10.3658543, 0.081, -202.3780518, 0.081, 2.4390244, 0.0031154, -0.0105745, 0.081, 20.3048782, 0.081, -30.6097565, 0.081, -28.7195129, 0.0031154, -0.0417945, 0.081, 269.8170776, 0.081, -240, 0.081, 205.4878082, 0.0031154, 0.0206455, 0.081, 317.3780518, 0.081, -60.9756126, 0.081, 38.5975609, 0.0031154, 0.0062104, 0.081, 28.1707325, 0.081, 7.0121951, 0.081, 17.0121956, 0.0031154, 0.0501869, 0.081, -283.9024353, 0.081, -40.4878044, 0.081, -11.6463413, 0.0031154, -0.0043641, 0.081, -354.2683105, 0.081, -155.5487823, 0.081, 152.1951294, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, -0.0139315, 0.0945, 56.0365868, 0.0945, -219.146347, 0.0945, -44.0243912, 0.0036346, -0.0182956, 0.0945, -54.5121956, 0.0945, -227.1951294, 0.0945, -22.0731716, 0.0036346, -0.0226596, 0.0945, 6.4634147, 0.0945, 23.8414631, 0.0945, 10.7317076, 0.0036346, -0.0421302, 0.0945, 210.2439117, 0.0945, -130.2439117, 0.0945, 95.4268341, 0.0036346, 0.0231632, 0.0945, 307.6829224, 0.0945, 10.1219511, 0.0945, 80.1219559, 0.0036346, -0.0171206, 0.0945, -20.1219521, 0.0945, 49.0243912, 0.0945, 14.8170738, 0.0036346, 0.0569009, 0.0945, -266.8292847, 0.0945, -9.6951218, 0.0945, -10.1829271, 0.0036346, -0.0025177, 0.0945, -240, 0.0945, -93.3536606, 0.0945, 136.8292694, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, -0.01561, 0.108, 108.9634171, 0.108, -233.2926941, 0.108, -50.6707344, 0.0041538, -0.012253, 0.108, -110.7926865, 0.108, -215.4878082, 0.108, -47.8658562, 0.0041538, -0.026688, 0.108, 23.9024391, 0.108, 49.9390259, 0.108, 94.8170776, 0.0041538, -0.036759, 0.108, 177.9878082, 0.108, -64.3292694, 0.108, 47.3780518, 0.0041538, 0.0251774, 0.108, 276.4024353, 0.108, 95.3658524, 0.108, 101.4024429, 0.0041538, -0.0303807, 0.108, -108.9634171, 0.108, 28.841465, 0.108, 39.1463432, 0.0041538, 0.0580758, 0.108, -225.8536682, 0.108, 53.7195129, 0.108, -21.5243912, 0.0041538, -0.0008392, 0.108, -102.68293, 0.108, -10.4878054, 0.108, 101.2195129, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, -0.0166171, 0.1215, 0, 0.1215, 0, 0.1215, 0, 0.0046731, -0.002182, 0.1215, -134.9390259, 0.1215, -162.5, 0.1215, -66.8292694, 0.0046731, -0.0250095, 0.1215, 25.6707325, 0.1215, -42.9268303, 0.1215, 142.1341553, 0.0046731, -0.0332341, 0.1215, 97.0731735, 0.1215, 22.1341476, 0.1215, -50.9756126, 0.0046731, 0.0280308, 0.1215, 201.0365906, 0.1215, 104.6341476, 0.1215, 80.3658524, 0.0046731, -0.0292058, 0.1215, -130.6707306, 0.1215, -84.7560959, 0.1215, 36.1585388, 0.0046731, 0.0589151, 0.1215, -156.5853729, 0.1215, 64.6951218, 0.1215, -30, 0.0046731, 0.0011749, 0.1215, 33.4756088, 0.1215, 42.9268303, 0.1215, 67.4390259, , , , , , , , , , , , , , , , , , , , , , 
