Application:, Trigno Discover (2.0.1.3),,,,,,,,,,,,,,
Date/Time:, 01-10-2025 10:15:06,,,,,,,,,,,,,,
Collection Length (seconds):,2.997,,,,,,,,,,,,,,
 Hamstrings right (85641), Hamstrings right (85641),  Rectus Femoris right (85844),  Rectus Femoris right (85844),  Gastrocnemius left (85904),  Gastrocnemius left (85904), TibilaisÂ Anterior right (85650), TibilaisÂ Anterior right (85650),  Hamstrings left (85586),  Hamstrings left (85586), TibilaisÂ Anterior left (85605), TibilaisÂ Anterior left (85605),  Rectus Femoris left (85878),  Rectus Femoris left (85878),  Gastrocnemius right (85873),  Gastrocnemius right (85873)
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
0,-0.029074881,0,0.011639742,0,-0.11733442,0,-0.011652948,0,-0.01441518,0,-0.037430266,0,-0.025273718,0,-0.01170309
0.0004655,-0.031169035,0.0004655,0.012440295,0.0004655,-0.137992768,0.0004655,-0.010199822,0.0004655,-0.015103282,0.0004655,-0.027244911,0.0004655,-0.031474526,0.0004655,-0.002953286
0.000931,-0.031733471,0.000931,0.012495634,0.000931,-0.130179586,0.000931,-0.010065958,0.000931,-0.011687954,0.000931,-0.017248602,0.000931,-0.027209831,0.000931,0.005946218
0.0013966,-0.031434064,0.0013966,0.011793256,0.0013966,-0.078787233,0.0013966,-0.009882426,0.0013966,-0.001396393,0.0013966,8.03E-05,0.0013966,-0.018080934,0.0013966,0.024937647
0.0018621,-0.028711303,0.0018621,0.010829974,0.0018621,-0.037615223,0.0018621,-0.010338252,0.0018621,0.003481931,0.0018621,0.006309304,0.0018621,-0.013505363,0.0018621,0.031720738
0.0023276,-0.027105817,0.0023276,0.009966266,0.0023276,-0.053653127,0.0023276,-0.009580033,0.0023276,0.010385003,0.0023276,0.003948932,0.0023276,-0.012335113,0.0023276,0.034048134
0.0027931,-0.026326116,0.0027931,0.007694916,0.0027931,-0.083482847,0.0027931,-0.011202376,0.0027931,0.010970968,0.0027931,-0.002450388,0.0027931,-0.004148084,0.0027931,0.026029252
0.0032586,-0.025578366,0.0032586,0.007241947,0.0032586,-0.10103613,0.0032586,-0.014395368,0.0032586,0.002786365,0.0032586,-0.009794451,0.0032586,0.000918573,0.0032586,0.012957427
0.0037241,-0.023781007,0.0037241,0.010315996,0.0037241,-0.094382163,0.0037241,-0.015597513,0.0037241,-0.013675283,0.0037241,-0.019153575,0.0037241,-0.001668427,0.0037241,0.000983403
0.0041897,-0.022978562,0.0041897,0.014040298,0.0041897,-0.050292452,0.0041897,-0.014418781,0.0041897,-0.036063433,0.0041897,-0.031160898,0.0041897,-0.007095729,0.0041897,-0.009919838
0.0046552,-0.022947205,0.0046552,0.015335482,0.0046552,0.021519491,0.0046552,-0.013666912,0.0046552,-0.046907153,0.0046552,-0.0383274,0.0046552,-0.002911516,0.0046552,-0.016720336
0.0051207,-0.021506134,0.0051207,0.020273073,0.0051207,0.084464515,0.0051207,-0.01316544,0.0051207,-0.041233236,0.0051207,-0.032395297,0.0051207,0.000491603,0.0051207,-0.014633557
0.0055862,-0.020877243,0.0055862,0.023431947,0.0055862,0.096638088,0.0055862,-0.0135958,0.0055862,-0.029394324,0.0055862,-0.017490609,0.0055862,-0.011502834,0.0055862,-0.008717732
0.0060517,-0.020516956,0.0060517,0.025102166,0.0060517,0.077964749,0.0060517,-0.011950694,0.0060517,-0.016645122,0.0060517,0.004636967,0.0060517,-0.037394264,0.0060517,-0.002414785
0.0065172,-0.019771134,0.0065172,0.025438987,0.0065172,0.055359954,0.0065172,-0.012755106,0.0065172,-0.006268114,0.0065172,0.019064147,0.0065172,-0.064391146,0.0065172,-0.002185851
0.0069828,-0.01837922,0.0069828,0.02328919,0.0069828,0.016045695,0.0069828,-0.01431654,0.0069828,0.000977348,0.0069828,0.014172086,0.0069828,-0.075173714,0.0069828,-0.00650429
0.0074483,-0.018641855,0.0074483,0.031863926,0.0074483,-0.027610656,0.0074483,-0.014912211,0.0074483,0.004452736,0.0074483,-0.001285732,0.0074483,-0.058709268,0.0074483,-0.004899266
0.0079138,-0.021248016,0.0079138,0.053074425,0.0079138,0.008748301,0.0079138,-0.014506172,0.0079138,0.004858647,0.0079138,-0.018867984,0.0079138,-0.017927574,0.0079138,0.005101851
0.0083793,-0.023691177,0.0083793,0.074395825,0.0083793,0.0780499,0.0083793,-0.013637773,0.0083793,-0.000669587,0.0083793,-0.032839024,0.0083793,0.023806682,0.0083793,0.018400583
0.0088448,-0.023994354,0.0088448,0.088765853,0.0088448,0.022565822,0.0088448,-0.011939625,0.0088448,-0.004459491,0.0088448,-0.038595244,0.0088448,0.048058252,0.0088448,0.026962303
0.0093103,-0.021959861,0.0093103,0.076891102,0.0093103,-0.065331454,0.0093103,-0.009858789,0.0093103,-0.014479234,0.0093103,-0.029874219,0.0093103,0.041300256,0.0093103,0.020978001
0.0097759,-0.0229953,0.0097759,0.055266921,0.0097759,-0.069051003,0.0097759,-0.011448036,0.0097759,-0.02229986,0.0097759,-0.023731406,0.0097759,0.010218615,0.0097759,0.005771755
0.0102414,-0.021761736,0.0102414,0.02688479,0.0102414,-0.055765636,0.0102414,-0.012444003,0.0102414,-0.038427944,0.0102414,-0.022570765,0.0102414,-0.017381519,0.0102414,-0.005585306
0.0107069,-0.019617366,0.0107069,0.013136899,0.0107069,-0.079943152,0.0107069,-0.013143562,0.0107069,-0.052263354,0.0107069,-0.028408569,0.0107069,-0.039168524,0.0107069,-0.011240641
0.0111724,-0.018622993,0.0111724,0.009756047,0.0111724,-0.098050464,0.0111724,-0.012725488,0.0111724,-0.060079505,0.0111724,-0.031847749,0.0111724,-0.057721068,0.0111724,-0.012116212
0.0116379,-0.016924298,0.0116379,0.010473195,0.0116379,-0.10222008,0.0116379,-0.010796204,0.0116379,-0.067294789,0.0116379,-0.022938441,0.0116379,-0.08338927,0.0116379,-0.007787614
0.0121034,-0.016457345,0.0121034,0.011562598,0.0121034,-0.110468719,0.0121034,-0.008928577,0.0121034,-0.072586399,0.0121034,-0.00550735,0.0121034,-0.096618247,0.0121034,-0.000628378
0.012569,-0.01869068,0.012569,0.011430083,0.012569,-0.130204413,0.012569,-0.00679089,0.012569,-0.073662595,0.012569,0.016183391,0.012569,-0.091065378,0.012569,0.005387483
0.0130345,-0.020875799,0.0130345,0.009973366,0.0130345,-0.131369787,0.0130345,-0.005916859,0.0130345,-0.063757003,0.0130345,0.02492361,0.0130345,-0.070962763,0.0130345,0.003930766
0.0135,-0.021813065,0.0135,0.009446739,0.0135,-0.108864185,0.0135,-0.005700723,0.0135,-0.036424558,0.0135,0.02093689,0.0135,-0.025576267,0.0135,-0.006290007
0.0139655,-0.021147647,0.0139655,0.009336899,0.0139655,-0.084835153,0.0139655,-0.010135473,0.0139655,-0.008114729,0.0139655,0.012317055,0.0139655,0.022930316,0.0139655,-0.016932696
0.014431,-0.0219883,0.014431,0.00966399,0.014431,-0.08097681,0.014431,-0.011877755,0.014431,0.011458696,0.014431,0.001525992,0.014431,0.064698745,0.014431,-0.02142442
0.0148966,-0.0219883,0.0148966,0.008921756,0.0148966,-0.090476741,0.0148966,-0.01321374,0.0148966,0.02066184,0.0148966,-0.005302058,0.0148966,0.075979929,0.0148966,-0.019049416
0.0153621,-0.020903635,0.0153621,0.008271139,0.0153621,-0.124150995,0.0153621,-0.013518235,0.0153621,0.019756919,0.0153621,-0.01117392,0.0153621,0.05834547,0.0153621,-0.013807397
0.0158276,-0.019455292,0.0158276,0.009438785,0.0158276,-0.15911451,0.0158276,-0.011808306,0.0158276,0.014751129,0.0158276,-0.017598039,0.0158276,0.031684265,0.0158276,-0.011191406
0.0162931,-0.019619195,0.0162931,0.011130669,0.0162931,-0.169953696,0.0162931,-0.010018331,0.0162931,0.012425847,0.0162931,-0.023263396,0.0162931,0.018171935,0.0162931,-0.010929405
0.0167586,-0.021511768,0.0167586,0.012338652,0.0167586,-0.180069449,0.0167586,-0.010215328,0.0167586,0.007569579,0.0167586,-0.031160173,0.0167586,0.016664044,0.0167586,-0.010441904
0.0172241,-0.023864863,0.0172241,0.012413817,0.0172241,-0.209588301,0.0172241,-0.011553664,0.0172241,-0.00443831,0.0172241,-0.034222863,0.0172241,0.02002997,0.0172241,-0.008196664
0.0176897,-0.024809237,0.0176897,0.013686009,0.0176897,-0.229499747,0.0176897,-0.012367695,0.0176897,-0.02123307,0.0176897,-0.028452079,0.0176897,0.020536944,0.0176897,-0.00532461
0.0181552,-0.02570368,0.0181552,0.011989507,0.0181552,-0.185824663,0.0181552,-0.009856256,0.0181552,-0.019149185,0.0181552,-0.022906889,0.0181552,0.023424703,0.0181552,-0.006499256
0.0186207,-0.025844832,0.0186207,0.013546979,0.0186207,-0.082356624,0.0186207,-0.008572955,0.0186207,-0.009154192,0.0186207,-0.013776126,0.0186207,0.017157486,0.0186207,-0.009845724
0.0190862,-0.0226596,0.0190862,0.012018469,0.0190862,-0.024249581,0.0190862,-0.009542108,0.0190862,0.013314666,0.0190862,-0.00732275,0.0190862,-0.011841424,0.0190862,-0.012063309
0.0195517,-0.020775373,0.0195517,0.009432638,0.0195517,-0.036428189,0.0195517,-0.010351527,0.0195517,0.025756854,0.0195517,-0.009841803,0.0195517,-0.052213358,0.0195517,-0.010304977
0.0200172,-0.021916308,0.0200172,0.008656172,0.0200172,-0.021460784,0.0200172,-0.013307928,0.0200172,0.018966978,0.0200172,-0.014842521,0.0200172,-0.081886551,0.0200172,-0.010574522
0.0204828,-0.022028145,0.0204828,0.00780491,0.0204828,0.083898946,0.0204828,-0.012346398,0.0204828,-0.000139416,0.0204828,-0.014866928,0.0204828,-0.086683413,0.0204828,-0.009034813
0.0209483,-0.017760904,0.0209483,0.007230547,0.0209483,0.226681508,0.0209483,-0.011226546,0.0209483,-0.010002104,0.0209483,-0.019497544,0.0209483,-0.0722557,0.0209483,-0.008910442
0.0214138,-0.020570604,0.0214138,0.008037799,0.0214138,0.315878814,0.0214138,-0.016057112,0.0214138,-0.014863488,0.0214138,-0.01337165,0.0214138,-0.029716658,0.0214138,-0.009865841
0.0218793,-0.0203098,0.0218793,0.00872033,0.0218793,0.322447849,0.0218793,-0.017323038,0.0218793,-0.015148808,0.0218793,-0.011807464,0.0218793,0.000977859,0.0218793,-0.0099031
0.0223448,-0.022411335,0.0223448,0.010116155,0.0223448,0.278775517,0.0223448,-0.019189601,0.0223448,-0.019479653,0.0223448,-0.015571805,0.0223448,0.022512789,0.0223448,-0.009013572
0.0228103,-0.026738675,0.0228103,0.014327995,0.0228103,0.19483373,0.0228103,-0.0176242,0.0228103,-0.01872884,0.0228103,-0.028438699,0.0228103,-0.003577438,0.0228103,-0.00858057
0.0232759,-0.025453306,0.0232759,0.013938863,0.0232759,0.098471606,0.0232759,-0.013334737,0.0232759,-0.017778951,0.0232759,-0.032883556,0.0232759,-0.012922513,0.0232759,-0.00574785
0.0237414,-0.023452884,0.0237414,0.014105818,0.0237414,0.042716478,0.0237414,-0.013797353,0.0237414,-0.011343954,0.0237414,-0.036499564,0.0237414,-0.020678185,0.0237414,-0.002496979
0.0242069,-0.022043071,0.0242069,0.014837684,0.0242069,0.011111939,0.0242069,-0.017319405,0.0242069,-0.002386504,0.0242069,-0.033795682,0.0242069,-0.014374261,0.0242069,-0.001315368
0.0246724,-0.02303911,0.0246724,0.01565381,0.0246724,-0.010794634,0.0246724,-0.019031029,0.0246724,0.00417935,0.0246724,-0.03100155,0.0246724,-0.00548845,0.0246724,-0.003155401
0.0251379,-0.025384409,0.0251379,0.015639002,0.0251379,-0.024753835,0.0251379,-0.012331417,0.0251379,0.005036259,0.0251379,-0.028780617,0.0251379,-0.010613709,0.0251379,-0.002665946
0.0256034,-0.026719971,0.0256034,0.015860272,0.0256034,0.00273252,0.0256034,-0.006893804,0.0256034,0.003192593,0.0256034,-0.031530173,0.0256034,-0.029041929,0.0256034,0.001023038
0.026069,-0.027292892,0.026069,0.015978954,0.026069,0.046285199,0.026069,-0.004329216,0.026069,0.00060959,0.026069,-0.036689333,0.026069,-0.030538997,0.026069,0.000908877
0.0265345,-0.027056954,0.0265345,0.016404385,0.0265345,0.053092956,0.0265345,-0.005764472,0.0265345,-0.005208316,0.0265345,-0.039846803,0.0265345,-0.008424339,0.0265345,-0.001715575
0.027,-0.026583527,0.027,0.016765746,0.027,0.026709505,0.027,-0.005434527,0.027,-0.012038289,0.027,-0.03320918,0.027,0.022202525,0.027,-0.001207932
0.0274655,-0.025937415,0.0274655,0.016659852,0.0274655,-0.00588102,0.0274655,-0.005115378,0.0274655,-0.016280138,0.0274655,-0.015024105,0.0274655,0.034608968,0.0274655,-0.000120776
0.027931,-0.025413597,0.027931,0.01757473,0.027931,-0.031940291,0.027931,-0.007806808,0.027931,-0.015870408,0.027931,0.007712679,0.027931,0.020477126,0.027931,-8.48E-05
0.0283966,-0.024967723,0.0283966,0.018557819,0.0283966,-0.04590867,0.0283966,-0.010532723,0.0283966,-0.015144346,0.0283966,0.013581104,0.0283966,-0.001437124,0.0283966,-0.000322112
0.0288621,-0.023684216,0.0288621,0.018421174,0.0288621,-0.049763653,0.0288621,-0.016929284,0.0288621,-0.015855147,0.0288621,0.003393721,0.0288621,-0.011311642,0.0288621,-0.001209921
0.0293276,-0.02379114,0.0293276,0.016732981,0.0293276,-0.049200302,0.0293276,-0.021970337,0.0293276,-0.01798887,0.0293276,-0.006885274,0.0293276,-0.00752423,0.0293276,-0.001988613
0.0297931,-0.023613448,0.0297931,0.0159457,0.0297931,-0.043888833,0.0297931,-0.023201467,0.0297931,-0.016052559,0.0297931,-0.0135958,0.0297931,0.003875624,0.0297931,-0.00091548
0.0302586,-0.025209954,0.0302586,0.016672202,0.0302586,-0.038377109,0.0302586,-0.028507022,0.0302586,-0.014247074,0.0302586,-0.017228481,0.0302586,0.009001459,0.0302586,-0.000548582
0.0307241,-0.028917991,0.0307241,0.017775422,0.0307241,-0.031048416,0.0307241,-0.042170723,0.0307241,-0.017864115,0.0307241,-0.022965829,0.0307241,0.010471347,0.0307241,-0.001495864
0.0311897,-0.032427113,0.0311897,0.0179599,0.0311897,-0.028402292,0.0311897,-0.0490939,0.0311897,-0.025370254,0.0311897,-0.027384454,0.0311897,0.013010301,0.0311897,-0.0015106
0.0316552,-0.034604745,0.0316552,0.017939087,0.0316552,-0.031640273,0.0316552,-0.04124794,0.0316552,-0.026488323,0.0316552,-0.028877032,0.0316552,0.019691184,0.0316552,-0.0015106
0.0321207,-0.039546438,0.0321207,0.018667762,0.0321207,-0.04175049,0.0321207,-0.02952699,0.0321207,-0.023094003,0.0321207,-0.027439866,0.0321207,0.029873379,0.0321207,0.000576424
0.0325862,-0.046838524,0.0325862,0.019275443,0.0325862,-0.046611851,0.0325862,-0.026488583,0.0325862,-0.019144164,0.0325862,-0.023186097,0.0325862,0.032607945,0.0325862,0.001791787
0.0330517,-0.050123625,0.0330517,0.021025768,0.0330517,-0.041139531,0.0330517,-0.036094676,0.0330517,-0.020138407,0.0330517,-0.016840057,0.0330517,0.025558806,0.0330517,0.001780575
0.0335172,-0.044912593,0.0335172,0.021394585,0.0335172,-0.03345382,0.0335172,-0.045475835,0.0335172,-0.023770351,0.0335172,-0.01011263,0.0335172,0.008319233,0.0335172,0.000891032
0.0339828,-0.039877411,0.0339828,0.022147356,0.0339828,-0.03399333,0.0339828,-0.01964714,0.0339828,-0.028531779,0.0339828,-0.002457832,0.0339828,-0.011146168,0.0339828,0.001084012
0.0344483,-0.036215908,0.0344483,0.022481877,0.0344483,-0.038161037,0.0344483,0.036119195,0.0344483,-0.033824589,0.0344483,-0.001581697,0.0344483,-0.034341957,0.0344483,0.001656737
0.0349138,-0.036562222,0.0349138,0.02365515,0.0349138,-0.047373826,0.0349138,0.064587344,0.0349138,-0.041505155,0.0349138,-0.005677976,0.0349138,-0.053347098,0.0349138,0.002980796
0.0353793,-0.034840313,0.0353793,0.023795181,0.0353793,-0.081117549,0.0353793,0.041898108,0.0353793,-0.0385673,0.0353793,-0.0075532,0.0353793,-0.071835112,0.0353793,0.000707335
0.0358448,-0.030130531,0.0358448,0.024110288,0.0358448,-0.127614821,0.0358448,0.004154301,0.0358448,-0.030629695,0.0358448,-0.007220848,0.0358448,-0.088474426,0.0358448,-0.001808745
0.0363103,-0.024892953,0.0363103,0.022569161,0.0363103,-0.120911191,0.0363103,-0.008633284,0.0363103,-0.024576371,0.0363103,-0.011943408,0.0363103,-0.09540527,0.0363103,-0.00399968
0.0367759,-0.02138425,0.0367759,0.022195937,0.0367759,-0.079632508,0.0367759,0.000970631,0.0367759,-0.019015473,0.0367759,-0.014852368,0.0367759,-0.087788474,0.0367759,-0.006889246
0.0372414,-0.0216526,0.0372414,0.02184278,0.0372414,-0.045459004,0.0372414,0.020635247,0.0372414,-0.011197393,0.0372414,-0.016572436,0.0372414,-0.058984013,0.0372414,-0.011003367
0.0377069,-0.02323965,0.0377069,0.021386837,0.0377069,-0.044635701,0.0377069,0.021721181,0.0377069,0.001959074,0.0377069,-0.01635396,0.0377069,-0.018025418,0.0377069,-0.013966468
0.0381724,-0.025065694,0.0381724,0.020973624,0.0381724,-0.055941276,0.0381724,0.006656204,0.0381724,0.015921962,0.0381724,-0.015756806,0.0381724,0.013063629,0.0381724,-0.014613675
0.0386379,-0.026658288,0.0386379,0.021188063,0.0386379,-0.063150363,0.0386379,-0.009833124,0.0386379,0.022106021,0.0386379,-0.017820516,0.0386379,0.008674328,0.0386379,-0.013048243
0.0391034,-0.027409324,0.0391034,0.021670442,0.0391034,-0.062429335,0.0391034,-0.013495952,0.0391034,0.015132004,0.0391034,-0.024823971,0.0391034,-0.015753081,0.0391034,-0.010324494
0.039569,-0.027897927,0.039569,0.022862427,0.039569,-0.061542964,0.039569,-0.00425444,0.039569,0.008816677,0.039569,-0.039348999,0.039569,-0.040185954,0.039569,-0.007116087
0.0400345,-0.028306694,0.0400345,0.023271194,0.0400345,-0.064136785,0.0400345,0.010973949,0.0400345,0.005681748,0.0400345,-0.049766846,0.0400345,-0.048648323,0.0400345,-0.006300109
0.0405,-0.028993969,0.0405,0.02317418,0.0405,-0.061462691,0.0405,0.019490854,0.0405,-0.000443824,0.0405,-0.052426971,0.0405,-0.0495155,0.0405,-0.0062104
0.0409655,-0.029577298,0.0409655,0.024541798,0.0409655,-0.053237814,0.0409655,0.007745509,0.0409655,-0.005693791,0.0409655,-0.046469203,0.0409655,-0.044369699,0.0409655,-0.0062104
