iter	Passed	Remaining
0	36	10945
1	65	9688
2	93	9249
3	121	9022
4	152	8976
5	180	8827
6	208	8735
7	237	8661
8	265	8598
9	294	8527
10	322	8481
11	351	8435
12	380	8395
13	409	8360
14	439	8355
15	468	8314
16	497	8286
17	526	8252
18	556	8233
19	587	8223
20	616	8192
21	644	8146
22	659	7943
23	688	7912
24	716	7882
25	745	7858
26	774	7827
27	802	7798
28	832	7779
29	861	7752
30	890	7724
31	918	7696
32	947	7662
33	976	7641
34	1005	7611
35	1033	7576
36	1061	7548
37	1090	7515
38	1117	7480
39	1145	7448
40	1175	7424
41	1204	7398
42	1235	7383
43	1263	7350
44	1291	7319
45	1320	7292
46	1349	7262
47	1353	7106
48	1381	7076
49	1410	7051
50	1438	7021
51	1466	6992
52	1494	6964
53	1522	6936
54	1551	6913
55	1579	6884
56	1607	6853
57	1637	6831
58	1666	6805
59	1695	6780
60	1722	6749
61	1750	6719
62	1778	6688
63	1807	6663
64	1835	6637
65	1865	6612
66	1893	6585
67	1922	6558
68	1951	6531
69	1979	6503
70	2008	6477
71	2036	6450
72	2068	6432
73	2097	6405
74	2125	6376
75	2153	6345
76	2181	6317
77	2209	6288
78	2237	6258
79	2265	6230
80	2294	6203
81	2322	6173
82	2350	6145
83	2378	6116
84	2406	6087
85	2434	6058
86	2462	6028
87	2491	6002
88	2520	5975
89	2547	5944
90	2576	5918
91	2605	5890
92	2633	5862
93	2662	5835
94	2690	5805
95	2718	5776
96	2745	5746
97	2774	5717
98	2802	5690
99	2830	5660
100	2858	5632
101	2889	5608
102	2917	5581
103	2948	5555
104	2975	5526
105	3003	5497
106	3032	5469
107	3061	5442
108	3089	5413
109	3119	5388
110	3148	5360
111	3176	5332
112	3205	5304
113	3233	5275
114	3261	5247
115	3294	5226
116	3328	5205
117	3356	5177
118	3384	5148
119	3412	5118
120	3440	5089
121	3468	5060
122	3496	5031
123	3525	5003
124	3553	4974
125	3580	4944
126	3609	4916
127	3638	4889
128	3667	4861
129	3695	4832
130	3725	4806
131	3753	4777
132	3781	4747
133	3810	4720
134	3839	4692
135	3867	4664
136	3895	4634
137	3923	4606
138	3952	4577
139	3980	4548
140	4008	4520
141	4038	4493
142	4066	4464
143	4094	4435
144	4124	4408
145	4153	4380
146	4182	4353
147	4211	4325
148	4239	4296
149	4268	4268
150	4296	4239
151	4325	4211
152	4354	4183
153	4382	4155
154	4410	4126
155	4439	4097
156	4467	4069
157	4495	4040
158	4523	4011
159	4554	3984
160	4583	3956
161	4610	3927
162	4639	3899
163	4666	3870
164	4701	3846
165	4729	3817
166	4758	3789
167	4786	3760
168	4814	3732
169	4842	3703
170	4870	3674
171	4898	3645
172	4926	3616
173	4956	3589
174	4984	3560
175	5012	3531
176	5039	3502
177	5068	3473
178	5097	3445
179	5125	3416
180	5153	3387
181	5181	3359
182	5210	3331
183	5239	3303
184	5272	3277
185	5305	3252
186	5335	3224
187	5375	3202
188	5412	3178
189	5447	3153
190	5482	3128
191	5513	3101
192	5550	3077
193	5583	3050
194	5613	3022
195	5641	2993
196	5670	2964
197	5698	2935
198	5726	2906
199	5757	2878
200	5794	2853
201	5829	2828
202	5860	2800
203	5892	2773
204	5927	2746
205	5963	2721
206	5997	2694
207	6030	2667
208	6064	2640
209	6097	2613
210	6130	2585
211	6160	2557
212	6193	2529
213	6228	2503
214	6261	2475
215	6295	2448
216	6328	2420
217	6361	2392
218	6395	2365
219	6426	2337
220	6457	2308
221	6489	2280
222	6522	2252
223	6556	2224
224	6587	2195
225	6622	2168
226	6655	2140
227	6689	2112
228	6721	2083
229	6752	2055
230	6788	2027
231	6822	1999
232	6854	1971
233	6887	1942
234	6920	1914
235	6952	1885
236	6984	1856
237	7016	1827
238	7050	1799
239	7082	1770
240	7114	1741
241	7147	1712
242	7181	1684
243	7213	1655
244	7241	1625
245	7271	1596
246	7300	1566
247	7329	1536
248	7357	1506
249	7386	1477
250	7413	1447
251	7443	1417
252	7471	1388
253	7499	1358
254	7527	1328
255	7555	1298
256	7584	1269
257	7612	1239
258	7640	1209
259	7669	1179
260	7698	1150
261	7726	1120
262	7755	1091
263	7783	1061
264	7811	1031
265	7842	1002
266	7871	972
267	7899	943
268	7927	913
269	7957	884
270	7985	854
271	8013	824
272	8041	795
273	8069	765
274	8098	736
275	8126	706
276	8154	677
277	8183	647
278	8213	618
279	8247	589
280	8279	559
281	8309	530
282	8337	500
283	8367	471
284	8396	441
285	8425	412
286	8454	382
287	8482	353
288	8511	323
289	8539	294
290	8567	264
291	8596	235
292	8624	206
293	8655	176
294	8683	147
295	8712	117
296	8740	88
297	8768	58
298	8797	29
299	8825	0
