Application:, Trigno Discover (2.0.1.3)
Date/Time:, 01-10-2025 10:55:37
Collection Length (seconds):, 2.997
 Hamstrings right (85641), Hamstrings right (85641),  Rectus Femoris right (85844),  Rectus Femoris right (85844),  Gastrocnemius left (85904),  Gastrocnemius left (85904), TibilaisÂ Anterior right (85650), TibilaisÂ Anterior right (85650),  Hamstrings left (85586),  Hamstrings left (85586), TibilaisÂ Anterior left (85605), TibilaisÂ Anterior left (85605),  Rectus Femoris left (85878),  Rectus Femoris left (85878),  Gastrocnemius right (85873), Gastrocnemius right (85873), , , , , , , , , , , , , , , , , , , , , ,
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), , , , , , , , , , , , , , , , , , , , , ,
0.0,-0.028889887652889055,0.0,0.014557695596383782,0.0,-0.018883103758779288,0.0,-0.03352306194709912,0.0,-0.001533413543588589,0.0,-0.010218312575940776,0.0,0.16561759744938595,0.0,0.012201567690838492, , , , , , , , , , , , , , , , , , , , , , 
0.0004655,-0.023873127725735053,0.0004655,0.024955232480406188,0.0004655,-0.028655407307773037,0.0004655,-0.011245791595099811,0.0004655,-0.013008879428341317,0.0004655,-0.029375863345600838,0.0004655,-0.010042099234340593,0.0004655,0.0029825010342897263, , , , , , , , , , , , , , , , , , , , , , 
0.000931,-0.03150574759600685,0.000931,0.019866460880876624,0.000931,-0.027136899900528744,0.000931,-0.02214836219512422,0.000931,-0.03261360963647453,0.000931,-0.028762256589463957,0.000931,0.02790750550683816,0.000931,0.001907748607432822, , , , , , , , , , , , , , , , , , , , , , 
0.0013966,-0.028601214570801843,0.0013966,0.012177141402746616,0.0013966,-0.008657823267044326,0.0013966,-0.012799232751261446,0.0013966,-0.009691853440689043,0.0013966,-0.008755351168046759,0.0013966,0.03210642630940637,0.0013966,-0.0009198121257935512, , , , , , , , , , , , , , , , , , , , , , 
0.0018621,-0.030852667782067935,0.0018621,0.016246582413575295,0.0018621,-0.026464092973567374,0.0018621,-0.008928207217530003,0.0018621,-0.010542376888494104,0.0018621,-0.017851351760494828,0.0018621,-0.008151162486268617,0.0018621,-0.0021851860410137818, , , , , , , , , , , , , , , , , , , , , , 
0.0023276,-0.04886665697048474,0.0023276,0.00770095524581392,0.0023276,-0.02935782230012814,0.0023276,-0.027103166865669343,0.0023276,-0.008471836014089063,0.0023276,-0.04892181332834339,0.0023276,-0.010445289073935698,0.0023276,-0.016616904808249903, , , , , , , , , , , , , , , , , , , , , , 
0.0027931,-0.024381045783759995,0.0027931,0.01570991824243029,0.0027931,-0.032510002454047726,0.0027931,-0.015205923955080114,0.0027931,-0.10585940734637682,0.0027931,-0.014360739217206545,0.0027931,1.9023443376530325e-05,0.0027931,0.024049111448060496, , , , , , , , , , , , , , , , , , , , , , 
0.0032586,-0.051751728009733225,0.0032586,0.01568113606338097,0.0032586,-0.025770984572513922,0.0032586,-0.014585948848840723,0.0032586,-0.013097669631885795,0.0032586,-0.032808362321153674,0.0032586,-0.010771910265869301,0.0032586,-0.0069117475519806714, , , , , , , , , , , , , , , , , , , , , , 
0.0037241,-0.03742202353277452,0.0037241,0.013995324937781186,0.0037241,-0.025012728225210015,0.0037241,-0.026895731792872673,0.0037241,-0.1240925242385137,0.0037241,-0.023053096664328594,0.0037241,-0.0214967920332716,0.0037241,-0.0033523898472564264, , , , , , , , , , , , , , , , , , , , , , 
0.0041897,-0.02399780115114846,0.0041897,0.012227588772587113,0.0041897,-0.025143452545539017,0.0041897,-0.02436116695324882,0.0041897,-0.043651610595214274,0.0041897,0.005201124402572997,0.0041897,-0.01055270623744701,0.0041897,0.0023359118983858032, , , , , , , , , , , , , , , , , , , , , , 
0.0046552,-0.03361581798483783,0.0046552,0.017030699172220762,0.0046552,-0.05452930802460538,0.0046552,0.0006127204844531612,0.0046552,-0.02071774425920105,0.0046552,-0.003006483349472946,0.0046552,-0.011111038906530047,0.0046552,-0.0028039742757413355, , , , , , , , , , , , , , , , , , , , , , 
