Application:, Trigno Discover (2.0.1.3)
Date/Time:, 04-Nov-25 15:15:39
Collection Length (seconds):, 2.997
 Hamstrings right (85641), , , , , , , ,  Rectus Femoris right (85844), , , , , , , ,  Gastrocnemius left (85904), , , , , , , , TibilaisÂ Anterior right (85650), , , , , , , ,  Hamstrings left (85586), , , , , , , , TibilaisÂ Anterior left (85605), , , , , , , ,  Rectus Femoris left (85878), , , , , , , ,  Gastrocnemius right (85873)
sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49, , , , , , , , sensor mode: 49
EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz
, 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0203098, 0, -10, 0, -6.4634147, 0, -8.841464, 0, -0.0520333, 0, -9.2073174, 0, 0.7317073, 0, 8.5365858, 0, -0.0057069, 0, 21.5853672, 0, 8.841464, 0, -7.2560978, 0, -0.0048676, 0, 14.8170738, 0, -1.7073171, 0, 10.4878054, 0, -0.018967, 0, -7.2560978, 0, 17.8658543, 0, -0.2439024, 0, -0.0028534, 0, -27.6829281, 0, 2.0731707, 0, -7.5609756, 0, -0.0028534, 0, -6.6463418, 0, 11.6463413, 0, 2.6219513, , , , , , , , , , , , , , , , , , , , , , 
0.0005192, 0, 0.0135, 0, 0.0135, 0, 0.0135, 0, 0.0005192, 0.0196384, 0.0135, -10.2439022, 0.0135, -4.3292685, 0.0135, -7.2560978, 0.0005192, -0.0528725, 0.0135, -8.4756098, 0.0135, -0.1829268, 0.0135, 8.780488, 0.0005192, -0.0035248, 0.0135, 19.2073174, 0.0135, 1.8902439, 0.0135, -7.9878049, 0.0005192, -0.0068818, 0.0135, 0, 0.0135, 0, 0.0135, 0, 0.0005192, -0.0203098, 0.0135, -7.4390244, 0.0135, 16.9512196, 0.0135, 0.8536586, 0.0005192, -0.005539, 0.0135, -27.8048782, 0.0135, 3.5975611, 0.0135, -7.1341467, 0.0005192, -0.002182, 0.0135, -5.1219511, 0.0135, 4.0853658, 0.0135, 3.0487804, , , , , , , , , , , , , , , , , , , , , , 
0.0010385, 0, 0.027, 0, 0.027, 0, 0.027, 0, 0.0010385, 0.0179599, 0.027, -9.6341467, 0.027, -2.9878049, 0.027, -5.3048782, 0.0010385, -0.0520333, 0.027, -7.8048782, 0.027, -3.8414636, 0.027, 8.4756098, 0.0010385, -0.0062104, 0.027, 15.9146347, 0.027, -8.0487804, 0.027, -9.9390249, 0.0010385, -0.0083925, 0.027, 14.8170738, 0.027, 0.3658537, 0.027, 9.6951218, 0.0010385, -0.0206455, 0.027, -7.0121951, 0.027, 11.6463413, 0.027, 1.2195122, 0.0010385, -0.0072175, 0.027, -28.7195129, 0.027, 5.9146342, 0.027, -5.2439027, 0.0010385, -0.002182, 0.027, -4.5731707, 0.027, 0.3048781, 0.027, 3.1097562, , , , , , , , , , , , , , , , , , , , , , 
0.0015577, 0, 0.0405, 0, 0.0405, 0, 0.0405, 0, 0.0015577, 0.0176242, 0.0405, -7.0121951, 0.0405, -2.2560976, 0.0405, -4.4512196, 0.0015577, -0.0463264, 0.0405, -3.9634147, 0.0405, -10, 0.0405, 9.1463413, 0.0015577, -0.0109102, 0.0405, 12.9268293, 0.0405, -10.8536587, 0.0405, -11.7682934, 0.0015577, -0.0109102, 0.0405, 16.9512196, 0.0405, 0.9756098, 0.0405, 7.7439027, 0.0015577, -0.0193027, 0.0405, -8.719512, 0.0405, 1.3414634, 0.0405, 1.5853659, 0.0015577, -0.0068818, 0.0405, -29.9390259, 0.0405, 4.6341462, 0.0405, -3.1707318, 0.0015577, -0.0015106, 0.0405, -2.6829269, 0.0405, -5.5487804, 0.0405, 1.8292683, , , , , , , , , , , , , , , , , , , , , , 
0.0020769, 0, 0.054, 0, 0.054, 0, 0.054, 0, 0.0020769, 0.0179599, 0.054, -2.6829269, 0.054, -2.1341465, 0.054, -5.1829271, 0.0020769, -0.0377661, 0.054, -4.0243902, 0.054, -18.8414631, 0.054, 9.1463413, 0.0020769, -0.0115816, 0.054, 11.280488, 0.054, -5.609756, 0.054, -12.9268293, 0.0020769, -0.0129244, 0.054, 20.6097565, 0.054, 0.3658537, 0.054, 5.2439027, 0.0020769, -0.0166171, 0.054, -9.3292685, 0.054, -1.7682927, 0.054, -0.3658537, 0.0020769, -0.0068818, 0.054, -31.0975609, 0.054, 0.9146342, 0.054, -1.2804878, 0.0020769, -0.0011749, 0.054, 0.1829268, 0.054, -4.1463413, 0.054, -0.9146342, , , , , , , , , , , , , , , , , , , , , , 
0.0025962, 0, 0.0675, -2.0731707, 0.0675, 5.1829271, 0.0675, 7.3170733, 0.0025962, 0.0176242, 0.0675, 2.9268293, 0.0675, -2.4390244, 0.0675, -6.9512196, 0.0025962, -0.0340734, 0.0675, -6.4024391, 0.0675, -13.841464, 0.0675, 7.3170733, 0.0025962, -0.0095674, 0.0675, 9.2682924, 0.0675, -3.2317073, 0.0675, -15.060976, 0.0025962, -0.0129244, 0.0675, 0, 0.0675, 0, 0.0675, 0, 0.0025962, -0.0152743, 0.0675, -7.6219516, 0.0675, 0.4878049, 0.0675, -1.6463414, 0.0025962, -0.0068818, 0.0675, -32.1341476, 0.0675, -0.9756098, 0.0675, 0.1829268, 0.0025962, -0.0028534, 0.0675, 2.9268293, 0.0675, -0.9756098, 0.0675, -1.8292683, , , , , , , , , , , , , , , , , , , , , , 
0.0031154, 0, 0.081, -5.0609756, 0.081, 4.3292685, 0.081, 9.0243902, 0.0031154, 0.0169528, 0.081, 7.5, 0.081, -2.804878, 0.081, -9.8780489, 0.0031154, -0.0332341, 0.081, -6.0975609, 0.081, -10.9756098, 0.081, 7.4390244, 0.0031154, -0.0102388, 0.081, 6.7073174, 0.081, -5.5487804, 0.081, -16.7682934, 0.0031154, -0.0119173, 0.081, 24.0243912, 0.081, 0.2439024, 0.081, 4.2073174, 0.0031154, -0.0149386, 0.081, -6.890244, 0.081, 2.2560976, 0.081, -0.2439024, 0.0031154, -0.0062104, 0.081, -33.2317085, 0.081, -0.9756098, 0.081, -0.4268293, 0.0031154, -0.0043641, 0.081, 5.3048782, 0.081, -0.8536586, 0.081, -2.3780489, , , , , , , , , , , , , , , , , , , , , , 
0.0036346, 0, 0.0945, -9.8170738, 0.0945, 3.5365853, 0.0945, 11.4024391, 0.0036346, 0.0169528, 0.0945, 9.8170738, 0.0945, -4.8780489, 0.0945, -12.560976, 0.0036346, -0.043473, 0.0945, -4.8780489, 0.0945, -6.5243902, 0.0945, 6.7682929, 0.0036346, -0.012253, 0.0945, 2.6829269, 0.0945, -7.1951222, 0.0945, -20.4878044, 0.0036346, -0.0102388, 0.0945, 23.4146347, 0.0945, -0.6707317, 0.0945, 5.9146342, 0.0036346, -0.0140993, 0.0945, -6.8292685, 0.0945, 5.9146342, 0.0945, 1.5243902, 0.0036346, -0.0068818, 0.0945, -33.7195129, 0.0945, 0.1829268, 0.0945, -2.195122, 0.0036346, -0.005539, 0.0945, 8.4756098, 0.0945, -2.1341465, 0.0945, -3.0487804, , , , , , , , , , , , , , , , , , , , , , 
0.0041538, 0, 0.108, -14.3902445, 0.108, 1.0365853, 0.108, 14.5731707, 0.0041538, 0.0182956, 0.108, 10.8536587, 0.108, -7.7439027, 0.108, -14.0243902, 0.0041538, -0.064622, 0.108, -6.4024391, 0.108, -1.9512196, 0.108, 6.7682929, 0.0041538, -0.0146029, 0.108, 0.1219512, 0.108, -1.4634147, 0.108, -24.5731716, 0.0041538, -0.0102388, 0.108, 0, 0.108, 0, 0.108, 0, 0.0041538, -0.0151064, 0.108, -5.1829271, 0.108, 7.8658538, 0.108, 1.5243902, 0.0041538, -0.0070497, 0.108, -33.9634171, 0.108, 1.402439, 0.108, -4.2682929, 0.0041538, -0.0068818, 0.108, 13.841464, 0.108, -0.1829268, 0.108, -5.4878049, , , , , , , , , , , , , , , , , , , , , , 
0.0046731, 0, 0.1215, -17.439024, 0.1215, -1.1585366, 0.1215, 18.780489, 0.0046731, 0.0186313, 0.1215, 11.6463413, 0.1215, -10, 0.1215, -12.8048782, 0.0046731, -0.0767071, 0.1215, -7.4390244, 0.1215, -1.8902439, 0.1215, 6.6463418, 0.0046731, -0.0171206, 0.1215, -3.1707318, 0.1215, 9.9390249, 0.1215, -28.3536587, 0.0046731, -0.012253, 0.1215, 0, 0.1215, 0, 0.1215, 0, 0.0046731, -0.0166171, 0.1215, -4.8170733, 0.1215, 8.780488, 0.1215, 1.3414634, 0.0046731, -0.0068818, 0.1215, -35.9146347, 0.1215, 5.1219511, 0.1215, -5, 0.0046731, -0.005539, 0.1215, 20.3658543, 0.1215, 12.6829271, 0.1215, -7.5609756, , , , , , , , , , , , , , , , , , , , , , 
