Application:, Trigno Discover (2.0.1.3),,,,,,,,,,,,,,
Date/Time:, 01-10-2025 10:15:06,,,,,,,,,,,,,,
Collection Length (seconds):,2.997,,,,,,,,,,,,,,
 Hamstrings right (85641), Hamstrings right (85641),  Rectus Femoris right (85844),  Rectus Femoris right (85844),  Gastrocnemius left (85904),  Gastrocnemius left (85904), TibilaisÂ Anterior right (85650), TibilaisÂ Anterior right (85650),  Hamstrings left (85586),  Hamstrings left (85586), TibilaisÂ Anterior left (85605), TibilaisÂ Anterior left (85605),  Rectus Femoris left (85878),  Rectus Femoris left (85878),  Gastrocnemius right (85873),  Gastrocnemius right (85873)
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
0,-0.0313878,0,0.019960389,0,-0.0119173,0,-0.00838222,0,-0.016747264,0,-0.022899381,0,-0.022210858,0,-0.0065461
0.0004655,-0.0317235,0.0004655,0.019706958,0.0004655,-0.008896,0.0004655,-0.02321684,0.0004655,-0.013833095,0.0004655,-0.025702084,0.0004655,-0.020916188,0.0004655,-0.005539
0.000931,-0.0303807,0.000931,0.018788004,0.000931,-0.0139315,0.000931,-0.044994702,0.000931,-0.011715824,0.000931,-0.027941349,0.000931,-0.020522278,0.000931,-0.0058747
0.0013966,-0.0310521,0.0013966,0.01717671,0.0013966,-0.0216526,0.0013966,-0.070148549,0.0013966,-0.008806573,0.0013966,-0.027605673,0.0013966,-0.0199741,0.0013966,-0.0052033
0.0018621,-0.0327306,0.0018621,0.016509556,0.0018621,-0.0226596,0.0018621,-0.077086535,0.0018621,-0.008272882,0.0018621,-0.027071982,0.0018621,-0.0199741,0.0018621,-0.0048676
0.0023276,-0.0318914,0.0023276,0.015999671,0.0023276,-0.0203098,0.0023276,-0.074417323,0.0023276,-0.009423464,0.0023276,-0.02552512,0.0023276,-0.02147268,0.0023276,-0.0028534
0.0027931,-0.0310521,0.0027931,0.015863156,0.0027931,-0.0226596,0.0027931,-0.071203128,0.0027931,-0.012063326,0.0027931,-0.023894309,0.0027931,-0.023141332,0.0027931,-0.0005035
0.0032586,-0.0303807,0.0032586,0.016562025,0.0032586,-0.0310521,0.0032586,-0.069742158,0.0032586,-0.014157137,0.0032586,-0.020394544,0.0032586,-0.024292973,0.0032586,0.0001678
0.0037241,-0.030045,0.0037241,0.016673776,0.0037241,-0.0344091,0.0037241,-0.065514002,0.0037241,-0.01561,0.0037241,-0.016453174,0.0037241,-0.023059835,0.0037241,0.0005035
0.0041897,-0.0297093,0.0041897,0.01674551,0.0041897,-0.0276951,0.0041897,-0.053978583,0.0041897,-0.016206493,0.0041897,-0.012295804,0.0041897,-0.023298899,0.0041897,0.002182
0.0046552,-0.0305486,0.0046552,0.016463352,0.0046552,-0.0209812,0.0046552,-0.036115381,0.0046552,-0.013917504,0.0046552,-0.011371656,0.0046552,-0.022211934,0.0046552,0.0015106
0.0051207,-0.03122,0.0051207,0.017138274,0.0051207,-0.0198062,0.0051207,0.020230214,0.0051207,-0.011599279,0.0051207,-0.013949159,0.0051207,-0.020044756,0.0051207,0.0008392
0.0055862,-0.0317235,0.0055862,0.018587605,0.0055862,-0.0206455,0.0055862,0.121149367,0.0055862,-0.010378526,0.0055862,-0.016436656,0.0055862,-0.019812982,0.0055862,-0.0003357
